"Vosa";"VosaParts";"Finnish";"English";"SL"
"kosy ej";"ko-sy ej";"miksei";"why not";"K"
"kotarsif";"kotar-sif";"kottarainen";"starling";"S"
"kotcuri";"kot-cu-ri";"kotangentti";"cotangent";"S"
"kotep";"kot-ep";"pellava";"flax";"S"
"kotepsem oilmo";"kot-ep-sem oil-mo";"pellavansiemenöljy";"linseed oil";"S"
"kotepsem oilmo";"kot-ep-sem oil-mo";"vernissa";"linseed oil";"S"
"kotepva";"kot-ep-va";"pellavainen";"flaxen";"A"
"kotepvatmo";"kot-ep-vat-mo";"pellavakangas";"linen";"S"
"kotkoot";"kot-koot";"kaakattaa";"cackle";"V"
"kotkoot";"kot-koot";"kaakattaa";"quack";"V"
"kotkoot";"kot-koot";"kotkottaa";"cluck";"V"
"kotkoot";"kot-koot";"käkättää";"cackle";"V"
"kotkootte";"kot-koot-te";"kaakatus";"cackle";"S"
"kotkootte";"kot-koot-te";"kotkotus";"cackle";"S"
"kotsif";"kot-sif";"kana";"hen";"S"
"kotsifeg";"kot-sif-eg";"kananmuna";"chicken egg";"S"
"kotsifeg";"kot-sif-eg";"kananmuna";"egg";"S"
"kotsifmit";"kot-sif-mit";"kananliha";"chicken meat";"S"
"kotu";"ko-tu";"jonne";"where";"S"
"kotu";"ko-tu";"kuhunka";"where";"P"
"kotu";"ko-tu";"minne";"where";"PR"
"kotu";"ko-tu";"minne";"where to";"PR"
"kotu";"ko-tu";"minne";"whither";"PR"
"kotu a";"ko-tu a";"minnekin";"anywhere";"PR"
"koukou";"koukou";"kaakao";"cocoa";"S"
"koukouvem";"koukou-vem";"kaakao";"cacao";"S"
"koun";"koun";"kartio";"cone";"S"
"koun";"koun";"kartio";"cone shape";"S"
"kounikves";"koun-ik-ves";"kulho";"bowl";"S"
"kounikvesri";"koun-ik-ves-ri";"kulhollinen";"dish";"S"
"kounkuutte";"koun-kuut-te";"kartioleikkaus";"conic section";"S"
"kounplee";"koun-plee";"keilata";"bowl";"V"
"kounpleejo";"koun-plee-jo";"keilaaja";"bowler";"S"
"kounpleete";"koun-plee-te";"keilailu";"bowling";"S"
"kounplevo";"koun-ple-vo";"keila";"beam";"S"
"kounplevo";"koun-ple-vo";"keila";"bowling pin";"S"
"kounplevo";"koun-ple-vo";"keila";"taper";"S"
"kounplevo";"koun-ple-vo";"keila";"tusk";"S"
"kounpotönpovö";"koun-po-tön-po-vö";"mäntämoottori";"piston engine";"S"
"kounpotönvo";"koun-po-tön-vo";"mäntä";"piston";"S"
"kounpotönvo";"koun-po-tön-vo";"mäntä";"plunger";"S"
"kountorv";"koun-torv";"tuutti";"cone";"S"
"kountorv";"koun-torv";"tuutti";"cornet";"S"
"kountorv";"koun-torv";"tötterö";"cone";"S"
"kounva";"koun-va";"kartiomainen";"coned";"A"
"kounva";"koun-va";"kartiomainen";"conic";"A"
"kounva";"koun-va";"kartiomainen";"conical";"A"
"kounva";"koun-va";"kartiomainen";"tapered";"A"
"kout";"ko-ut";"josta";"whereof";"P"
"kout";"ko-ut";"mistä";"from what";"PR"
"kout";"ko-ut";"mistä";"from where";"PR"
"kout";"ko-ut";"mistä";"whence";"PR"
"kout";"ko-ut";"mistä";"where from";"PR"
"kout";"ko-ut";"mistä";"wherefrom";"PR"
"kout a";"ko-ut a";"mistäkin";"from anything";"PR"
"kova";"ko-va";"millainen";"what kind of";"A"
"kovi";"ko-vi";"minkä kanssa";"with which";"P"
"kovy";"ko-vy";"jolla";"by which";"PR"
"kovy";"ko-vy";"jolla";"upon which";"PR"
"kovy";"ko-vy";"jolla";"whereby";"PR"
"kovy";"ko-vy";"jonka avulla";"whereby";"P"
"kovy";"ko-vy";"millä";"with what";"P"
"koö";"ko-ö";"joka";"which";"PR"
"koö";"ko-ö";"jonka";"which";"PR"
"koö sattaj";"ko-ö sat-taj";"joskus tätä joskus tuota";"sometimes this sometimes that";"PR"
"koö sattaj";"ko-ö sat-taj";"mitä milloinkin";"sometimes this sometimes that";"PR"
"koö sattaj";"ko-ö sat-taj";"mitä milloinkin";"what ever";"PR"
"koöb";"ko-öb";"mistä";"what ... about";"PR"
"koöb";"ko-öb";"mistä";"what about";"PR"
"koöb";"ko-öb";"mistä";"which about";"PR"
"koösi";"ko-ö-si";"kyseiset";"those";"S"
"kraak";"kraak";"kurnuttaa";"croak";"V"
"kraak";"kraak";"raakkua";"caw";"V"
"kraak";"kraak";"rääkkyä";"caw";"V"
"kraak";"kraak";"rääkkyä";"croak";"V"
"kraksif";"krak-sif";"varis";"crow";"S"
"kraksif teraakvo";"krak-sif te-raak-vo";"variksenpelätin";"scarecrow";"S"
"kransutto";"kran-sut-to";"kranaatti";"grenade";"S"
"kransutto";"kran-sut-to";"kranaatti";"shell";"S"
"kransutto heiivo";"kran-sut-to heii-vo";"kranaatinheitin";"mortar";"S"
"krasep";"kras-ep";"krassi";"cress";"S"
"kratik";"krat-ik";"murikka";"chunk";"S"
"kratik";"krat-ik";"möhkäle";"block";"S"
"kratik";"krat-ik";"möhkäle";"chunk";"S"
"kratik";"krat-ik";"möhkäle";"lob";"S"
"kratik";"krat-ik";"möhkäle";"lump";"S"
"kratik";"krat-ik";"möykky";"gob";"S"
"kratikva";"krat-ik-va";"möykkyinen";"lumpy";"A"
"kratli";"krat-li";"epämääräisesti";"vaguely";"D"
"kratli";"krat-li";"umpimähkään";"at random";"D"
"kratli";"krat-li";"umpimähkään";"indiscriminately";"D"
"kratpaheuu";"krat-pa-heuu";"huitoa";"flail";"V"
"kratpäk";"krat-päk";"mytty";"bundle";"S"
"kratva";"krat-va";"epämääräinen";"indefinite";"A"
"kratva";"krat-va";"epämääräinen";"indeterminate";"A"
"kratva";"krat-va";"epämääräinen";"vague";"A"
"kratva";"krat-va";"epämääräinen";"woolly";"A"
"kratva";"krat-va";"umpimähkäinen";"haphazard";"A"
"kratva";"krat-va";"umpimähkäinen";"indiscriminate";"A"
"kratvao";"krat-va-o";"epämääräisyys";"indefiniteness";"S"
"kratvao";"krat-va-o";"epämääräisyys";"indeterminacy";"S"
"kratvao";"krat-va-o";"epämääräisyys";"indeterminateness";"S"
"kratvao";"krat-va-o";"epämääräisyys";"obscurity";"S"
"Kretlo";"kret-lo";"Kreeta";"Crete";"S"
"kriketple";"kriket-ple";"kriketti";"cricket";"S"
"Krim";"Krim";"Krimi";"Crime";"S"
"kris";"kris";"kriisi";"crisis";"S"
"krisli";"kris-li";"kriittisesti";"critically";"D"
"krissta";"kris-sta";"kriisitilanne";"crisis situation";"S"
"Krist";"krist";"Kristus";"Christ";"S"
"Krist autkliirte";"krist aut-kliir-te";"Kristuksen kirkastuminen";"Transfiguration of Christ";"S"
"Krist duva uutte";"krist du-va uut-te";"Kristuksen toinen tuleminen";"second coming of Christ";"S"
"kristdav";"krist-dav";"kristinoppi";"Christian doctrine";"S"
"kristjo";"krist-jo";"kristitty";"Christian";"S"
"Kristkros";"Krist-kros";"krusifiksi";"crucifix";"S"
"Kristof tevisoptö";"krist-of te-vi-sop-tö";"Kristuksen sovintotyö";"redemption work of Christ";"S"
"kristra";"krist-ra";"kristillinen rakkaus";"Christian love";"S"
"kristsio";"krist-si-o";"kristikunta";"Christendom";"S"
"kristustolva";"krist-us-tol-va";"kristilliskirkollinen";"christian church";"A"
"kristva";"krist-va";"kristillinen";"Christian";"A"
"kristvao";"krist-va-o";"kristillisyys";"Christianity";"S"
"kristvaus";"krist-va-us";"kristinusko";"Christianity";"S"
"krisva";"kris-va";"kriittinen";"critical";"A"
"kroatva";"kroat-va";"kroatialainen";"Croatian";"A"
"kroketple";"kroket-ple";"kroketti";"croquet";"S"
"kroketple häkvo";"kroket-ple häk-vo";"krokettimaila";"croquet racket";"S"
"krokkuk";"krok-kuk";"krookus";"crocus";"S"
"krokotpe";"krokot-pe";"krokotiili";"crocodile";"S"
"kromosom";"kromosom";"kromosomi";"chromosome";"S"
"kron";"kron";"kruunu";"crown";"S"
"kronpä";"kron-pä";"kruunupää";"crowned head";"S"
"kroon";"kroon";"kruunata";"coronate";"V"
"kroon";"kroon";"kruunata";"crown";"V"
"kroonhäp";"kroon-häp";"kruunajaiset";"coronation";"S"
"kroonte";"kroon-te";"kruunaus";"coronation";"S"
"kroonte";"kroon-te";"kruunaus";"crowning";"S"
"kroos";"kroos";"ristiä";"cross";"V"
"kroos pavesi";"kroos pa-ve-si";"panna kädet ristiin";"cross your arms";"S"
"kroos pavesi";"kroos pa-ve-si";"panna kädet ristiin";"fold your hands";"S"
"kroos pavesi";"kroos pa-ve-si";"ristiä kädet";"cross your arms";"S"
"krooshäp";"kroos-häp";"ristiäiset";"baptizing";"S"
"krooshäp";"kroos-häp";"ristiäiset";"christening";"S"
"kros";"kros";"risti";"cross";"S"
"kroska";"kros-ka";"kruksi";"cross";"S"
"kroska";"kros-ka";"rasti";"checkpoint";"S"
"kroska";"kros-ka";"rasti";"tick";"S"
"kroska";"kros-ka";"ruksi";"check mark";"S"
"kroska";"kros-ka";"ruksi";"cross";"S"
"kroskapaa";"kros-ka-paa";"kruksata";"tick";"V"
"kroskapaa";"kros-ka-paa";"rastittaa";"tick off";"V"
"kroskapaa";"kros-ka-paa";"ruksata";"check off";"V"
"kroskapaa";"kros-ka-paa";"ruksata";"tick off";"V"
"kroskrosli";"kros-kros-li";"ristiin rastiin";"crisscross";"D"
"kroskut";"kros-kut";"leikkaus";"intersection";"S"
"krosli";"kros-li";"ristissä";"across";"D"
"krosli";"kros-li";"ristissä";"crossed";"D"
"krosluli";"kros-lu-li";"poikittain";"across";"D"
"krosluli";"kros-lu-li";"poikittain";"athwart";"D"
"krosluli";"kros-lu-li";"poikittain";"crosswise";"D"
"krosluli";"kros-lu-li";"poikittain";"sideways";"D"
"krosluli";"kros-lu-li";"poikittain";"transversely";"D"
"krosluva";"kros-lu-va";"poikittainen";"transversal";"A"
"krosluva";"kros-lu-va";"poikittainen";"transverse";"A"
"krosob";"kros-ob";"risteys";"crossing";"S"
"krosob";"kros-ob";"risteys";"crossroad";"S"
"krosob";"kros-ob";"risteys";"crossroads";"S"
"krosob";"kros-ob";"risteys";"crossway";"S"
"krosob";"kros-ob";"risteys";"intersection";"S"
"krosob";"kros-ob";"risteys";"junction";"S"
"krosob dot";"kros-ob dot";"leikkauspiste";"intersection point";"S"
"krosponitpu";"kros-po-nit-pu";"ristipalkki";"crossbeam";"S"
"krospos";"kros-pos";"konflikti";"conflict";"S"
"krospos";"kros-pos";"ristiriita";"conflict";"S"
"krospos";"kros-pos";"ristiriita";"contradiction";"S"
"krospos";"kros-pos";"ristiriita";"discordance";"S"
"krospos";"kros-pos";"ristiriita";"discrepancy";"S"
"krosposejva";"kros-pos-ej-va";"ristiriidaton";"uncontroversial";"A"
"krosposejvao";"kros-pos-ej-va-o";"ristiriidattomuus";"consistency";"S"
"krosposva";"kros-pos-va";"ristiriitainen";"conflicted";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"conflicting";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"contradictory";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"contrapositive";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"discordant";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"dissonant";"A"
"krosposva";"kros-pos-va";"ristiriitainen";"warring";"A"
"krosposvao";"kros-pos-va-o";"ristiriitaisuus";"contradiction";"S"
"krosposvao";"kros-pos-va-o";"ristiriitaisuus";"incongruity";"S"
"krosposvao";"kros-pos-va-o";"ristiriitaisuus";"inconsistency";"S"
"krosposvista";"kros-pos-vi-sta";"ristiriitatilanne";"conflict situation";"S"
"krosrupiik";"kros-ru-pi-ik";"ristiinnaulita";"crucify";"V"
"krosrupiikte";"kros-ru-pi-ik-te";"ristiinnaulitseminen";"crucifixion";"S"
"krossaong";"kros-sa-ong";"ristisanatehtävä";"crossword puzzle";"S"
"krossip";"kros-sip";"selkkaus";"conflict";"S"
"krostu";"kros-tu";"ristiin";"across";"P"
"krostu";"kros-tu";"ristiin";"crosswise";"P"
"krosustuo";"kros-us-tuo";"ristiretki";"crusade";"S"
"krosustuojo";"kros-us-tuo-jo";"ristiretkeläinen";"crusader";"S"
"krosvuu";"kros-vuu";"risteillä";"cruise";"V"
"krosvuute";"kros-vuu-te";"risteily";"cruise";"S"
"krosvuvö";"kros-vu-vö";"risteilijä";"cruiser";"S"
"krusärkfis";"kru-särk-fis";"ruutana";"crucian carp";"S"
"krypt";"krypt";"krypto";"crypto";"S"
"kryptrov";"krypt-rov";"kryptovaluutta";"cryptocurrency";"S"
"kräb";"kräb";"rapu";"crab";"S"
"kräb";"kräb";"rapu";"crawfish";"S"
"kräb";"kräb";"rapu";"crayfish";"S"
"kräbaap";"kräb-aap";"ravustaa";"catch crayfish";"V"
"kräbaapte";"kräb-aap-te";"ravustus";"crabbing";"S"
"kräbem";"kräb-em";"äyriäinen";"shellfish";"S"
"kräbpe";"kräb-pe";"äyriäinen";"crustacean";"S"
"ks";"ks";"x";"x";"X"
"ksyltolmo";"ksyltol-mo";"ksylitoli";"xylitol";"S"
"kubit";"ku-bit";"kubitti";"qubit";"S"
"Kublo";"Kub-lo";"Kuuba";"Cuba";"S"
"kubva";"kub-va";"kuubalainen";"Cuban";"A"
"kuem";"ku-em";"keitto";"soup";"S"
"kuem";"ku-em";"soppa";"soup";"S"
"kuemiptolik";"ku-em-ip-tol-ik";"keittokomero";"kitchenette";"S"
"kuemkirto";"ku-em-kir-to";"keittokirja";"cookbook";"S"
"kuemsi";"ku-em-si";"keitot";"soups";"S"
"kuhfis";"kuh-fis";"kuha";"pike perch";"S"
"kuhfis";"kuh-fis";"kuha";"pike-perch";"S"
"kuhfis";"kuh-fis";"kuha";"zander";"S"
"kuiksif";"ku-ik-sif";"kuikka";"black-throated diver";"S"
"kuiksif";"ku-ik-sif";"kuikka";"diver";"S"
"kuiksif";"ku-ik-sif";"kuikka";"loon";"S"
"kuk";"kuk";"kukka";"bloom";"S"
"kuk";"kuk";"kukka";"blossom";"S"
"kuk";"kuk";"kukka";"flower";"S"
"kukfäfjo";"kuk-fäf-jo";"kukkakauppias";"florist";"S"
"kukip";"kuk-ip";"kukkanen";"flower";"S"
"kukkälif";"kuk-kä-lif";"terälehti";"petal";"S"
"kukkäpep";"kuk-käp-ep";"kukkakaali";"cauliflower";"S"
"kukmeh";"kuk-meh";"mesi";"nectar";"S"
"kukmolos";"kuk-mol-os";"kukkapenkki";"flowerbed";"S"
"kukofva";"kuk-of-va";"kukallinen";"flowered";"A"
"kuksi";"kuk-si";"kukat";"flowers";"S"
"kuksipao";"kuk-si-pa-o";"kukkakimppu";"bouquet";"S"
"kuksipao";"kuk-si-pa-o";"kukkakimppu";"corsage";"S"
"kuksipao";"kuk-si-pa-o";"kukkakimppu";"posy";"S"
"kuksipao";"kuk-si-pa-o";"kukkavihko";"nosegay";"S"
"kuksiva";"kuk-si-va";"kukkainen";"flowery";"A"
"kukuu";"ku-kuu";"kukkua";"call ""cucoo""";"V"
"kukuusif";"ku-kuu-sif";"käki";"cuckoo";"S"
"kukuusif käpep";"ku-kuu-sif käp-ep";"käenkaali";"wood sorrel";"S"
"kukuusifkuk";"ku-kuu-sif-kuk";"käenkukka";"campion";"S"
"kukves";"kuk-ves";"maljakko";"vase";"S"
"kukves";"kuk-ves";"vaasi";"vase";"S"
"kuleives";"ku-lei-ves";"pannu";"pan";"S"
"kulo";"ku-lo";"keittiö";"cuisine";"S"
"kulo";"ku-lo";"keittiö";"kitchen";"S"
"kuloaltno";"ku-lo-alt-no";"keittiövuoro";"kitchen duty";"S"
"kuloylvojo";"ku-lo-yl-vo-jo";"keittiömestari";"chef";"S"
"kuloylvojo";"ku-lo-yl-vo-jo";"keittiömestari";"kitchener";"S"
"kum";"kum";"kumi";"gum";"S"
"kum";"kum";"kumi";"rubber";"S"
"kumhö";"kum-hö";"kumu";"rumble";"S"
"kumhöö";"kum-höö";"kumista";"peal";"V"
"kuminep";"kumin-ep";"kumina";"caraway";"S"
"kuminep";"kumin-ep";"kumina";"cumin";"S"
"kumlymaarkvo";"kum-ly-maark-vo";"kumileimasin";"rubberstamp";"S"
"kummilk";"kum-milk";"lateksi";"latex";"S"
"kumnauh";"kum-nauh";"kuminauha";"rubberband";"S"
"kumva";"kum-va";"kuminen";"gummy";"A"
"kun";"kun";"valvetila";"wakefulness";"S"
"kunkaali";"kun-kaa-li";"valppaana";"wide-awake";"D"
"kunkali";"kun-ka-li";"valppaasti";"vigilantly";"D"
"kunkamuuen";"kun-ka-muu-en";"valpastunut";"alerted";"V"
"kunkava";"kun-ka-va";"valpas";"alert";"A"
"kunkava";"kun-ka-va";"valpas";"open-eyed";"A"
"kunkava";"kun-ka-va";"valpas";"wakeful";"A"
"kunkava";"kun-ka-va";"valpas";"watchful";"A"
"kunkava";"kun-ka-va";"valpas";"vigilant";"A"
"kunkavao";"kun-ka-va-o";"valppaus";"alertness";"S"
"kunkavao";"kun-ka-va-o";"valppaus";"watchfulness";"S"
"kunkavao";"kun-ka-va-o";"valppaus";"vigilance";"S"
"kunle";"kun-le";"hereille";"awake";"P"
"kunli";"kun-li";"hereillä";"awake";"D"
"kunli";"kun-li";"valveilla";"awake";"D"
"kuob";"ku-ob";"keitos";"concoction";"S"
"kuobäkpe";"kuo-bäk-pe";"kameli";"camel";"S"
"kuobäkve";"kuo-bäk-ve";"kyttyräselkä";"humpback";"S"
"kuobäkve";"kuo-bäk-ve";"kyttyräselkä";"hunchback";"S"
"kuobäkveva";"kuo-bäk-ve-va";"kyttyräselkäinen";"crookbacked";"A"
"kuobäkveva";"kuo-bäk-ve-va";"kyttyräselkäinen";"hunchback";"A"
"kuobäkveva";"kuo-bäk-ve-va";"kyttyräselkäinen";"hunchbacked";"A"
"kuohomvom";"kuo-hom-vom";"kupla";"bubble";"S"
"kuohomvom";"kuo-hom-vom";"pore";"bubble";"S"
"kuohomvomos";"kuo-hom-vom-os";"poreallas";"Jacuzzi";"S"
"kuohomvomos";"kuo-hom-vom-os";"poreallas";"whirlpool";"S"
"kuohomvoom";"kuo-hom-voom";"kuplia";"bubble";"V"
"kuohomvoom";"kuo-hom-voom";"porista";"bubble";"V"
"kuohomvoomva";"kuo-hom-voom-va";"kupliva";"bubbly";"A"
"kuohomvoomva";"kuo-hom-voom-va";"poreileva";"effervescent";"A"
"kuohomvoomva";"kuo-hom-voom-va";"poreileva";"fizzing";"A"
"kuohomvoomva";"kuo-hom-voom-va";"poreileva";"fizzy";"A"
"kuokato";"kuo-ka-to";"korkokuva";"emboss";"S"
"kuokato";"kuo-ka-to";"reliefi";"relief";"S"
"kuokatooen";"kuo-ka-too-en";"kohokuvioitu";"embossed";"V"
"kuoknithöv";"kuo-knit-höv";"luuttu";"lute";"S"
"kuol";"kuol";"kuoppa";"cavity";"S"
"kuol";"kuol";"kuoppa";"dimple";"S"
"kuol";"kuol";"kuoppa";"pit";"S"
"kuol";"kuol";"kuoppa";"pitting";"S"
"kuol";"kuol";"kuoppa";"pothole";"S"
"kuolsi";"kuol-si";"kuopat";"bumps";"S"
"kuolsi";"kuol-si";"kuopat";"dimples";"S"
"kuolsi";"kuol-si";"kuopat";"pits";"S"
"kuolsiva";"kuol-si-va";"kuoppainen";"bumpy";"A"
"kuolsiva";"kuol-si-va";"kuoppainen";"dimpled";"A"
"kuolsiva";"kuol-si-va";"kuoppainen";"pitted";"A"
"kuolsiva";"kuol-si-va";"kuoppainen";"potholed";"A"
"kuomahev";"kuo-mah-ev";"möhömaha";"paunch";"S"
"kuomahev";"kuo-mah-ev";"möhömaha";"pot-belly";"S"
"kuomol";"kuo-mol";"kumpare";"hillock";"S"
"kuomol";"kuo-mol";"kumpare";"knoll";"S"
"kuomol";"kuo-mol";"kumpu";"hillock";"S"
"kuomol";"kuo-mol";"kumpu";"hummock";"S"
"kuomol";"kuo-mol";"kumpu";"knoll";"S"
"kuomol";"kuo-mol";"kumpu";"mound";"S"
"kuomol";"kuo-mol";"töyry";"hillock";"S"
"kuopinäp";"kuo-pi-näp";"follikkeli";"follicle";"S"
"kuopinäp";"kuo-pi-näp";"rakkula";"blister";"S"
"kuopinäp";"kuo-pi-näp";"rakkula";"vesicle";"S"
"kuoplo";"kuop-lo";"kupoli";"cupola";"S"
"kuoplo";"kuop-lo";"kupoli";"dome";"S"
"kuoreek";"kuo-reek";"kupruilla";"blister";"V"
"kuorek";"kuo-rek";"kupru";"lump";"S"
"kuos";"ku-os";"hella";"cooker";"S"
"kuos";"ku-os";"hella";"loving";"S"
"kuos";"ku-os";"hella";"range";"S"
"kuos";"ku-os";"hella";"stove";"S"
"kuos";"ku-os";"liesi";"cooker";"S"
"kuos";"ku-os";"liesi";"stove";"S"
"kuoshomfreesvo";"ku-os-hom-frees-vo";"liesituuletin";"cooker hood";"S"
"kuoskuoto";"ku-os-kuo-to";"liesikupu";"hood";"S"
"kuoskuoto";"ku-os-kuo-to";"liesikupu";"stove hood";"S"
"kuostal";"ku-os-tal";"keittotaso";"hob";"S"
"kuoto";"kuo-to";"kupu";"hood";"S"
"kuova";"kuo-va";"kupera";"convex";"A"
"kuove";"kuo-ve";"kupu";"craw";"S"
"kuovsif";"kuov-sif";"kuovi";"curlew";"S"
"kuoylri";"kuo-yl-ri";"kukkura";"heaped measure";"S"
"kuoylrili";"kuo-yl-ri-li";"kukkurallaan";"heaped";"D"
"kup";"kup";"kippo";"cup";"S"
"kup";"kup";"kippo";"scoop";"S"
"kup";"kup";"kuppi";"cup";"S"
"kupri";"kup-ri";"kupillinen";"cup of";"S"
"kupri";"kup-ri";"kupillinen";"cupful";"S"
"kupvemlo";"kup-vem-lo";"kuppila";"cafeteria";"S"
"kurdjo";"kurd-jo";"kurdi";"Kurd";"S"
"kurkep";"kurk-ep";"kurkku";"cucumber";"S"
"kurpsif";"kurp-sif";"kurppa";"sandpiper";"S"
"kuskautemo";"kus-kau-te-mo";"halogeeni";"halogen";"S"
"kusmo";"kus-mo";"suola";"salt";"S"
"kusmoejva";"kus-mo-ej-va";"suolaton";"salt free";"A"
"kusmoejva";"kus-mo-ej-va";"suolaton";"unsalted";"A"
"kusmohep";"kus-mo-hep";"suolaheinä";"sorrel";"S"
"kusmokurkep";"kus-mo-kurk-ep";"suolakurkku";"pickled cucumber";"S"
"kusmoo";"kus-moo";"suolata";"apply salt into";"V"
"kusmoo";"kus-moo";"suolata";"corn";"V"
"kusmoo";"kus-moo";"suolata";"cure";"V"
"kusmoo";"kus-moo";"suolata";"salt";"V"
"kusmoo";"kus-moo";"suolata";"salt down";"V"
"kusmo-ofva";"kus-mo-of-va";"suolapitoinen";"saline";"A"
"kusmoote";"kus-moo-te";"suolaus";"saltation";"S"
"kusmoote";"kus-moo-te";"suolaus";"salting";"S"
"kusmova";"kus-mo-va";"suolainen";"briny";"A"
"kusmova";"kus-mo-va";"suolainen";"saltine";"A"
"kusmova";"kus-mo-va";"suolainen";"salty";"A"
"kusmovam";"kus-mo-vam";"suolavesi";"brine";"S"
"kusmovam";"kus-mo-vam";"suolavesi";"salt water";"S"
"kusmovam";"kus-mo-vam";"suolavesi";"saltwater";"S"
"kut";"kut";"leikkaus";"clipping";"S"
"kut";"kut";"leikkaus";"cut";"S"
"kut";"kut";"leikkaus";"cutback";"S"
"kutditerjo";"kut-di-ter-jo";"kirurgi";"operating surgeon";"S"
"kutditerjo";"kut-di-ter-jo";"kirurgi";"sawbones";"S"
"kutditerjo";"kut-di-ter-jo";"kirurgi";"surgeon";"S"
"kutfii";"kut-fii";"vihloa";"grate on";"V"
"kutfii";"kut-fii";"vihloa";"have a stabbing pain";"V"
"kutfii";"kut-fii";"vihloa";"have shooting pains";"V"
"kutfii";"kut-fii";"vihloa";"jar on";"V"
"kutfii";"kut-fii";"vihloa";"shoot";"V"
"kutforjurep";"kut-for-jur-ep";"pistokas";"scion";"S"
"kuthiekamrauuvo";"kut-hie-kam-rauu-vo";"tahko";"grindstone";"S"
"kuthiekamrauuvo";"kut-hie-kam-rauu-vo";"tahko";"whetstone wheel";"S"
"kuthäkvo";"kut-häk-vo";"kirves";"ax";"S"
"kuthäkvo";"kut-häk-vo";"kirves";"axe";"S"
"kuthäkvo";"kut-häk-vo";"kirves";"hatchet";"S"
"kuthäkvo lubod";"kut-häk-vo lu-bod";"kirveen varsi";"ax handle";"S"
"kuthääk";"kut-hääk";"hakata";"chop";"V"
"kuthääk";"kut-hääk";"sivaltaa";"slap";"V"
"kuthääkte";"kut-hääk-te";"hakkaus";"cutting";"S"
"kutiik";"kut-iik";"siivuttaa";"slice";"V"
"kutiik";"kut-iik";"viipaloida";"slice";"V"
"kutiikte";"kut-iik-te";"viipalointi";"slicing";"S"
"kutik";"kut-ik";"leike";"section";"S"
"kutik";"kut-ik";"siivu";"slice";"S"
"kutikto";"kut-ik-to";"viipale";"slice";"S"
"kutli";"kut-li";"kärjekkäästi";"pointedly";"D"
"kutli";"kut-li";"kärkevästi";"sharply";"D"
"kutli";"kut-li";"terävästi";"pointedly";"D"
"kutli";"kut-li";"terävästi";"sharply";"D"
"kutlin";"kut-lin";"sekantti";"secant";"S"
"kutmit";"kut-mit";"kotletti";"cutlet";"S"
"kutmit";"kut-mit";"viillokki";"fricassee";"S"
"kutmonlo";"kut-mon-lo";"kuun sirppi";"crescent moon";"S"
"kutob";"kut-ob";"leike";"clip";"S"
"kutob";"kut-ob";"leike";"clipping";"S"
"kutob";"kut-ob";"leike";"escalope";"S"
"kutobkirto";"kut-ob-kir-to";"leikekirja";"scrapbook";"S"
"kutpiir";"kut-piir";"teroittaa";"inculcate";"V"
"kutpiir";"kut-piir";"teroittaa";"sharpen";"V"
"kutpiir";"kut-piir";"teroittaa";"whet";"V"
"kutpiir";"kut-piir";"terävöittää";"sharpen";"V"
"kutpiirte";"kut-piir-te";"teroitus";"sharpening";"S"
"kutpiirvo";"kut-piir-vo";"teroitin";"sharpener";"S"
"kutpu";"kut-pu";"lauta";"board";"S"
"kutpulao";"kut-pu-la-o";"paneeli";"panel";"S"
"kutpulao";"kut-pu-la-o";"paneeli";"wainscot";"S"
"kutpulapaate";"kut-pu-la-paa-te";"lautaverhous";"wood siding";"S"
"kutpulytal";"kut-pu-ly-tal";"lautalattia";"board floor";"S"
"kutpupaa";"kut-pu-paa";"laudoittaa";"board";"V"
"kutpuple";"kut-pup-le";"lautapeli";"board game";"S"
"kutropapr";"kut-ro-papr";"kuponki";"coupon";"S"
"kutropapr";"kut-ro-papr";"kuponki";"voucher";"S"
"kutsipvo";"kut-sip-vo";"kalpa";"epee";"S"
"kutsipvo";"kut-sip-vo";"kalpa";"sword";"S"
"kutsipvo";"kut-sip-vo";"miekka";"cutlass";"S"
"kutsipvo";"kut-sip-vo";"miekka";"sword";"S"
"kutsipvofis";"kut-sip-vo-fis";"miekkakala";"swordfish";"S"
"kutsipvoote";"kut-sip-voo-te";"miekkailu";"fencing";"S"
"kutto";"kut-to";"terä";"blade";"S"
"kuttokam";"kut-to-kam";"liippa";"whetstone for scythe";"S"
"kutva";"kut-va";"terävä";"acute";"A"
"kutva";"kut-va";"terävä";"incisive";"A"
"kutva";"kut-va";"terävä";"pointy";"A"
"kutva";"kut-va";"terävä";"sharp";"A"
"kutva";"kut-va";"terävä";"trenchant";"A"
"kutvao";"kut-va-o";"terävyys";"acuity";"S"
"kutvao";"kut-va-o";"terävyys";"definition";"S"
"kutvao";"kut-va-o";"terävyys";"sharpness";"S"
"kutvilsemurvö";"kut-vil-sem-ur-vö";"leikkuupuimuri";"combine harvester";"S"
"kutvilsemurvö";"kut-vil-sem-ur-vö";"puimuri";"combine harvester";"S"
"kutvisva";"kut-vis-va";"terävä-älyinen";"smart";"A"
"kutvoo";"kut-voo";"puukottaa";"knife";"V"
