VosaPart	Vosa	Finnish	English
CH	hevCHsimo	bitumi	bitumen
Cm	moCm	curium	curium
Cs	moCs	cesium	caesium
dat	dathed	taateli	date
delf	delfpe	delfiini	dolphin
denar	denarrov	denaari	denarius
fön	fönep	saniainen	fern
diat	diatalg	piilevä	diatom
Ca	moCa	kalsium	calcium
diim	ängdiimte	särmäys	edging
DNA	DNA	DNA	DNA
dolomit	dolomitmo	dolomiitti	dolomite
dom	domple	domino	domino
dov	dovsif	kyyhkynen	pigeon
drag	dragierpe	lohikäärme	dragon
druid	druidusjo	druidi	Druid
dräg	drägpeg	sudenkorento	dragonfly
dest	dest	jälkimmäinen	latter
Boliv	Bolivlo	Bolivia	Bolivia
Berlin	Berlin	Berliini	Berlin
beryl	berylmo	berylli	beryl
beta	beta	beeta	beta
bin	binep	papu	bean
biot	göbiot	probiootti	probiotic
bisn	bisnpe	biisoni	bison
bitl	bitlpeg	kovakuoriainen	beetle
Bk	moBk	berkelium	berkelium
Cd	moCd	kadmium	cadmium
bohem	bohemjo	boheemi	Bohemian
caprea	vampup caprea	raita	willow
Br	moBr	bromi	bromine
bronk	bronkpope	mustangi	bronco
Brusel	Brusel	Bryssel	Brussels
buf	bufpe	puhveli	buffalo
butan	butanmo	butaani	butane
buult	buulten	pultattu	bolted
bäbää	bäbää	määkiä	bleat
dyn	dynhomrekmo	dynamiitti	dynamite
blik	blikfis	salakka	bleak
flip	flip	räpylä	mitt
duoksin	duoksinmo	dioksiini	dioxin
fenol	fenolmo	fenoli	phenol
ferit	feritmo	ferriitti	ferrite
Fids	Fidslo	Fidzi	Fiji
Filipin	filipinjo	filippiiniläinen	Filipino
Filist	filistjo	filistealainen	Philistine
fint	fintsif	peippo	finch
flavonoid	flavonoidmosi	flavonoidit	flavonoids
Fee	autromoFee	terästyä	sharpen
fleik	fleik	hiutale	flake
fasan	fasansif	fasaani	pheasant
formaldehyd	formaldehydmo	formaldehydi	formaldehyde
Fr	moFr	frankium	francium
freem	freemen	kehystetty	framed
freud	freudva	freudilainen	Freudian
frig	frigvuvö	fregatti	frigate
frii	frii ut sysa	vapauttaa syytteestä	acquit
fris	frisva	friisi	Frisian
formalin	formalinmo	formaliini	formalin
fle	fleik	hiutale	flake
etan	etanmo	etaani	ethane
benedikt	benediktusofmäjo	benediktiinimunkki	benedictine
eeg	eeg	munia	lay eggs
een	utnöeen	syntyisin	by birth
eh	eh	oh	oh
elm	elmpu	jalava	elm
emal	emalmo	emali	enamel
endiv	endivep	endiivi	endive
Es	moEs	einsteinium	einsteinium
fenk	fenkep	fenkoli	fennel
esperant	esperant	esperanto	esperanto
Dy	moDy	dysprosium	Dy
etanol	etanolmo	etanoli	ethanol
ether	ethermo	eetteri	aether
eugenol	eugenolmo	eugenoli	eugenol
eukalypt	eukalyptep	eukalyptus	eucalyptus
eukl	euklideva	euklidinen	euclidean
EYT	EYT errili ylva tihri	ULA erittäin korkea taajuus	VHF very high frequency
faan	faante	hassutus	funniness
farao	farao	farao	Pharaoh
eskim	eskimjo	eskimo	Eskimo
amin	aminmo	amiini	amine
anilin	anilinmo	aniliini	aniline
alkyd	alkydmo	alkydi	alkyd
allisin	allisinmo	allisiini	allicin
alpak	alpakpe	alpakka	alpaca
alum	alummo	aluna	alum
amalgam	amalgammo	amalgaami	amalgam
ame	amepe	ameeba	amoeba
ametist	ametistmo	ametisti	amethyst
aligat	aligatpe	alligaattori	alligator
amid	amidmo	amidi	amide
Alger	algerva	algerialainen	Algerian
aminid	nervaminid-ysoknopmo	neuraminidaasi	neuraminidase
ammonia	ammoniamo	ammoniakki	ammonia
amyl	amylmo	amyyli	amyl
anakond	anakondpe	anakonda	anaconda
anan	ananhed	ananas	pineapple
Andi	Andisi	Andit	Andes
anglikan	anglikanusva	anglikaaninen	Anglican
bentsoi	bentsoihapmo	bentsoehappo	benzoic acid
amfetamin	amfetaminmo	amfetamiini	amphetamine
aha	aha	ahaa	aha
ööt	ysifoööt	lakkoilla	strike
Abyssin	Abyssinlo	Abessinia	Abyssinia
Ac	moAc	aktinium	actinium
ADC	ADC	ATK	computing
adeno	adenovir	adenovirus	adenovirus
adrenalin	adrenalinmo	adrenaliini	adrenaline
Adria	Adria fovamlo	Adrianmeri	Adriatic Sea
afrikans	afrikans	afrikaans	Afrikaans
alkaloid	alkaloidmo	alkaloidi	alkaloid
agem	agemhäp	nyyttikestit	bring-dish party
antil	antilpe	antilooppi	antelope
ai	ai	aijai	aye
aid.	aid.	jne.	etc.
aids	aidsret	aids	AIDS
Akilles	Akilles roupev	akillesjänne	Achilles tendon
akryl	akrylmo	akryyli	acrylic
alaba	alabastmo	alabasteri	alabaster
albatro	albatrosif	albatrossi	albatross
aldehyd	aldehydmo	aldehydi	aldehyde
agat	agatmo	akaatti	agate
bant	bantjo	bantu	Bantu
anhydrid	anhydridmo	anhydridi	anhydride
audiit	audiit	auditoida	audit
austenit	austenitmo	austeniitti	austenite
avokad	avokadhed	avokado	avocado
Babylon	babylonva	babylonialainen	Babylonian
bals	balsmo	palsami	balsam
balsa	balsamoo	palsamoida	embalm
balt	baltsilfis	silakka	Baltic herring
Atserb	atserbjo	azerbaidžani	Azerbaijan
banan	bananhed	banaani	banana
ati.	ati.	yms.	etc.
barl	barlvilep	ohra	barley
barog	barogno	barokki	baroque
basalt	basaltkam	basaltti	basalt
basil	basilbakt	basilli	bacillus
bauksit	bauksitmo	bauksiitti	bauxite
beduin	beduinjo	beduiini	Bedouin
beelt	beelt	vyöttää	belt
gael	gael	gaelin kieli	gaelic
bamb	bambep	bambu	bamboo
asetat	asetatmo	asetaatti	acetate
antrasit	antrasitmo	antrasiitti	anthracite
aprik	aprikhed	aprikoosi	apricot
Arame	arameva	aramealainen	Aramaic
Argent	argentjo	argentiinalainen	Argentine
argin	arginmo	arginiini	arginine
arjal	arjaljo	arjalainen	Aryan
artis	rujartisep	latva-artisokka	artichoke
artisok	artisokep	artisokka	artichoke
atstek	atstekjo	atsteekki	Aztec
ase	asepu	haapa	aspen
bentsen	bentsenmo	bentseeni	benzene
aseton	asetonmo	asetoni	acetone
asetyl	n-asetylkysteinmo	n-asetyylikysteiini	n-acetylcysteine
asetylen	asetylenmo	asetyleeni	acetylene
asparta	aspartamo	aspartaami	aspartame
aspirin	aspirinmo	aspiriini	aspirin
aster	asterkuk	asteri	aster
At	moAt	astatiini	astatiini
Aten	Atenlo	Ateena	Athens
asbest	asbestmo	asbesti	asbestos
kielo	kielokuk	kielo	lily of the valley
kauts	kautsmo	kautsu	caoutchouc
kavaljer	kavaljerjo	kavaljeeri	cavalier
kaviar	kaviarem	kaviaari	caviar
keliak	keliakret	keliakia	celiac disease
Kenia	Kenialo	Kenia	Kenya
keratin	keratinmo	keratiini	keratin
kert	kertpeg	leppäkerttu	ladybug
Fär	Färvammolsi	Färsaaret	Faeroe Islands
kidn	kidnev	munuainen	kidney
kartesian	kartesianva	karteesinen	cartesian
kih	kihmae	kihomato	pinworm
kinin	kininmo	kiniini	quinine
kisk	kiskfis	kiiski	ruff
kiv	kivhed	kiivi	kiwi
klamyd	klamydbakt	klamydia	Chlamydia
klarinet	klarinethöv	klarinetti	clarinet
klitor	klitorev	häpykieli	clitoris
klostrid	klostridbakt	klostridium	clostridium
kerub	kerubenkjo	kerubi	cherub
kamp	kampfis	kampela	flounder
jyym	jyym	jyllätä	thunder
jäk	jäksaa	jäkättää	yack
kaalk	kaalk	liiduta	chalk
kab	rovturkabos	kassakaappi	safe-deposit
kakr	tankakrkuk	päivänkakkara	daisy
kakt	kaktep	kaktus	cactus
Kaliforn	Kalifornlo	Kalifornia	California
kalvin	kalvinus	kalvinisti	Calvinist
kauks	kauksjo	kaukasialainen	Caucasian
kamomil	kamomilep	kamomilla	chamomile
kataj	katajpup	kataja	juniper
kaner	kanerep	kanerva	heather
kannabis	kannabismo	kannabis	cannabis
kant	kantfung	kanttarelli	chanterelle
kardinal	kardinaljo	kardinaali	cardinal
karib	karibpe	karibu	caribou
karotenoid	karotenoidmo	karotenoidi	carotenoid
karp	karpfis	karppi	carp
kofein	kofeinmo	kofeiini	caffeine
kamf	kamfmo	kamferi	camphor
kuism	möylkuismep	mäkikuisma	St. John's wort
koala	koalabiörpe	koala	coala bear
krok	krokkuk	krookus	crocus
krokot	krokotpe	krokotiili	crocodile
kromosom	kromosom	kromosomi	chromosome
kru	krusärkfis	ruutana	crucian carp
kräk	raikräksif	ruisrääkkä	corncrake
ks	ks	x	x
Kse	moKse	ksenon	xenon
Krim	Krim	Krimi	Crime
kuh	kuhfis	kuha	zander
kriket	kriketple	kriketti	cricket
kumin	kuminep	kumina	cumin
kuool	vekuool	kuopia	paw
kuop	kuoplo	kupoli	cupola
kurd	kurdjo	kurdi	Kurd
kurp	kurpsif	kurppa	sandpiper
kurpits	laknokurpitsep	kesäkurpitsa	zucchini
kuup	hemoterkuup	kupata	cup
kv	kv	q	q
ksyltol	ksyltolmo	ksylitoli	xylitol
koriant	koriantep	korianteri	coriander
Jook	Njuu Jook	New York	New York
kojot	kojotpe	preeriasusi	prairie wolf
kolesterol	kolesterolmo	kolesteroli	cholesterol
kon	konber	konnanmarja	baneberry
konfuts	konfutside	kungfutselaisuus	Confucianism
kons	kons	konsonantti	consonant
koork	koork	korkittaa	cork
kopt	koptusva	kopti	Coptic
kroat	kroatva	kroatialainen	Croatian
Koran	Korankirto	Koraani	Koran
kodein	kodeinmo	kodeiini	codeine
korn	kornlaoev	sarveiskalvo	cornea
korp	korpsif	korppi	raven
kort	kortep	korte	horsetail
kotar	kotarsif	kottarainen	starling
Kr	moKr	krypton	krypton
kraak	kraak	rääkkyä	croak
kras	krasep	krassi	cress
Kret	Kretlo	Kreeta	Crete
koral	koralep	koralli	coral
hapr	haprfung	hapero	mess up
Helsink	Helsink	Helsinki	Helsinki
guul	guulte	läänitys	fief
haiin	haiinpe	hyeena	hyena
haj	hajfis	hai	shark
haleluj	haleluj	halleluja	Hallelujah
halou	halou	haloo	hullo
Hamburg	hamburgem	hampurilainen	hamburger
haming	hamingsif	kolibri	hummingbird
Guin	Guinlo	Guinea	Guinea
han	hansif	hanhi	goose
Guatema	Guatemalo	Guatemala	Guatemala
harj	harjsälmfis	harjus	grayling
harm	harmhöv	harmoni	harmonium
harts	hartsmo	hartsi	resin
hasel	haselnut	hasselpähkinä	hazelnut
hasis	hasispäräjmo	hasis	hashish
Havaij	havaijjo	havaijilainen	Hawaiian
heel	isheel	heläyttää	twang
juju	jujuvo	jojo	yo-yo
hamp	hampep	hamppu	hemp
gono	gonoret	tippuri	gonorrhea
gal	galri	gallona	gallon
Galf	Galf-vamtul	Golfvirta	Gulf Stream
gasel	gaselpe	gaselli	gazelle
Gd	moGd	gadolinium	gadolinium
Georg	Georglo	Georgia	Georgia
gepard	gepardpe	gepardi	cheetah
Ghan	Ghanlo	Ghana	Ghana
glukos	glukosmo	glukoosi	glucose
gutperk	gutperkmo	guttaperkka	gutta-percha
glyserol	glyserolmo	glyseroli	glycerol
hemoglobin	hemoglobinmo	hemoglobiini	hemoglobin
gor	gormämpe	gorilla	gorilla
grafit	grafitmo	grafiitti	graphite
gran	grankammo	granaatti	garnet
granit	granitkam	graniitti	granite
gregor	gregorva	gregoriaaninen	gregorian
greip	greiphed	greippi	grapefruit
griin	griin	viheriöidä	green up
Grön	Grönlo	Grönlanti	Greenland
glut	glutmo	gluteeni	gluten
jams	jamsep	jamssi	yam
helou	helou	haloo	Hello
idee	fainideete	idealisointi	idealisation
ieel	ieelte	kavennus	narrowing
ieh	oiliehkam	öljysora	oil gravel
iihahaa	iihahaa	hirnua	neigh
ilv	ilvpe	ilves	lynx
intian	intianjo	intiaani	Native American
isotiosyanat	isotiosyanatmo	isotiosyanaatti	isothiocyanate
hyperbol	hyperbolva	hyperbolinen	hyperbolic
jaguar	jaguarpe	jaguaari	jaguar
hydroksid	hydroksidmo	hydroksidi	hydroxide
jasmin	jasminep	jasmiini	jasmin
jats	jatsrohö	jazz	jazz
jenk	jenkjo	jenkki	Yankee
jep	jep	jep	yep
Jesus	Jesus	Jeesus	Jesus
jog	jogpou	jooga	yoga
joi	joihösa	joiku	yoiking
kvarts	kvartskam	kvartsi	quartz
isotop	isotop	isotooppi	isotope
hirs	hirsvilep	hirssi	millet
heparin	heparinmo	hepariini	heparin
hepat	hepatret	hepatiitti	hepatitis
heroin	heroinmo	heroiini	heroin
heöör	rouppäheöör	palmikoida	braid
Hf	moHf	hafnium	hafnium
Hg	moHg	elohopea	mercury
hieek	hieek	hiekoittaa	sand
hih	hih	hah	ha
höh	höh	höh	lol
hipp	hippjo	hippi	hippie
Jugs	jugsjo	jugoslaavi	Yugoslav
his	hisep	iisoppi	hyssop
histamin	histaminmo	histamiini	histamine
hohhoo	hohhoo	hohottaa	laugh
hortens	hortensep	hortensia	hydrangea
huh	huh	häh	huh
huml	humlupep	humala	hop
hun	hunjo	hunni	Hun
hyasint	hyasintep	hyasintti	hyacinth
hikkap	hikkap	hikka	hiccup
