Vosa	VosaParts	Finsi	Engsi
kadelim	ka-de-lim	takaraja	deadline
jänrilim	jä-n-ri-lim	ikäraja	age-limit
yllim	yl-lim	yläraja	upper limit; capping
vällim	väl-lim	juopa	chasm; gap; gulf
hokaulim	ho-kau-lim	haamuraja	magic barrier; magic limit
tevlim	tev-lim	itäraja	eastern border
lylim	ly-lim	alaraja	lower bound
Krim	Krim	Krimi	Crime
kaalm	kaalm	jäätyä	freeze
hiekaalm	hie-kaalm	huurtaa	frost
tekaalm	te-kaalm	jäädyttää; pakastaa	suspend; freeze
simolkaalm	si-mol-kaalm	routia	freeze
autmolkaalm	aut-mol-kaalm	routaantua	freeze
kalm	kalm	jää	ice
hiekalm	hie-kalm	huurre	frost; hoar; hoarfrost; icing; rime
molkalm	mol-kalm	routa	ground frost
kinomolkalm	ki-no-mol-kalm	ikirouta	permafrost
mehvemkalm	meh-vem-kalm	mehujää	popsicle
ipkalm	ip-kalm	kuura	rime
hom	hom	ilma	air
hom-	hom	ilma-	aerial; aero
poaag hom	po-aag hom	vetää henkeä	inhale
in hom	in hom	ilmassa	in the air
oo na obrisk in hom	oo na ob-risk in hom	olla uhkana ilmassa	be a threat in the air
nihom	ni-hom	ulkoilma	fresh air
smokhom	smok-hom	savusumu	smog
vamhom	vam-hom	vesihöyry	steam; water vapor
läkvamhom	läk-vam-hom	löyly	heat in a sauna; steam
biovamhom	bio-vam-hom	usva	fog; haze; mist
ipvamhom	ip-vam-hom	auer; utu	haze; mist
kalmhom	kalm-hom	pakkasilma	frosty air
vomhom	vom-hom	höyry	steam; vapour; vapor
li vomhom	li vom-hom	höyrynä	as steam
kavomhom	ka-vom-hom	sumu	fog; mist; haze
evhom	ev-hom	henki	breath
kom	kom	komin kieli	Komi; Komi language
molhoom	mol-hoom	möyhentää	loosen
vomhoom	vom-hoom	höyrytä	fume; reek; steam
autvomhoom	aut-vom-hoom	höyrystyä	vaporize
bönhoom	bön-hoom	liehtoa tulta	blow on; fan the fire
pohoom	po-hoom	puhista	puff
tuhoom	tu-hoom	haihduttaa	disperse; dissipate
auttuhoom	aut-tu-hoom	haihtua	dissipate; evaporate; scatter; volatilize
evhoom	ev-hoom	hengittää	breathe; exhale; respire
nopevhoom	nop-ev-hoom	huohottaa; läähättää; puuskuttaa	pant; puff
isevhoom	is-ev-hoom	hengähtää; henkäistä	take a breath; blow out; breathe
poom	poom	pommittaa	bombard; drop bombs; bomb
toom	toom	tomuttaa; pölyttää	dust
visemtoom	vi-sem-toom	pölyttää	pollinate
böntoom	bön-toom	noeta	soot
auttoom	aut-toom	pölytä	lint
urevoom	ur-e-voom	kusta; pissata; virtsata	urinate; wee; take a piss; take a leak; piddle; pee; micturate; piss
aj urevoom	aj ur-e-voom	minä pissaan	I am peeing
teurevoom	te-ur-e-voom	kusettaa	piss off
bolvoom	bol-voom	vaahdota	foam; froth; lather
tebolvoom	te-bol-voom	vaahdottaa	froth
pofiemvoom	po-fi-em-voom	marinoida	marinate; souse
autpofiemvoom	aut-po-fi-em-voom	marinoitua	marinate; pickled
homvoom	hom-voom	kuohua	fizz; seethe; surge; effervesce
tehomvoom	te-hom-voom	kuohuttaa	ferment; perturb
kuohomvoom	kuo-hom-voom	porista; kuplia	bubble
sikuohomvoom	si-kuo-hom-voom	poreilla	bubble
kaevvoom	ka-ev-voom	kyynelehtiä	water
laevvoom	la-ev-voom	hikoilla; hiostaa	perspire; sweat
autlaevvoom	aut-la-ev-voom	hiota	sweat
pom	pom	pommi	bomb; bombshell
moikpom	mo-ik-pom	atomipommi	atomic bomb; nuke
visempom	vi-sem-pom	seksipommi	sexpot
ydinpom	ydin-pom	ydinpommi	nuclear bomb
bönpom	bön-pom	palopommi	firebomb; incendiary bomb
nopom	no-pom	aikapommi	time bomb
tuvöpom	tu-vö-pom	autopommi	car bomb
kromosom	kromosom	kromosomi	chromosome
tom	tom	tomu; pöly	dust
visemtom	vi-sem-tom	siitepöly	pollen
böntom	bön-tom	noki	smut; soot
vom	vom	neste	liquid
li vom	li vom	nesteenä	as a liquid
intu vom	in-tu vom	nesteeseen	into the liquid
urevom	ur-e-vom	kusi; pissa; urea; virtsa	urine; urea; pee
beivom	bei-vom	lapsivesi	amniotic
smelvom	smel-vom	hajuvesi	perfume
bolvom	bol-vom	vaahto	foam
lafätbolvom	la-fät-bol-vom	kermavaahto	whipped cream
emvom	em-vom	liemi	bouillon; broth; stock
semvom	sem-vom	siemenneste; sperma	seed; sperm; semen; cum; seminal fluid
homvom	hom-vom	kuohu	foam
kuohomvom	kuo-hom-vom	kupla; pore	bubble
hemovom	hemo-vom	seerumi; verihera	blood serum; serum
leusiheörvom	leu-si-heör-vom	partavesi	aftershave
mitvom	mit-vom	lihaliemi	stock
kaevvom	ka-ev-vom	kyynel	tear; teardrop; tear-drop
inkaevvom	in-ka-ev-vom	lasiainen	corpus vitreum; vitreous humour
laevvom	la-ev-vom	hiki	perspiration; sweat
moPm	mo-Pm	prometium	promethium
tevaarm	te-vaarm	varmentaa; varmistaa	insure; ensure; verify; make sure; certify; ascertain; authenticate; secure; assure; confirm
rovaarm	ro-vaarm	taata	vouch; warrant; guarantee; vouch for
autderovaarm	aut-de-ro-vaarm	takautua	guarantee; backtrack
autvaarm	aut-vaarm	varmistua	be assured; ensure; make sure
stavarm	sta-varm	takuu	surety; warranty; guarantee; guaranty
tevarm	te-varm	varmenne	certificate
rovarm	ro-varm	tae; vakuus	collateral; guarantee; security; surety
germ	germ	saksan kieli	German
moSm	mo-Sm	samarium	samarium
moTm	mo-Tm	tulium	thulium
rytm	rytm	rytmi; tahti	rhythm; tempo; pace
parerytm	pa-re-rytm	synkronointi	synchronization
fonrytm	fo-n-rytm	vuorokausirytmi	circadian rhythm
biorytm	bio-rytm	biorytmi	biorhythm
hemorytm	hemo-rytm	pulssi; pulssi-	pulse; pulsed
paryytm	pa-ryytm	tahdistaa	synchronize
reryytm	re-ryytm	synkata	synch
pareryytm	pa-re-ryytm	synkronoida	sync; synchronize
kaum	kaum	kallio	cliff; rock
alvamva kaum	al-vam-va kaum	vedenalainen kallio	underwater rock
beskaum	bes-kaum	peruskallio	bedrock
kum	kum	kumi	gum; rubber
vapkum	vap-kum	pyyhekumi	eraser
bitkum	bit-kum	purukumi	chewing gum
enöyvkum	e-nö-yv-kum	kondomi	condom
lum	lum	lumi	snow
vamlum	vam-lum	sohjo; loska	sleet (on ground); wet snow; slush
votlum	vot-lum	nuoska; räntä	wet snow; sleet; sticky snow
pum	pum	puu; puuaine	wood; wood material
ob pum	ob pum	puusta	of wood
mofuliimen pum	mo-ful-iim-en pum	kyllästetty puu	impregnated wood
tolpum	tol-pum	rakennuspuu	construction wood
rum-	rum	kiinto-	fixed-; solid
iktum	ik-tum	liuos	solution
pahiktum	pah-ik-tum	lipeä	lye
rumoiktum	ru-mo-ik-tum	liimaliuos	mucilage
telienoiktum	te-li-en-o-ik-tum	marinadi	marinade
teruum	te-ruum	kiinteyttää	solidify; tone up
hievyläkruum	hie-vy-läk-ruum	sintrata	sinter
autkalruum	aut-kal-ruum	jähmettyä	congeal; solidify
iktuum	ik-tuum	liuottaa	dissolve
autiktuum	aut-ik-tuum	liueta	dissolve; resolve
jyym	jyym	jyllätä	thunder
äm	äm	muija; nainen; ämmä	chick; female; female person; lady; woman
litekaaäm	li-te-kaa-äm	näyttelijätär	actress
raaäm	raa-äm	rakastajatar	mistress
hösaaäm	hö-saa-äm	laulajatar	songstress
emfaäm	em-fa-äm	tarjoilija; tarjoilijatar	barmaid; waitress
cerohaäm	ce-ro-ha-äm	paronitar	baroness
dirohaäm	di-ro-ha-äm	kreivitär	countess
resdirohaäm	res-di-ro-ha-äm	varakreivitär	Viscountess
järohaäm	jä-ro-ha-äm	herttuatar	duchess
kaäm	ka-äm	kaunotar	beauty; belle
fovamkaäm	fo-vam-ka-äm	merenneito	mermaid
ämraäm	äm-ra-äm	lesbo	lesbian
ussaäm	us-sa-äm	papitar	priestess
kausaäm	kau-sa-äm	muusa; runotar	muse
leitusaäm	lei-tu-sa-äm	juoruakka	newsmonger
uskeäm	us-ke-äm	kummitäti	godmother
neaafäm	ne-aaf-äm	perijätär	heiress
fäfäm	fäf-äm	liikenainen	businesswoman
ahrapoaagäm	ah-ra-po-aag-äm	viettelijätär	temptress; seductress
tuahrapoaagäm	tu-ah-ra-po-aag-äm	vamppi	vamp
ahmägäm	ah-mäg-äm	noita-akka	witch; enchantress; sorceress; crone
viäm	vi-äm	vaimo	married woman; missus; wife
tu jaof viäm	tu ja-of vi-äm	vaimollesi	to your wife
ajof viäm	aj-of vi-äm	vaimoni	my wife
bajviäm	ba-j-vi-äm	aviovaimo	wife
enbajviäm	en-ba-j-vi-äm	morsian	bride; fiancee
balviäm	ba-l-vi-äm	kotirouva	woman of the house; homemaker; housewife; lady of the house
unviäm	un-vi-äm	akka; eukko	old wife; witch; old woman; old girl; bag; wife
eönviäm	e-ön-vi-äm	leski; leskinainen; leskirouva	widowed; widow; widow lady
orviäm	or-vi-äm	akka	hag; woman (not polite)
bajäm	ba-j-äm	perheenemäntä	housewife
cejäm	ce-j-äm	täti	aunt
bajviejäm	ba-j-vi-ej-äm	vanhapiika	spinster; old maid
sakäm	sak-äm	onnetar	Fortune
royläm	ro-yl-äm	kuningatar	Queen
mäm	mäm	ihminen	man; individual; human being; human; person
mäm-	mäm	ihmis-	human
midliva mäm	mid-li-va mäm	keskivertoihminen	average person
obramäm	ob-ra-mäm	tahtoihminen	strong willed
emäm	em-äm	emäntä	matron; mistress; landlady; hostess; cook
eemäm	ee-mäm	syöjätär	harpy
huemäm	hu-em-äm	lentoemäntä	flight attendant; stewardess
päemäm	pä-em-äm	pääemäntä	kitchen head
simäm	si-mäm	ihmiskunta	human race; humanity; humankind; mankind
vimäm	vi-mäm	puoliso; siippa	spouse; partner; consort; better half
pöal vimäm	pö-al vi-mäm	tossun alla	henpecked; under one's feet
havimäm	ha-vi-mäm	sälli	bod; fellow
bajvimäm	ba-j-vi-mäm	aviopuoliso	spouse
oupvimäm	oup-vi-mäm	avopuoliso	cohabitant; housemate
lekmäm	lek-mäm	nukke	dummy; manikin; dolly; doll; puppet
tikvelekmäm	tik-ve-lek-mäm	sätkynukke	puppet
vehuklekmäm	ve-huk-lek-mäm	marionetti	marionette
tyllekmäm	tyl-lek-mäm	muotinukke	fashion doll; fashion plate
kitilmäm	ki-til-mäm	humanoidi	humanoid
ipmäm	ip-mäm	ipana; lapsi; nappula; tenava; vekara; vesseli	kiddy; brat; child; daughter or son; enfant; kid; nipper; tiddler; youngster; kiddie
uskeipmäm	us-ke-ip-mäm	kummilapsi	godchild
ahipmäm	ah-ip-mäm	penska; kakara; musikka	brat; nauhgty disobent child
pi-ipmäm	pi-ip-mäm	lapsenlapsi	grandchild
bajviejipmäm	ba-j-vi-ej-ip-mäm	äpärä	bastard
tuoipmäm	tuo-ip-mäm	taapero	toddler
voejhäpipmäm	vo-ej-häp-ip-mäm	ihmelapsi	prodigy
haeöpiiripmäm	ha-e-ö-piir-ip-mäm	kasvattilapsi	foster child
unäm	un-äm	ämmä	old lady
ahcumiva unäm	ah-cu-mi-va un-äm	pahansisuinen ämmä	battleaxe
cejdirunäm	ce-j-dir-un-äm	matriarkka	matriarch
hajoäm	ha-jo-äm	jumalatar	goddess
ussajoäm	us-sa-jo-äm	papin vaimo; ruustinna	priest's wife
väjoäm	vä-jo-äm	aatelisnainen	noblewoman
roäm	ro-äm	leidi; rouva	lady; madam; matron; Mrs.; wife
ahvoäm	ah-vo-äm	lutka	hussy; slut
honvoäm	hon-vo-äm	sankaritar	heroine
ipäm	ip-äm	tyttö	girl
aharäm	ah-ar-äm	ämmä	battleaxe
keisaräm	keisar-äm	keisarinna	empress
seeräm	seer-äm	palvelijatar	handmaid; maidservant; handmaiden
sipseräm	sip-ser-äm	lotta	woman in auxiliary services in war
diiräm	diir-äm	johtajatar	headmistress; manageress
tödiiräm	tö-diir-äm	työnjohtaja nainen	forewoman
mägmiyysäm	mäg-mi-yys-äm	lumoojatar	enchantress
uscuäm	us-cu-äm	luottamusnainen; uskottu nainen	confidante; trusted woman
nuäm	nu-äm	neiti	dame; lass; madam; miss; Ms; single woman; unmarried woman; young lady
kanuäm	ka-nu-äm	missi	miss
tuäm	tu-äm	naikkonen	dame; doll; hussy; trollop; wench
mivolttuuäm	mi-volt-tuu-äm	seikkailijatar	adventuress
padaaväm	pa-daav-äm	opettajatar	schoolmistress
pöäm	pö-äm	valtiatar	sovereign
rolypöäm	ro-ly-pö-äm	ruhtinatar	princess
ban	ba-n	sek; sekunti	sec; second
kaulban	kaul-ban	kaarisekunti	arc second; arcsecond
tan	tan	päivä	day; daytime
Maria tan	Maria tan	Marian päivä	Mary's day; St. Mary's Day
hava tan	ha-va tan	hyvää päivää	good day; how do you do
Tapanof tan	Tapan-of tan	tapaninpäivä	Boxing Day; St. Stephen's Day
obri tan	ob-ri tan	päivässä	per day
in tan	in tan	päivässä	a day
nova jän tan	no-va jä-n tan	uudenvuodenpäivä	New Year's Day
autnavao tan	aut-na-va-o tan	itsenäisyyspäivä	Independence Day
sivako tan	si-va-ko tan	monesko päivä	what date
fätkatvo tan	fät-kat-vo tan	kynttilänpäivä	Candlemas Day
fivhynis tan	fiv-hy-nis tan	vappu	May Day; mayday
na ö tan	na ö tan	jonain päivänä	some day
batan	ba-tan	maanantai	Monday
na batan	na ba-tan	maanantaina	on Monday
Afturobatan	af-tu-ro-ba-tan	pääsiäismaanantai	Easter Monday
Matan	Ma-tan	isänpäivä	Father's Day
ersatan	er-sa-tan	nimipäivä	name day
haforsatan	ha-for-sa-tan	kiitospäivä	thanksgiving day
midtan	mid-tan	keskipäivä	noontide; noonday; midday; high noon; noon
na midtan	na mid-tan	keskipäivällä	at noon; noonday; noontide
cetan	ce-tan	tiistai	Tuesday
na cetan	na ce-tan	tiistaina	on Tuesday
detan	de-tan	huomispäivä; huomen; huominen	morning; morrow; tomorrow
yldetan	yl-de-tan	ylihuominen	the day after tomorrow
tetan	te-tan	arki; arkipäivä	everyday; weekday
pyhtetan	pyh-te-tan	arkipyhä	ecclesiastic(al) holiday
nöetan	nö-e-tan	syntymäpäivä	birthday
pyhtan	pyh-tan	pyhäpäivä; sabatti; sapatti	Holy Day; Sabbath
na pyhtan	na pyh-tan	pyhänä	on a public holiday
Ejeemno pyhtan	ej-eem-no pyh-tan	paastonajan sunnuntai	Sunday in Lent
Lytuono Pyhtan	Ly-tuo-no Pyh-tan	laskiaissunnuntai	Shrove Sunday
ustolpyhtan	us-tol-pyh-tan	kirkkopyhä	church holiday
Pöcuupyhtan	Pö-cuu-pyh-tan	tuomiosunnuntai	Judgement Sunday
ditan	di-tan	keskiviikko	Wednesday
na ditan	na di-tan	keskiviikkona	on Wednesday
fritan	fri-tan	vapaapäivä	day off; holiday
Amsitan	Am-si-tan	äitienpäivä	Mother's Day
Pyhjositan	Pyh-jo-si-tan	pyhäinpäivä	All Saints' Day
Enkjositan	enk-jo-si-tan	mikkelinpäivä	Michaelmas Day; St. Michael's Day
tebajvitan	te-ba-j-vi-tan	hääpäivä	wedding anniversary; wedding day
saktan	sak-tan	onnenpäivä	lucky day
autsioiiktan	aut-si-o-iik-tan	erääntymispäivä	due date
sioiktan	si-o-ik-tan	eräpäivä	due date; expiration date
marktan	mark-tan	merkkipäivä	memorable day; special day
läktan	läk-tan	hellepäivä	scorcher; sizzle
Duva Jultan	Du-va Jul-tan	toinen joulupäivä	St. Stephen's Day
entan	en-tan	aamu	morn; morning
nöli na entan	nö-li na en-tan	aamutuimaan	first thing in the morning
hava entan	ha-va en-tan	huomenta	good morning
edentan	ed-en-tan	eilisaamu	yesterday morning
nentan	nen-tan	nykypäivä	present-day
vintan	vin-tan	voitonpäivä	victory day
guntan	gu-n-tan	viikonpäivä	week day
jäntan	jä-n-tan	vuosipäivä	anniversary
öntan	ön-tan	iltapäivä	afternoon
teotan	te-o-tan	käyttöpäivä	date of use
önva teotan	ön-va te-o-tan	viimeinen käyttöpäivä	expiration date
fotan	fo-tan	torstai	Thursday
na fotan	na fo-tan	torstaina	on Thursday
Pyhva Fotan	Pyh-va Fo-tan	kiirastorstai	Holy Thursday; Maundy Thursday
Haloyylte Fotan	Ha-lo-yyl-te Fo-tan	helatorstai	Ascension Day
Pyhhotan	Pyh-ho-tan	helluntai	Pentecost
havijotan	ha-vi-jo-tan	ystävänpäivä	Valentine's Day
midlaknotan	mid-lak-no-tan	juhannuspäivä	Midsummer's Day; St. John's Day
julnotan	jul-no-tan	joulupäivä	Christmas day
ronotan	ro-no-tan	juhlapäivä	feast-day; holiday; jubilee
Duva Afturonotan	Du-va Af-tu-ro-no-tan	toinen pääsiäispäivä	Easter Monday
enrotan	en-ro-tan	aatto; aattopäivä	eve; day before a holiday
julenrotan	jul-en-ro-tan	jouluaatto	Christmas Eve
dihpatotan	dih-pa-to-tan	ilmestymispäivä	date of publication
ahdiirtan	ah-diir-tan	aprillipäivä	April fools day
ahosortan	ah-o-sor-tan	katumuspäivä	day of penance
ettan	et-tan	lepopäivä	day of rest; Sabbath
sadkauuttan	sad-ka-uut-tan	ilmestyspäivä	annunciation day
Maria sadkauuttan	Maria sad-ka-uut-tan	Marian ilmestyspäivä	annunciation day
gutan	gu-tan	perjantai	Friday
na gutan	na gu-tan	perjantaina	on Friday
Luva Gutan	Lu-va Gu-tan	pitkäperjantai	Good Friday
pöcuutan	pö-cuu-tan	tuomiopäivä	doomsday; judgement day; day of judgment
törovtan	tö-rov-tan	palkkapäivä	payday
hytan	hy-tan	lauantai	Saturday
na hytan	na hy-tan	lauantaina	on Saturday
jätan	jä-tan	sunnuntai	Sunday
na jätan	na jä-tan	sunnuntaina	on Sunday
Vitrevao Jätan	Vi-tre-va-o Jä-tan	kolminaisuuden päivä	Trinity Sunday
Afturojätan	af-tu-ro-jä-tan	pääsiäissunnuntai	Easter Sunday
palmpujätan	palm-pu-jä-tan	palmusunnuntai	Palm Sunday
tätan	tä-tan	tämän päivän	today's
nötan	nö-tan	aamupäivä	forenoon; morning
sötan	sö-tan	muistopäivä	commemoration day
tötan	tö-tan	työpäivä	workday; working day
en	en	ennen; vaille kelloajasta	ere; formerly; previously; prior; sooner; to (clock); before
li en	li en	entisellään	unaltered
daaen	daa-en	tiesi; tiesivät	knew
ajsi vikadaaen	aj-si vi-ka-daa-en	tutustuimme; tutustuimme toisiimme	we got acquainted; we got to know each other
vokadaaen	vo-ka-daa-en	tunnistettu	recognized; distinguished; identified
kavodaaen	ka-vo-daa-en	tunnettu	wellknown; known
ödaaen	ö-daa-en	määrätty	destined; specified; definite; defined
faaen	faa-en	annettu; antanut; antoi	given; gave
sekdihdafaaen	sek-dih-da-faa-en	etsintäkuulutettu	wanted
katdafaaen	kat-da-faa-en	valistunut	enlightened
hafaaen	ha-faa-en	hyväksytty	accepted; admitted; adopted; approved
muu hafaaen	muu ha-faa-en	tulla hyväksytyksi	be admitted
ahhafaaen	ah-ha-faa-en	annettu anteeksi; antoi anteeksi	forgave; forgiven
ersafaaen	er-sa-faa-en	nimitetty	appointed; appointee; nominated
jefaaen	je-faa-en	myönnetty	accorded; allocated; granted
sijfaaen	sij-faa-en	korvattu	substituted; superseded
pöjofaaen	pö-jo-faa-en	valtuutettu	accredited; authorised; authorized; delegate; deputed; empowered; mandated; proxy
dilpöjofaaen	di-l-pö-jo-faa-en	kunnanvaltuutettu	municipal councilor
taunpöjofaaen	taun-pö-jo-faa-en	kaupunginvaltuutettu	council member; councilor
vaopöjofaaen	va-o-pö-jo-faa-en	akkreditoitu	accredited
lonrofaaen	lon-ro-faa-en	lainattu	lent; loaned
tofaaen	to-faa-en	lahjoitettu	bestowed; endowed
ahtofaaen	ah-to-faa-en	lahjoma; lahjottu	bribe; bribed
ejahtofaaen	ej-ah-to-faa-en	lahjomaton	incorruptible
rovfaaen	rov-faa-en	maksettu	disbursed; paid
pöfaaen	pö-faa-en	sallittu	allowable; allowed; permissible; permitted
sapöfaaen	sa-pö-faa-en	lupasi	promised
autpöfaaen	aut-pö-faa-en	antautui	succumbed; surrendered
töfaaen	tö-faa-en	työllistetty	employed
yltöfaaen	yl-tö-faa-en	ylityöllistetty	overworked
auttöfaaen	aut-tö-faa-en	itsetyöllistynyt	self-employed
pagaaen	pa-gaa-en	lähetetty	shipped; submitted; sent; remitted; posted; dispatched; despatched; consigned; transmitted
vigaaen	vi-gaa-en	saatettu	escorted
fätogaaen	fä-to-gaa-en	toimitettu	delivered
autkiaaen	aut-kiaa-en	vinoutunut	skewed
kaaen	kaa-en	katsottu	viewed
dakaaen	da-kaa-en	tutkittu	explored; surveyed; scrutinized; researched; investigated; examined; probed
lidakaaen	li-da-kaa-en	tulkittu	interpreted; construed
pöhakaaen	pö-ha-kaa-en	äänestetty	polled; voted
dekaaen	de-kaa-en	seurannut	followed
tekaaen	te-kaa-en	näytti	showed
liretekaaen	li-re-te-kaa-en	simuloitu	simulated
ögkaaen	ög-kaa-en	kohdattu; tavattu; tavannut; tapasi; tapasivat	encountered; met
ajsi ögkaaen	aj-si ög-kaa-en	tapasimme	we met
aj ögkaaen	aj ög-kaa-en	tapasin	I met
oblikaaen	ob-li-kaa-en	näytti	seemed
silikaaen	si-li-kaa-en	kaavailtu	planned
mikaaen	mi-kaa-en	kuvitellut; kuviteltu	supposed; envisioned; illusive; imagined
rorikaaen	ro-ri-kaa-en	analysoitu	analysed
ylkaaen	yl-kaa-en	valvottu	supervised; controlled
fainkaaen	fain-kaa-en	ihailtu	admired; adored
autfainkaaen	aut-fain-kaa-en	ihastunut	entranced; ravished; fond; beguiled; fancied; enamored; captivated; charmed; enthralled
rokaaen	ro-kaa-en	arvioitu	evaluated; rated; assessed; appraised; estimated
rostarokaaen	ro-sta-ro-kaa-en	budjetoitu	budgeted
alrokaaen	al-ro-kaa-en	aliarvioitu	underestimated
vokaaen	vo-kaa-en	nähnyt; nähty	seen
ajsi vokaaen	aj-si vo-kaa-en	näimme	we saw
häsi vokaaen	hä-si vo-kaa-en	näkivät	saw
aj vokaaen	aj vo-kaa-en	näin	I saw
hä vokaaen	hä vo-kaa-en	hän näki	he saw
obvokaaen	ob-vo-kaa-en	havaittu	observed; perceived; detected
isobvokaaen	is-ob-vo-kaa-en	havahtunut	awake; noticed; alert
enejvokaaen	en-ej-vo-kaa-en	ennennäkemätön	unprecedented; unseen
apkaaen	ap-kaa-en	valikoitu; valinnut; valitsi; valitsivat; valittu	chose; chosen; elected; opted; selected
siapkaaen	si-ap-kaa-en	valikoitu	assorted
voejhäpkaaen	vo-ej-häp-kaa-en	ihmetteli	wondered
kia-kirkaaen	kia-kir-kaa-en	kursivoitu	in italics
polykaukaaen	po-ly-kau-kaa-en	painokuvioitu	embossed
tukaaen	tu-kaa-en	osoitettu	addressed; indicated
siedtukaaen	si-ed-tu-kaa-en	esitetty	presented; shown
väkaaen	vä-kaa-en	hienostunut	refined; sophisticated; sophisticate; debonair; elegant; ladylike
raulaaen	rau-laa-en	ympäröimä	surrounded
tihnaaen	tih-naa-en	yleistetty	generalized
ennaaen	en-naa-en	ennakoitu	foreshadowed; foreseen
ejennaaen	ej-en-naa-en	ennakoimaton	unforeseeable; unpredictable; unforeseen
pirnaaen	pir-naa-en	lykätty	adjourned; postponed; deferred
paaen	paa-en	pantu; panivat	put; put up
häsi paaen	hä-si paa-en	he panivat	they put
hä paaen	hä paa-en	hän laittoi; hän pani	she put; he put
sikapaaen	si-ka-paa-en	koristeltu	ornamented; embellished; decorated; adorned
hidpaaen	hid-paa-en	piilotettu	concealed; hidden
midpaaen	mid-paa-en	keskitetty	cetralized; concentrated; centred; centered; centralized
epaaen	e-paa-en	elvytetty	revived
ouprausefpaaen	oup-rau-sef-paa-en	aukikääritty	unfurled; unwrapped
hängpaaen	häng-paa-en	ripustivat; ripustettu	suspended; slung; hung; hung up
dihpaaen	dih-paa-en	julkaistu	published
ne-eöndihpaaen	ne-e-ön-dih-paa-en	postuumi	posthumous
tutihpaaen	tu-tih-paa-en	ahdettu	supercharged
sähpaaen	säh-paa-en	sähköistetty	electrified
leipaaen	lei-paa-en	langetettu	felled
kipaaen	ki-paa-en	katettu	decked; roofed; catered
vikipaaen	vi-ki-paa-en	integroitu	integrated
tusipaaen	tu-si-paa-en	jaettu	shared; apportioned; dealt; dispensed
altusipaaen	al-tu-si-paa-en	jaettu alaosastoinin	subdivided
vipaaen	vi-paa-en	yhdistetty	merged; amalgamated; pooled; unified; connected; combined; incorporated; compounded
oilpaaen	oil-paa-en	voideltu	lubricated; anointed
silpaaen	sil-paa-en	siloiteltu	finished
intumolpaaen	in-tu-mol-paa-en	haudattu	buried; interred
empaaen	em-paa-en	ruokittu	fed
inpaaen	in-paa-en	sisällytetty	incorporated; subsumed
laopaaen	la-o-paa-en	pällystetty; päällystetty	coated; draped; surfaced
lopaaen	lo-paa-en	asetettu	laid; set; put; placed; introduced; inserted; entered; applied; posed
erlopaaen	er-lo-paa-en	eristetty	insulated; isolated
forlopaaen	for-lo-paa-en	asennettu	fitted; installed; mounted
autlopaaen	aut-lo-paa-en	asettunut	settled
tulopaaen	tu-lo-paa-en	laitettu; sijoitettu	placed; positioned
nopaaen	no-paa-en	ajoitettu; olla ajoitettu	be scheduled; scheduled; timed
hali nopaaen	ha-li no-paa-en	hyvin ajoitettu	timely; well-timed
ögpopaaen	ög-po-paa-en	puristettu	squeezed; compressed
katopaaen	ka-to-paa-en	kuvitettu	pictorial; illustrated
vivopaaen	vi-vo-paa-en	varustettu	furnished; equipped
kauvopaaen	kau-vo-paa-en	valettu	cast; molded; moulded
pirpaaen	pir-paa-en	lisätty	added; augmented; incremented
ja pirpaaen	ja pir-paa-en	lisäsit	you added
ylpirpaaen	yl-pir-paa-en	ylennetty	promoted; raised
erurpaaen	er-ur-paa-en	erotettu	separated
unturpaaen	un-tur-paa-en	arkistoitu	archived; filed
noturpaaen	no-tur-paa-en	tallennettu	stored; saved; recorded
roturpaaen	ro-tur-paa-en	taltioitu	recorded
jospaaen	jos-paa-en	jousitettu	sprung
raupaaen	rau-paa-en	kierretty	cranked; twisted; coiled
teraupaaen	te-rau-paa-en	kierteitetty	threaded
ermupaaen	er-mu-paa-en	vaihdettu	switched; swapped; replaced; exchanged
bitve-ermupaaen	bit-ve-er-mu-paa-en	hammasvaihteistettu	geared
virupaaen	vi-ru-paa-en	sidottu	bound; lashed; tied
ejvirupaaen	ej-vi-ru-paa-en	sitomaton	unbound; untied
autrupaaen	aut-ru-paa-en	sitoutunut	committed
retupaaen	re-tu-paa-en	palautettu	reinstated; restored
uttupaaen	ut-tu-paa-en	välitetty	conveyed; imparted; relayed
rutupaaen	ru-tu-paa-en	linkitetty	linked
autivpaaen	aut-iv-paa-en	katkeamaton	unbroken; uninterrupted
dihrovpaaen	dih-rov-paa-en	kustannettu	published
simäpaaen	si-mä-paa-en	miehitetty	occupied; manned
ejsimäpaaen	ej-si-mä-paa-en	miehittämätön	unmanned
alsimäpaaen	al-si-mä-paa-en	alimiehitetty	undermanned
sahöpaaen	sa-hö-paa-en	artikuloitu	articulated
raaen	raa-en	rakastettu	beloved; doted; endeared; loved
öbraaen	öb-raa-en	piti; pitänyt; pidetty	liked; popular
neraaen	ne-raa-en	toivottu	hoped-for; wanted; desired
ejobneraaen	ej-ob-ne-raa-en	epätoivottu	unwanted
ofraaen	of-raa-en	halunnut; haluttu	advisable; coveted; desired; eligible; sought after; wanted; wanted to
luejraaen	lu-ej-raa-en	ikävystynyt	bored
ysraaen	ys-raa-en	innoissaan	thrilled; excited; agog
autysraaen	aut-ys-raa-en	innostunut	enthused; enthusiastic; exhilarated
traaen	traa-en	yritetty; yritti; yrittänyt	attempted; tried
