Tunniste	English	Finnish	Vosa
11868	O Passive and indifferent, not actively participating in the management of common affairs.	O Passiivisia ja välinpitämättömiä, ei osallistuta aktiivisesti yhteisten asioiden hoitoon.	O Ejsiteva a forke-ejva josi, ej ikaap siteli intu viofva sosi hake. 
11869	O Advanced home automation with robots can also consume more energy and raw materials, and daily exercise that keeps you healthy will be reduced.	O Pitkälle viety kotiautomaatio robotteineen myös voi kuluttaa energiaa ja raaka-aineita enemmän ja terveenä pitävä arkiliikunta jää vähemmälle.	O Lule gaaen balautte vi vöjosi ali voo teroriip pori a ravmosi pir a li terva paoova tetanuuteo jää rippirli. 
11870	O Risks exist that may only be revealed over decades.	O Riskit olemassa, jotka vasta voivat paljastua vuosikymmenten kuluessa.	O Risksi oonen, kosi denen meej autkayvaap na jänbassi noriip. 
11871	The amount of information is large, you should be able to extract what you need from it, even in a narrow field there is a huge amount to learn.	O Tiedon määrä on suuri, siitä pitäisi osata poimia tarvittavat, suppealla alallakin on valtavasti opiskeltavaa.	O Da ri oo piva, ob it piitif davoo utkaap niidtava, ali la oipva leiob it oo pipili apdaavtava. 
11872	O A scientific hobby is not really possible except by just reading theory, you have to be in university books.	O Tieteen harrastus ei ole oikein mahdollista kuin vain teoriaa lukemalla, pitää olla yliopiston kirjoissa.	O Dä mite ej oo ratli vova li erisli vy omdalio riik, piit oo in yldavlö autkiiren. 
11873	O There is a lot of information and ideas, but they are scattered.	O Tietoa ja ideoita on paljon, mutta ne ovat hajanaisia.	O Öbda a ideasi oo piri, mut itsi oo silova. 
11874	O Often people imitate others and don't do things on their own.	O Usein ihmiset matkivat muita, eivätkä omasta päästään tee asioita.	O Sina mämsi litee tuasi, a häsi ej ut öfva pä tee sosi. 
11875	O New technology requires study, tools with which ideas can be implemented.	O Uusi teknologia vaatii opiskelua, välineitä joilla ideat voidaan toteuttaa.	O Novva tekdä teniid apdav, vosi vy kosi ideasi voota riltee. 
11876	O Things that seem difficult are feared, even though they improve when you put in the effort, and then new technology can seem completely easy to use, even programs that seem difficult to use.	O Vaikeilta tuntuvia asioita kammotaan, vaikka niissä kehittyy, kun paneutuu ja sitten uusi teknologia voi tuntua aivan helppokäyttöiseltä, vaikeakäyttöisiltäkin vaikuttavat ohjelmat.	O Ongva livofiiva sosi hircuuta, tajli in itsi autdeev, na dipmiid a iten novva tekdä voo livofii fulli gnoteoova, ali li ongteoova oblikaava progsi. 
11877	O Misinvestments result in losses for individuals, companies and society.	O Virhesijoitukset tulevat tappioksi yksityisille, yrityksille ja yhteiskunnalle.	O Sovik roforpasi muu ronivsi tu isofjosi, tralösi a visoslo. 
11878	O We underestimate our own importance, yet even a small spark of an idea can create many jobs and profitable business.	O Vähätellään omaa merkitystä ja kuitenkin pienikin ideankipinä voi synnyttää paljon työpaikkoja ja kannattavaa liiketoimintaa.	O Alrocuuta öfva curo a amut ali ipva ideabönrae voo tenöee piri tölosi a rogöva fäfote. 
11879	Even a single purchase can have a chain reaction-like effect. It breaks the vicious circle and provides work and money for spending.	O Yhdellä ostoksellakin voi olla ketjureaktiomainen vaikutus. Se poistaa noidankehää ja antaa työtä ja varaa kuluttamiseen.	O Is äfto voo oof siviringysokva ys. It yraap ahmägjo larau a faa tö a res for tetoriipte. 
11880	O It takes one person an enormous amount of time to develop an advanced product.	O Yhdeltä ihmiseltä menee valtavasti aikaa kehittää jokin pitkälle viety hyödyke.	O Ut is mäm tuu pipili no deev ö lule gaaen göroto. 
11881	O Over-enthusiasm for an idea, but when you examine the possibilities of implementing the idea in more detail, you may notice that the idea was not very sensible or marketable.	O Yli-innostus ideasta, mutta kun selvittää tarkemmin idean toteuttamismahdollisuudet, voi huomata, ettei idea ollutkaan kovin järkevä tai myyvä.	O Ylysraate öb idea, mut na sokliraap tarkpirli idea rilteevovaosi, voo satvokaa, syt ej idea ooen a errili visva taj fääva. 
11882	O Environmental problems will become increasingly prominent in the future and solutions are needed quickly.	O Ympäristöongelmat korostuvat entistä enemmän tulevaisuudessa ja tarvitaan nopeasti ratkaisuja.	O Raulo-ongsi autyloob ut enva pir na neno a niidta nopli gnosi. 
11883	O Even an entrepreneur can do a lot of free work before they start earning an income.	O Yrittäjäkin voi tehdä paljon ilmaista työtä ennen kuin alkaa saada tuloa.	O Ali trajo voo tee piri ejrovriva tö en na nöö aaf utrov. 
11884	O A smart robot of the future becomes infected with malware or a glitch and becomes violent, vandalizes places and abuses its user.	O Älykkääseen tulevaisuuden robottiin tulee haittaohjelma tai häiriö ja se muuttuu väkivaltaiseksi, rikkoo paikkoja ja pahoinpitelee käyttäjänsä.	O Intu vovisva neno vöjo uut ögroprogsi taj cuyv a it autmuu popitpöva, ahreek losi a ahlisipaoo itof teoojo. 
11885	R In brainstorming, you can deviate from the norm and find new, strange ideas, even making yourself look ridiculous.	R Aivoriihessä voidaan poiketa tavanomaisuudestakin ja löytää uusia omituisia ajatuksia saattamalla itsensä vaikka naurunalaiseksi.	G In ideahäp voota ejretuu ut resiliovao a kees novva auterva soososi vy vigaa aut tajli mu heheealva. 
11886	You also need to learn to manage your time, when you do a lot, do a lot of hobbies, find the fastest and best ways to work, this will save you time in the future, even if you have spent time reading and learning the instructions.	R Ajankäyttöäkin pitää oppia hallitsemaan, kun tekee paljon, harrastaa paljon, löytää nopeimmat ja parhaimmat työskentelytavat, näin säästyy jatkossa aikaa, vaikka ohjeiden lukemiseen ja opetteluun on mennytkin aikaa.	G Ali noteo piit daav pötee, na tee piri, mitee piri, kees nopst a hast sitööliosi, täli autropaoo in pirtuo no, tajli intu lidasi riikte a siapdaavte oo tuuen no. 
11887	R Thinking is developmental, writing is developmental.	R Ajattelu on kehittävää, kirjoittaminen on kehittävää.	G Soote oo deevva, kiirte oo deevva. 
11888	R Increasing activity and knowledge to manage common issues.	R Aktiivisuuden ja tietämyksen lisääminen yhteisten asioiden hoitamiseksi.	G Sitevao a öbvoda pirpa for viofva sosi hakee. 
11889	R Activity: study, generate ideas, acquire information, have good social relationships and join networks.	R Aktiivisuus: opiskella, ideoida, hankkia tietoa, saada hyviä sosiaalisia suhteita ja liittyä verkostoihin.	G Sitevao: apdaav, ideaa, foraaf öbda, aaf hava sosva vicusi a rutuu intu sinetsi. 
11890	R At first, you don't always know what the product will end up like and you have to do a lot of experiments and demos of different options.	R Aluksi ei aina tiedä, millainen lopulta tuotteesta tulee ja joutuu tekemään paljon kokeiluja ja demoja eri vaihtoehdoista.	G Nömu ej kina daa, kova önutli to muu a autpiit tee piri votraatesi a edtukasi ob er tajifosi. 
11891	R First, you could do a demo and see if customers are enthusiastic about the product, and only then start developing it.	R Aluksi voisi tehdä demon ja kartoittaa sitä, ovatko asiakkaat innostuneita tuotteesta ja vasta sitten ruveta kehittämään.	G Nömu vooif tee edtuka a kalotoo it, ooko sojosi autysraaen öb to a denen iten nötee deev. 
11892	R Professional skills need to be developed constantly and you need to stay up to date, as technology and methods are developing rapidly.	R Ammattitaitoa joutuu kehittämään koko ajan ja on pysyttävä ajan tasalla, sillä teknologia ja menetelmät kehittyvät vauhdilla.	G Votölivote autpiit deev kio no a piit autpaoo talnali, syfor tekdä a culitesi autdeev vy nopri. 
11893	R It gives you inspiration when you see what is being done elsewhere, what others have accomplished.	R Antaa virikkeitä, kun katsoo mitä muualla tehdään, mitä muut ovat saaneet aikaiseksi.	G It faa foryssi, na kaa ko tuala teeta, ko tuasi oo tonoaafen. 
11894	Values, ethics in creating and retaining jobs.	R Arvot, etiikka työpaikkojen lisäämisessä ja säilyttämisessä.	G Rosi, rattarda in tölosi pirpa a paloote. 
11895	R Customers must be helped to find the products and services they want and they must be given incentives for new goods and new uses and applications.	R Asiakkaita pitää auttaa löytämään haluamansa tuotteet ja palvelut ja heille pitää antaa virikkeitä uusiin hyödykkeisiin ja uusiin käyttötapoihin ja -kohteisiin.	G Sojosi piitta vyy kees häsiof ofraaen tosi a seertesi a for häsi piit faa foryssi tu novva görotosi a novva teoliosi a -obösi. 
11896	R Automation and rationalization reduce work and if it increases income, that income should be used to create other work, otherwise society will inevitably end up with not everyone having a job.	R Automaatio ja rationalisointi vähentävät työtä ja jos se lisää tuloja, niillä tuloilla pitäisi luoda jotakin muuta työtä, muuten yhteiskunta menee väistämättä siihen, ettei kaikilla ole työtä.	G Autte a visvoote riip tö a if it pirpaa utrovsi, vy itsi utrovsi piitif novtee ö tua tö, tuali visoslo tuu oburtuejli tuit, syt ej ki oof tö. 
11897	R Automation is suitable for high-quality standard products, mass production, where precision mechanical devices are more accurate than humans, and humans cannot always do what they want.	R Automaatio soveltuu tarkkalaatuisiin standardituotteisiin, massatuotantoon, jossa hienomekaaniset laitteet ovat tarkempia kuin ihminen, eikä ihminen voi aina edes tehdä.	G Autte autforsoop tarkvaova sirepipri tosi, mastoote, koin väkamekanva vösi oo tarkpir il mäm, a ej mäm voo kina ipripstli tee. 
11898	R The benefits of automation should be taxed more heavily to cover increasing social spending.	R Automaatiosta saatavaa hyötyä verotettava kovemmin, että voidaan kattaa kasvavat sosiaalimenot.	G Ut autte aaftava göro piit pöroov kampir, syt voota kioof piirva sosrovripsi. 
11899	R An automatic intelligent idea generator that combines things in new ways, but their rationality will have to be examined by humans, unless artificial intelligence goes so far that it can even assess rationality.	R Automaattinen älykäs ideageneraattori, joka yhdistelee asioita uudella tavalla, mutta niiden järkevyyden joutuu ihmiset tutkimaan, ellei tekoäly mene niin pitkälle, että se voi arvioida jo järkevyydenkin.	G Autteva vovisva ideadevvö, ko sivipaa sosi vy novva lio, mut itsiof visvao autpiit mämsi dakaa, ifej tevis tuu itli lule, syt it voo rokaa ripnen ali visvao. 
11900	Bio-based and biodegradable process chemicals, fillers and binders.	R Biopohjaiset ja biohajoavat prosessikemikaalit, täyte- ja sideaineet.	G Bioalova a bioiksituuva tötuo kemmosi, fulto- a virumosi. 
11901	R There is a lot to research and develop in life sciences -> improving health, solving environmental problems, etc.	R Biotieteissä on paljon tutkittavaa ja kehiteltävää -> terveyden parantaminen, ympäristöongelmien ratkaisu jne.	G In biodäsi oo piri dakaatava a sideevtava -> tervao hapiirte, raulo-ongsi gno aid. 
11902	R We proceed both from the bottom up and from the top down.	R Edetään sekä alhaalta ylöspäin, että ylhäältä alaspäin.	G Edtuuta duvio lyel yldir, a ylel lydir. 
11903	R It is cheaper to mass-produce elements in a factory, but 3D has become available, which should make individual small-scale production profitable.	R On edullista tehdä elementit tehtaassa sarjatuotantona, mutta on tullut 3D, mikä mahdollistanee yksilöllisen pientuotannonkin kannattavasti.	G It oo edrova tee ikobsi in tolö li seritoote, mut it oo uuten 3D, ko meej vovaa ali isjova iptoote rogöli. 
11904	R We do not do useless work, but work that is beneficial.	R Ei teetetä turhaa työtä, vaan työtä, josta on hyötyä.	G Ej tuateeta nidejva tö, mut tö, kout oo göro. 
11905	R Do not duplicate work or take away from others.	R Ei tehdä päällekkäisiä töitä tai viedä muilta leipää.	G Ej teeta relava tösi taj gaata ut tuasi bekem. 
11906	R A product developer does not always need to be highly educated.	R Ei tuotekehittelijän tarvitse olla aina pitkälle kouluttautunut.	G Ej tosideevjo niid oo kina lule autpadaaven. 
11907	R You don't necessarily need to read and learn a lot of theories, just start thinking practically and independently with common sense about what you're going to do.	R Ei välttämättä tarvitse lukea ja opetella paljon teorioita, kun vaan rupeaa käytännöllisesti ajattelemaan terveellä talonpoikaisjärjellä itsenäisesti mitä rupeaa tekemään.	G Ej nidli niid riik a siapdaav piri omdaliosi, na mut nötee liotevoli soo vy terva viltolmävis autnali ko nötee tee. 
11908	You shouldn't rely on having completed your degrees well and received good grades in aptitude tests, but you should continue to develop yourself throughout your life and use your skills to achieve results.	R Eipä pidä luottaa siihen, että on suorittanut hyvin tutkintoja ja saanut soveltuvuustesteissä hyviä arvosteluja, vaan itsensä kehittämistä on jatkettava läpi koko elämän ja käytettävä osaamistaan tulosten aikaansaamiseksi.	G Ej a piit uscuu tuit, syt oo tuöntee-en hali tradavsi a aafen in forsopvao votrasi hava obrosasi, mut autof deevte piit lupiir inli kio eo a teoo davoote mu utrosi tonoaaf. 
11909	R There would be more money for pensions if everyone who could afford it were in productive work.	R Eläkkeisiin olisi enemmän varaa, jos kaikki kynnelle kykenevät olisivat tuottavassa työssä.	G Intu unrovsi ooif pir res, if ki haforli voteeva ooif in toova tö. 
11910	R Life in its diversity is varied, rich, and never boring.	R Elämä monimuotoisuudessaan on vaihtelevaa, rikasta, ei pääse tylsistymään.	G Eo in itof sikauvao oo siermuuva, ritsva, ej aftuu öbahmiien. 
11911	R I don't think Finns are short on ideas.	R En usko, että suomalaiset ovat ideaköyhiä.	G Aj ej uus, syt finjosi oo ideastirva. 
11912	R Continuous use and reading of English are essential in today's internationalized world.	R Englannin kielen jatkuva käyttö ja lukeminen ovat välttämättömiä nykyisessä kansainvälistyneessä maailmassa.	G Eng vos pirtuuva teo a riikte oo nidva in nenva authyjsiväälen köl. 
11913	R Several significant products and services in terms of problem solutions will be presented and sold.	R Esittelyyn ja myyntiin mukaan useita merkittäviä tuotteita ja palveluja ongelmien ratkaisujen kannalta.	G Tuvi siedtuka a fääte si curova tosi a seertesi miculi ongsi gnosi. 
11914	R Directory of products and services for the broadest possible diverse view of solutions to problems.	R Hakemistoon tuotteita ja palveluja mahdollisimman laajaksi monipuoliseksi näkemykseksi ongelmien ratkaisuihin.	G Intu sisek tosi a seertesi mu vostli leileiva sisidva kamicu intu ongsi gnosi. 
11915	When fine-tuned, resource efficiency can save energy and raw materials, especially if recycled and renewable natural materials are used as raw materials.	R Hienosäädettynä resurssitehokkuus voi säästää energiaa ja raaka-ainetta varsinkin, jos käytetään kierrätysmateriaaleja ja uusiutuvia luonnonmateriaaleja raaka-aineena.	G Na hiejuspaaen resysrivao voo ropaoo pori a ravmo erobli, if teoota torautomosi a autnoovva biotomosi li ravmo. 
11916	R Furniture design could combine practicality, humor, and art.	R Huonekalujen muotoilussa voisi yhdistää käytännöllisyyden, huumorin ja taiteen.	G In tolossi kauute vooif tevii liotevovao, hehsa a kav. 
11917	R By jumping into action and acquiring information, more realistically implementable ideas are created at the grassroots level, rather than just on paper and potentially unrealistic ones.	R Hyppäämällä tekemiseen ja tiedon hankintaan realistisesti toteutettavia ideoita syntyy enemmän ruohonjuuritasollakin, eikä vain paperilla ja mahdollisesti epärealistisia.	G Vy yppyy intu teete a da foraafte rilideli rilteevova ideasi nöee pir ali in upjurtal, a ej erisli la papr a voli ejrilideva. 
11918	R Well-structured, coordinated and organized solutions help you manage the jungle of business life.	R Hyvin jäsennellyt, koordinoidut ja organisoidut ratkaisut auttavat hallitsemaan elinkeinoelämän viidakkoa.	G Hali sivejäären, visidjäären a sijäären gnosi vyy livotee eolivote-eo pitihpul. 
11919	R There is plenty of room for development in welfare services.	R Hyvinvointipalveluissa riittää kehittämistä.	G In halivooseertesi hanidrii deevte. 
11920	R Good classification and structuring so that information is better found and managed.	R Hyvä luokittelu ja jäsentely, että tiedot löydetään paremmin ja ne hallitaan paremmin.	G Hava paersioote a sivejäärte, syt dasi keesta hapirli a itsi livoteeta hapirli. 
11921	R Good division of labor.	R Hyvä työnjako.	G Hava töiikte. 
11922	R It's good that investments are also being made in developing countries, so that they can also afford to buy products made in Finland and the company gets markets abroad.	R Hyvä, että kehitysmaihinkin sijoitetaan, että niillä olisi varaa myös ostaa Suomessa valmistettuja tuotteita ja yritys saa markkinoita ulkomailta.	G Hava, syt ali intu devhylsi roforpaata, syt itsi ooif res ali ääf in Finlo tooen tosi a tralö aaf forfäsi el nihylsi. 
11923	Good relationships both at home and at work, and the mind is free from worries and burdens, and being healthy helps you cope at work and concentrate well on your work.	R Hyvät ihmissuhteet niin kotona kuin työssäkin ja mielessä ei paina huolia, taakkoja ja on terve, auttavat jaksamaan työssä, keskittymään hyvin työntekoon.	G Hava mämvicusi itli in bal li ali in tö a in mi ej polyy mikesi, hevgasi a oo terva, vyy povoo in tö, autmiid hali intu töte. 
11924	R The idea can be simple.	R Idea voi olla yksinkertainenkin.	G Idea voo oo ali isgnova. 
11925	R Ideas start to flow when you start thinking and discussing.	R Ideat rupeavat rönsyilemään, kun alkaa miettiä ja keskustella.	G ideasi nöö simolephaar, na nöö tesoo a visasaa. 
11926	R There are many idea generation and product development methods and there are plenty of instructions online.	R Ideointi- ja tuotekehitysmenetelmiä on paljon ja niistä löytyy ohjeita netistä runsaasti.	G Ideaate a todevculitesi oo piri a ob itsi autkees lidasi ut vinet siri. 
11927	R Art that promotes ideation.	R Ideointia edistävä taide.	G Ideaate vyroteeva kav. 
11928	R There is no need to be afraid to bring ideas to light; the details of their implementation are trade secrets so that competitors do not benefit from the development work that required a lot of resources.	R Ideoita ei tarvitse pelätä tuoda julki, yksityiskohdat niiden toteuttamisessa ovat ammattisalaisuuksia, etteivät kilpailijat hyödy paljon resursseja vaatineista kehitystyöstä.	G Ideasi ej niid raak aag tudih, tarkiplosi in itsiof rilteete oo votödahidvaosi, syt ej vintraajosi göroo piri ob resrosi teniiden devtö. 
11929	R Ideas and job opportunities are found by mapping problems and finding solutions.	R Ideoita ja työtilaisuuksia löytyy kartoittamalla ongelmia ja etsimällä niihin ratkaisuja.	G Ideasi a tövonosi autkees vy kalotoo ongsi a seek intu itsi gnosi. 
11930	R Ideas can indeed be found in chaos, by chance, by deviating from familiar ways, but also in a purposeful, very systematic, organized, structured way.	R Ideoita voidaan tosin löytää kaaoksessa, sattumalta, poikkeamalla totutuista tavoista, mutta myös tarkoitushakuisesti hyvin järjestelmällisesti, järjestyneesti, jäsentyneesti.	G Ideasi voota rilsyli kees in piräj, satli, vy ejretuu ut liafvooenta liosi, mut ali obroseekli hali lijärli, autjäärenli, autvejäärenli. 
11931	R Ideas can be taken forward through further development.	R Ideoita voidaan viedä eteenpäin jatkokehittelemällä.	G Ideasi voota gaa eddir vy pirpadeevte. 
11932	People need mental activities, brain training and physical exercise to stay fit.	R Ihminen tarvitsee henkisiä harrastuksia, aivovoimistelua ja fyysistä liikuntaa pysyäkseen kunnossa.	G Mäm niid hosova mitesi, daevpou a bodevva uuteo syt hä autpaoo hastana. 
11933	R The more knowledge and experience a person acquires, the greater the opportunity they have to create new combinations and ideas, and the more inspiration they have to create new things and improve the old.	R Ihminenkin mitä enemmän se hankkii tietoa ja kokemusta, sitä suurempi mahdollisuus sillä on luoda uusia yhdistelmiä ja ideoita ja sitä enemmän, sillä on inspiraatiota luoda uutta ja parannella vanhaa.	G Ali mäm ko pir it foraaf öbda a davofi, it pipir vovao hä oof novtee novva vipasi a ideasi a it pir, hä oof foryyste novtee novva a sihapiir vonva. 
11934	R Information should be short, clear and concise at a higher level, from which you can then go to more detailed information at a lower level if necessary.	R Informaation tulisi olla lyhyt, selkeä ja ytimekäs ylemmällä tasolla, josta voidaan sitten mennä tarkempiin tietoihin alemmalle tasolle tarvittaessa.	G Obdafa piitif oo ulva, soklirva a ydinva la yllapir tal, kout voota iten tuu tarkpir öbdasi le lypir tal na niidta. 
11935	R Search the Internet to find business ideas.	R Internetistä hakemalla löytää liikeideoita.	G Ut vinet seek kees fäfloideasi. 
11936	R Intuition, self-understanding, and reasoning skills develop when you learn to use even difficult-to-learn items.	R Intuitio, itsestään ymmärtämiskyky, päättelykyky kehittyy, kun opettelee käyttämään vaikeastikin opittavia kohteita.	G Autdafio, autteli dakavoovote, obdaapvote autdeev, na siapdaav teoo ali ongli daavtava obösi. 
11937	R Already developed product ideas and researched information for use.	R Jo kehitellyt tuoteideat ja tutkittu tieto hyötykäyttöön.	G Ripnen oota sideeven toideasi a dakaaen da intu göro. 
11938	R It would be good to learn to work and put in the effort even as a child.	R Jo lapsena olisi hyvä oppia työnteko ja näkemään vaivaa.	G Ripnen na ipmäm ooif hava daav töte a vokaa tesaf. 
11939	R Those who can afford to spend should put their money to work, as long as it doesn't deplete the environment.	R Joilla on varaa kuluttaa, kannattaisi laittaa raha pyörimään, ellei se kuluta ympäristöä.	G Kojosi oof res teroriip, rogööif lopaa rov rauunen, ifej it tetoriip raulo. 
11940	R Everyone unemployed for some useful activity.	R Jokainen työtön johonkin hyödylliseen toimintaan.	G Ki töafejjo ötu görova oteete. 
11941	Every unemployed worker or one under threat of unemployment should find a field to focus on and specialize in.	R Jokaiselle työttömälle tai työttömyysuhan alla olevalle työntekijälle pitäisi löytää ala, johon keskittyy, erikoistuu.	G Tu ki töafejjo taj al töafejsta obrisk oova tööjo piitif kees leiob, kointu autmiid, erlii. 
11942	R If prosperity could be distributed more evenly and people gave up unnecessary consumption, people could get by with lower incomes and the environment would be saved.	R Jos hyvinvointi voidaan jakaa tasaisemmin ja ihmiset luopuvat turhasta kulutuksesta, ihmiset voisivat tulla toimeen pienemmillä tuloilla ja ympäristö säästyisi.	G If halivoote voota ikfaa talpirli a mämsi ofuur nidejva teroriipte, mämsi vooif voviotee vy ippir utrovsi a raulo autropaooif. 
11943	R Flexible in wages, higher income in good times, lower income in bad times to preserve jobs.	R Joustaa palkkauksessa hyvinä aikoina suuremmat tulot, huonoina aikoina pienemmät tulot työpaikkojen säilyttämiseksi.	G Joos in töroovte na hali nosi pipir utrovsi, na ahvova nona ippir utrovsi for tölosi palienoote. 
11944	R Systematic, well-organized progress speeds up the process.	R Järjestelmällinen hyvin organisoitu eteneminen nopeuttaa asioiden eteenpäin viemistä.	G Lijärva hali sijäären edtuute noppiir in sosi eddir gaate. 
11945	R Systematically map out from a needs perspective what products and services could still be available and which ones need improvement.	R Järjestelmällisesti kartoittaa tarpeiden näkökulmasta, mitä tuotteita ja palveluja voisi vielä olla ja mitkä kaipaavat parantelua.	G Lijärli kalotoo ut kaäng nidsi, ko tosi a seertesi vooif pirnen oo a kosi pirniid sihapiirte. 
11946	R Systematic research and brainstorming of all the undone work in Finland and planning, creating and brainstorming new jobs.	R Järjestelmällistä tutkimista ja ideointia mitä kaikkea tekemätöntä työtä Suomessa olisi ja uusien työpaikkojen suunnittelua, luontia ja ideointia.	G Lijärli dakaate a ideaate ko ki tee-ejva tö in Finlo ooif a novva tölosi kasoote, novte a ideaate. 
11947	R A comprehensive classification and mapping of products and services that exist in the world.	R Kaiken kattava luokittelu ja kartoitus maailmassa olemassa olevista tuotteista ja palveluista.	G Ki kioofva paersioote a kalotoote in köl ob oonen oova tosi a seertesi. 
11948	You can't try to cover all the fields of the world at the same time, although it's good to have a holistic view and be interdisciplinary.	R Kaiken maailman aloja ei voi yrittää samanaikaisesti, vaikka kylläkin on hyvä olla kokonaisnäkemys ja poikkitieteellisyys.	G Ki köl leiobsi ej voo traa renali, tajli je a oo hava oo kiokamicu a durekdävao. 
11949	R All citizens' gifts for use.	R Kaikkien kansalaisten lahjat käyttöön.	G Ki hyjjosiof vofasi for teo. 
11950	R All parties must unite in patriotism!	R Kaikkien tahojen puhallettava yhteen hiileen, isänmaallisuutta!	G Ki dirsidsi piit tehouu tu is moC, mamhylvao!
11951	R Dig up as many employment ideas as possible from the grassroots level to the main lines.	R Kaivaa mahdollisimman paljon työllistämisideoita ruohonjuuritasolta päälinjauksiin asti.	G Maap vostli piri töfaaideasi el upjurtal tu päreituosi ättu. 
11952	R It's worth carefully considering what you're doing so you don't waste time.	R Kannattaa tarkoin harkita mitä tekee, ettei kuluttaisi hukkaan aikaa.	G Rogöö tarkli ifsoo ko tee, syt ej teroriipif for nivro no. 
11953	R People involved in idea generation.	R Kansa mukaan ideointiin.	G Hyj tuvi ideaate. 
11954	R People to help.	R Kansa talkoisiin.	G Hyj intu friofratöhäp. 
11955	R People's brainstorming session to find undone work and create jobs.	R Kansan aivoriihi tekemättömän työn etsimiseksi ja työpaikkojen luomiseksi.	G Hyjof ideahäp for tee-ejva tö seek a tölosi novtee. 
11956	R All meaningful work should be mapped out, and groups should then be formed to plan and develop the work into a profitable venture.	R Kartoitettava kaikki mielekäs työ, joihin sitten muodostetaan ryhmiä suunnittelemaan ja kehittelemään työ kannattavaksi yrittämiseksi.	G Piit kalotoo ki romiva tö, intu kosi iten kauteeta iksiosi tu kasoo a sideev tö mu rogöva traate. 
11957	R Identify meaningful development areas.	R Kartoitettava mielekkäitä kehityskohteita.	G Piit kalotoo romiva devobösi. 
11958	R Map needs and identify relevant assets and development targets.	R Kartoittaa tarpeet ja niihin hyödykkeet ja kehittämisen kohteet.	G Kalotoo nidsi a intu itsi görotosi a deevte obösi. 
11959	R A stimulating growth and/or work environment will create new ideas and develop professional skills.	R Kasvu- ja/tai työympäristö virikkeiseksi, niin uusia ideoita syntyy ja ammattitaito kehittyy.	G Eöpiir- a/taj töraulo mu foryssiva, itli novva ideasi nöee a votölivote autdeev. 
11960	Cities to become eco-cities and the countryside to become vibrant.	R Kaupungit ekokaupungeiksi ja maaseutu elinvoimaiseksi.	G Taunlosi mu ekotaunlosi a nuatlo mu eopova. 
11961	R Develop more competitive and better products and services by eliminating existing problems.	R Kehitetään kilpailukykyisempiä parempia tuotteita ja palveluita niissä olevia ongelmia poistamalla.	G Deevta vintravotepir hapir tosi a seertesi vy in itsi oova ongsi yraap. 
11962	R Being active and doing hobbies is a way to develop and maintain vitality.	R Kehittävää ja vireyttä ylläpitävää on olla aktiivinen ja harrastaa.	G Deevva a poysvao yllapaoova oo oo siteva a mitee. 
11963	R More environmentally friendly production of chemicals using microbes.	R Kemikaalien ympäristöystävällisempi tuottaminen mikrobeilla.	G Kemmosi biolohavicupir toote vy fosikpesi. 
11964	R Focus on digging for ideas in one specific area and others in another area.	R Keskittyä jonkin määrätyn alueen ideoiden kaivamiseen ja toiset toisen alueen.	G Autmiid intu ö ödaaaen leilo ideasi maapte a tuasi duva leilo. 
11965	R Discussion provides stimuli that can lead to additional ideas that can be evaluated and further developed.	R Keskustelemalla saa virikkeitä, jotka voivat johtaa lisäideoihin ja niitä voidaan arvioida ja kehitellä edelleen.	G Vy visasaa aaf foryssi, kosi meej tudiir pirideasi a itsi voota rokaa a sideev depirna. 
11966	R Recycled and natural materials and designs from nature in craft ideas and products.	R Kierrätys- ja luonnonmateriaalit ja mallit luonnosta käsityöideoissa ja tuotteissa.	G Torau- a biotomosi a likatosi ut biolo in pavetöideasi a tosi. 
11967	R Competitive food.	R Kilpailukykyinen elintarvike.	G Vintravoteva eonidto. 
11968	R Writing is a good method for processing things, you can refine your thoughts all the time.	R Kirjoittaminen on hyvä menetelmä asioiden käsittelyyn, ajatuksia voi jalostaa koko ajan.	G Kiirte oo hava culite for sosi cute, soososi voo väpiir na kio no. 
11969	R Highly processed wood products, diverse utilization of biomass through materials science and polymer chemistry, commercial biorefinery, nanotechnology applications.	R Korkean jalostusasteen puutuotteet materiaalitieteen ja polymeerikemian keinoin biomassan moninainen hyödyntäminen, kaupallinen biojalostamo, nanoteknologiasovellukset.	G Ylva väpiirlylri pumtosi vy tomodä a simermo kemda livorosi biomas siliva tegöroote, fäfva bioväpiirlö, gusiktekdä forsoopobsi. 
11970	In a society with high technological expertise, more individually tailored production could be increased while still keeping the price reasonable.	R Korkean teknologisen osaamisen yhteiskunnassa voisi lisätä yksilöllisemmin räätälöityä tuotantoa ja saada hinta kuitenkin kohtuulliseksi.	G In ylva tekdäva davoote visoslo vooif pirpaa isjopir oota lisojoneraotee-en toote a aaf rovri amut mu obnidriva. 
11971	R There are many travel destinations in Finland and at the same time domestic tourism is supported or you can go out in nature and pick berries for free.	R Kotimaassa on paljon matkustuskohteita ja samalla tuetaan kotimaista matkailua tai aivan ilmaiseksikin voi liikkua luonnossa ja marjastaa.	G In balhyl oo piri rotuuobösi a rena suupta balhylvao sirotuo taj fulli ejrovrili voo uu in biolo a bersikaap. 
11972	R Domestic, environmentally friendly, high-quality goods.	R Kotimaisia, ympäristöystävällisiä, laadukkaita hyödykkeitä.	G Balhylva, biolohavicuva, havaova görotosi. 
