VosaFrequency	Vosa	English	Finnish
15920	ahruevtuu	hobble; limp	linkuttaa; nilkuttaa
15920	nervejva	limp; nerveless	hermoton; hervoton
15920	rettuu	limp	ontua
15921	päroidejo	capitalist	kapitalisti
15921	päroideva	capitalist; capitalistic	kapitalistinen
15923	höriip	attenuate; damp; dampen; deaden; mute	vaimentaa
15923	höriipvo	damper; muffler; mute; silencer	vaimennin; äänenvaimennin
15923	paejvosaa	strike dumb; dumbfound; mute	mykistää
15926	göuskliinjo	Protestant	protestantti
15926	göusklinva	Protestant	protestanttinen
15928	piongva	tricky	kinkkinen
15928	vislivoteva	tricky	konstikas
15934	topaskammo	topaz	topaasi
15936	ikobloote	segmentation	segmentointi
15937	mikava	imaginary; notional; fictive; fictional	kuvitteellinen; fiktiivinen; imaginaarinen
15937	vy siotuvö	by bus	bussilla
15940	rataftol	courthouse	oikeustalo
15951	vilrostapösiojo	farm minister	maatalousministeri
15957	balobhake	housekeeping	kodinhoito
15957	tolpao	housekeeping	talonpito
15958	irfaapli	captive	vankina
15960	fainkaa	admire; look up to; excoriate; gloat	ihailla
15965	tomva	dust-covered; dusty	pölyinen; tomuinen
15966	ipfultobekto	pasty; patty	pasteija
15969	pilksa	squib; satire	satiiri
15970	yllod	overload	ylikuorma
15970	yllood	overburden; overload	ylikuormittaa
15970	ylloodte	overload	ylikuormitus; liikakuormitus
15970	ylpoap	overload	liikarasitus
15981	monklir	moonlight; moonlighting; moonshine	kuutamo
15982	vuvöpoul	mast; ship's mast	laivanmasto
15986	gothjo	Goth	gootti
15988	makravao	affection; tenderness	hellyys
15988	rutura	affection; devotion; fondness	kiintymys
15989	haforsali	commendably; laudably	kiitettävästi
15998	la deka	on the trail of	jäljillä
16000	ahofaapen	usurped; appropriated	anastettu
16004	öggötöönva	reversible	käännettävä
16010	kirtogabtal	bookshelf; book-shelf; bookcase	kirjahylly
16012	sitaroobte	wandering	harhailu
16012	tutuuva	wandering	vaeltava
16013	päheörvo	comb; combe	kampa
16013	päheörvoo	comb	kammata
16016	pyökpu	beech	pyökki
16022	authanidriva	consequential; smug	itseriittoinen
16027	aj heiien	I threw	heitin
16030	arys	stimulant; stimulus; irritant	ärsyke
16034	apkajosio	constituency; electorate	valitsijakunta
16034	pöurkarauri	constituency; electoral district	vaalipiiri
16035	pösoejli	illegally; unlawfully	laittomasti
16035	rockjo	rocker	rokkari
16038	autdafaate	enrolment; enrolling	ilmoittautuminen
16040	saahjo	sawyer	sahaaja
16043	autvoolt	get strained; get tense; tense	jännittyä
16043	autvoolten	strained; tense	jännittynyt
16043	nokau	tense	aikamuoto
16043	poluuen	tense	pingottunut
16045	filipinjo	Filipino	filippiiniläinen
16046	autkalpiiren	cooled	jäähtynyt
16050	auttuöf	devotion; zest	antaumus
16050	auttuööfvao	devotion	antaumuksellisuus
16050	usmihäp	devotional; devotion	hartaus
16055	ögsuupte	leaning	nojaaminen
16056	midpaali	centrally; centripetally	keskitetysti
16059	vamdirvo	paddle	mela
16059	vamdirvoo	paddle	meloa
16062	edstva	anterior	etummainen
16062	kaedst	anterior	etumainen
16064	kuthääk	chop; slap	hakata; sivaltaa
16072	räjsivva	batty; foolish	höperö
16072	sivipva	clod; dolt; foolish; ninny; twit	pöhkö; tomppeli
16072	visejva	unsound; senseless; mindless; preposterous; nonsensical; foolish; fatuous; abstruse; absurd; impertinent	tolkuton; päätön; järjetön; absurdi; älytön
16080	hökauu	compose	säveltää
16080	sikajärpaa	compose; fit together	sommitella
16083	sopcöyhli	accordant; concordant; harmoniously; in tune with	harmonisesti; sopusoinnussa
16085	klarinethöv	clarinet	klarinetti
16088	katpir	brighter; clearer	valoisampi
16088	klirobteejo	clearer; settler	raivaaja
16088	soklirpir	clearer; plainer	selkeämpi; selvempi
16093	erlotuujo	mover	muuttaja
16093	uujo	mover	liikkuja
16098	vamlypul	rainforest	sademetsä
16103	usgul	diocese	hiippakunta
16105	söobkir	obituary	muistokirjoitus
16106	sihyjva	multinational	monikansallinen
16108	tistpikahup	thistle	ohdake
16111	nukliva	sleepy; languorous; drowsy; languid	raukea; uninen; unelias
16117	aspirinmo	aspirin	aspiriini
16122	loksif	gull; seagull; sea-gull	lokki
16125	na entansi	mornings	aamuisin
16127	obtööte	machining	työstö
16127	tevööte	machining; mechanization	koneistus
16129	sitesööto	memoir; reminiscence	muistelma
16129	sitesöötöto	memoir	muistelmateos
16133	laokir	cover of magazine	kansi
16133	ylylrivao	redundancy	redundanssi
16135	sipe	fauna	eläimistö
16139	tulsid	roadside	tienvarsi
16144	lumtuvoojo	skier	hiihtäjä
16146	nervutre	reflex	refleksi
16148	auttee	automate	automatisoida
16157	autögpovao	urging; urgency; importunity	itsepintaisuus
16157	iprinovao	urgency	kiireellisyys
16158	gösio visahäp	party congress; party meeting	puoluekokous
16169	sopcöyhva	harmonious; harmonic	harmoninen; sopusointuinen
16171	pikobvoheiite	darts	tikanheitto
16179	liteevö	emulator	emulaattori
16180	fosikpe	microbial; microbe	mikrobi-; mikrobi
16183	sööko ja	do you remember	muistatko
16187	nöipipik	quark	kvarkki
16195	autenfortee	get ready; prepare oneself; ready one's self	valmistautua
16198	in te	in the act	teossa
16198	ängdimva	angular	särmikäs
16198	ängsiva	angled; angular	kulmikas
16201	hieevö	grinder; sander	hiomakone
16201	ikhieevo	grinder	jauhin
16201	ikhievö	grinder	mylly
16203	tuongsaajo	sneak; tattler	kantelija
16203	öhtuu	creep; pussyfoot; sneak	hiipiä
16204	ahtsio	octet	oktetti
16206	sovikli	mistakenly; wrongly; erroneously; incorrectly	erheellisesti; virheellisesti
16211	sipöloaap	take over; captivate; conquer	valloittaa
16215	eöönejva	immortal; deathless	kuolematon
16223	häpdirva	trendy	trendikäs
16223	tylöbvodava	fashion-conscious; trendy	muotitietoinen
16225	autlopaate	settling	asettuminen
16225	töiikte	division of labor	työnjako
16228	pulröhpe	badger	mäyrä
16231	hidsipjo	guerilla; guerrilla; partisan	sissi
16234	teobkauut	embody; typify	ilmentää
16235	haforsavao	thankfulness; gratefulness; gratitude	kiitollisuus
16236	tee ys	impress	tehdä vaikutus
16242	ejretuuli	abnormally; exceptionally	poikkeavasti
16256	ruuven	screwed	ruuvattu
16258	mämiupe	tomcat	kollikissa
16262	ruhamili	interestingly	mielenkiintoisesti
16268	tolylvojo	master-builder	rakennusmestari
16268	ylofraa	snatch up; be greedy; covet; hog	ahnehtia
16272	yvrauu	boycott	boikotoida
16272	yvrauute	boycott	boikotti
16274	eopo	vitality; vigor	elinvoima
16274	eopovao	vitality	elinvoimaisuus
16274	poysvao	alertness; vitality	vireys
16276	laepaaf	crust	kuorettua
16279	istaarkta	be reviewed; will be checked	tarkistetaan
16283	sipresjosio	garrison	varuskunta
16289	autippiiren	diminished	pienentynyt
16290	momapmä	miner	kaivosmies
16290	momaptöjo	miner	kaivostyöläinen
16297	nukejvao	insomnia; sleeplessness	unettomuus
16301	mohomvo	sponge	sieni
16305	usik	denomination; sect	lahko
16305	usiksio	denomination; sect	uskonlahko
16307	sieemjo	diner	ruokailija
16308	ennaate	anticipation; foresight	ennakointi
16317	kuomol	knoll; mound; hillock; hummock	kumpu; töyry; kumpare
16323	ylrieemte	overdose	yliannostus
16326	aap ru	catch up; seize; snatch	ottaa kiinni
16326	sadpoaap	snatch	tempaista
16328	inmolpe	mole; vole	maamyyrä; myyrä
16328	taklaevdot	mole	luomi
16328	veivreekvo	bulwark; seawall; jetty; breakwater; mole	aallonmurtaja
16338	braujelva	buff; fallow	ruskeankeltainen
16339	forahfaa	penalize; punish	rangaista
16340	mitfäfjo	butcher	lihakauppias
16340	pepaeöönjo	butcher; slaughterer	teurastaja
16341	Ushösasi	Psalms	Psalmit
16342	sukpihepalkvem	rum	rommi
16346	ipmaapto	engraving	kaiverrus
16357	iprotuo	excursion	ekskursio
16362	nuattol	farmhouse; grange	maalaistalo; maatalo
16366	autalpölyyen	abject; resigned; submissive	alistunut
16367	utaagjo	retriever	noutaja
16372	konjalkvem	brandy; cognac	konjakki
16372	lijärli	systematically	järjestelmällisesti; systemaattisesti
16375	kutforjurep	scion	pistokas
16380	ineemte	deglutition; ingestion; swallowing	nieleminen
16397	nölikato	proto	proto
16400	kadetukaava	retrospective	retrospektiivinen; taaksepäin katsova
16402	ipliskpe	lizard	sisilisko
16402	liskpe	lizard	lisko
16408	ejvofiopa	anesthesia; anaesthesia	puudutus
16408	tenukda	anaesthesia; anaesthetic; anesthesia; anesthetic	anestesia; anestesia-
16408	tenuukte	anaesthesia; anesthesia	nukutus
16414	käpep	cabbage	kaali
16415	ipvolfpe	cub; wolf-cub	sudenpentu
16420	ocusta	circumstance	olosuhde
16422	kasiööte	digitization; numbering; numeration	digitalisaatio; digitalisointi; numerointi
16424	kood	encode; cypher	koodata
16434	hedejvao	infertility	hedelmättömyys
16438	ivpavo	breaker; circuit breaker; interrupter	katkaisija
16438	tureekvo	breaker	murtaja
16439	veivheörva	curly; frizzy	kihara; kiharainen
16442	vipatöto	collage	kollaasi
16446	erkarorika	benchmarking	vertailuanalyysi
16447	sutuarava	overjealous; jealous	mustasukkainen
16447	tuaofrava	jealous; jaundiced; envying; begrudging; envious	kateellinen
16452	katuohaupe	hound	ajokoira; hurtta
16453	yppypupe	squirrel	orava
16462	vuvövamdimos	wharf	satamalaituri
16466	autennaa	forethought	ennakoitua
16467	sutraevo	fowling piece; scattergun; shotgun; shot-gun	haulikko
16475	iphiekmae	lug; lugworm	hietamato
16475	silupoaag	lug	retuuttaa
16477	molpipriaapjo	surveyor	maanmittari
16484	cejejofri	extinction	sukupuutto
16485	ejsatvokaava	unobservable; unremarkable; unobtrusive; unnoticeable; unctuous; unaware; oblivious; indiscernible; inconspicuous; imperceptible; unperceived	huomaamaton
16485	obnoejli	unaware; unexpectedly	odottamatta; odottamattomasti
16488	ifsoopöva	discretionary; nondiscretionary	harkinnanvarainen
16492	ushösa	chant; hymn; psalm	virsi; psalmilaulu; psalmi
16496	smeelva	scented; redolent; fragrant	tuoksuva
16498	nolymark	timestamp	aikaleima
16500	emsefvat	bib	ruokalappu
16503	hiddasiaapte	espionage; spying	vakoilu
16506	laevretda	dermatology	dermatologia
16509	hiekboks	sandpit; sand-pit; sand pit; sand box; sandbox	hiekkalaatikko
16510	järvisio	bloc	blokki
16516	autnoovva	recurrent; renewing	uusiutuva
16517	läkretli	feverishly	kuumeisesti
16521	tuautdepaava	recursive	rekursiivinen
16522	autbolpiir	swell; swell up	paisua; turvota
16523	ögob	obstacle	vastus
16526	rokliirte	brilliancy; fluorescence	fluoresenssi; loiste
16527	lubekem	long wheat loaf	pitko
16531	yldavlötradav	university degree	korkeakoulututkinto; yliopistotutkinto
16532	hepilk	irony; sarcasm	ironia; iva
16533	cuka	gesture	ele
16537	sipsiosi	armies	armeijat
16545	elotuvö	camper	asuntoauto
16545	kämpjo	camper	leiriläinen
16552	unpipipe	mammoth	mammutti
16552	unpipipeva	mammoth	mammuttimainen
16564	novlisijäärte	rearrangement; rearranging; redeployment; reorganization; reorganizing; reshuffling	uudelleenjärjestely
16565	sahööte	pronunciation	lausuminen; lausunta; ääntäminen; ääntämys
16569	jefao	concession	myönnytys
16570	pipriaapvoli	measurable	mitattavissa
16574	bekto	baked food; fancy cake; pastry	leivonnainen; leivos
16575	cuoliosi	manners	käytöstavat
16579	moP	phosphorus	fosfori
16580	kyierpe	common viper; viper	kyy; kyykäärme
16582	authidooen	hid	piiloutunut
16583	bönmöylva	igneous; volcanic	vulkaaninen
16584	romanjo	Romany; gypsy	romani; mustalainen
16587	teviduujo	pander; pimp; procuress	parittaja
16591	hampep	hemp	hamppu
16594	hemoemfasif	pelican	pelikaani
16595	rautuova	cyclic; cyclical	syklinen
16596	vuvat	bathing suit; swimsuit	uimapuku
16598	kaudav	morphology	muoto-oppi; morfologia
16598	köhysipjo	major general	kenraalimajuri
16604	enöyvkum	condom	kondomi
16605	sifainkaa	admire	ihastella
16618	kirliva	textual	tekstin mukainen
16619	derusa	suffix	suffiksi
16619	önrupa	suffix	pääte; loppuliite
16620	ratafojo	jurist	juristi
16621	ikrovfa	installment; part payment	osamaksu
16623	rauknittovo	distaff; spindle	värttinä
16626	isfliip	wink	räpäyttää
16626	kaevtik	wink; twinkling; blink of an eye; jiffy; trice	silmänisku; silmänräpäys
16626	tikheuu kaev	wink	vilkuttaa silmää
16627	vomemikjätret	diarrhea; diarrhoea	ripuli
16631	ejevva	inorganic	epäorgaaninen
16631	knooten	knotted	solmittu
16632	sadnöböönte	flare	leimahdus
16633	skolastva	scholastic	skolastinen
16635	na batansi	mondays; on Mondays	maanantaisin
16636	ennapörov	advance tax	ennakkovero
16636	ennaruappörov	withholding tax	ennakonpidätys
16641	silif	foliage	lehvistö
16642	päbau	nod	nyökkäys
16642	päbauu	nod	nyökätä
16643	suutta	let's shoot; be shot	ammutaan
16645	ipvislvo	fife; piccolo	pikkuhuilu
16647	opheuuva	groggy; wobbly; vacillating; unsteady; toppling; indeterminate; crank; shaky	horjuva; huojuva; hutera
16647	tönvo	crank	veivi
16647	tönvoo	crank	veivata
16649	aldpu	alder	leppä
16651	jääik	fag-end; stub; stump	tumppi; tynkä
16651	untovpu	snag; stub	kelo
16653	lafätva	creamy	kermainen
16663	harvatsupvo	brace; gallus	housunkannatin
16663	ipruhuk	brace	hakanen
16663	porvolubod	brace	poranvarsi
16672	pöräj	bedlam; mayhem; pandemonium; tumult; turmoil	sekasorto
16678	hökauleiri	octave	oktaavi
16683	homyyv	stifle; suppress; supress; suffocate; repress; quell; asphyxiate; smother; choke	tukahduttaa; tukehduttaa
16696	ennaobhäp	precedent	ennakkotapaus
16696	ennapät	precedent; predetermination	ennakkopäätös
16705	gnopiiren	facilitated	helpotettu
16708	erkasa	parable; simile; metaphor	metafora; vertaus
16710	feösalo	fairyland; wonderland	satumaa
16710	voejhäphyl	wonderland	ihmemaa
16711	intugagevvomfa	infusion	infuusio
16720	gövy	spur	kannus
16721	rosrono	jubilee	riemujuhla
16723	kahacuva	well-mannered; polite; courtly; courteous	kohtelias
16725	yltuve	thigh	reisi
16729	sijänepva	perennial	perenna
16729	sijänva	perennial	monivuotinen
16732	bassev	seventeen	seitsemäntoista
16732	tesoto	committee report	mietintö
16739	iksikuutte	chopping; cleavage; dismemberment	pilkkominen
16740	rorikaaen	analysed	analysoitu
16741	ejkooenli	unasked	kysymättä
16742	lylriliva	gradual	asteittainen
16752	lumtuvosi	skis	sukset
16759	lipredmo	lipstick	huulipuna
16762	houva	windy	tuulinen
16766	fulafsta	saturation	kylläisyys
16769	nojär	chronological order; chronology	aikajärjestys
16771	lakrivö	thermometer	lämpömittari
16771	läkretrivo	thermometer	kuumemittari
16772	vampulredber	cranberry	karpalo
16774	in lymöyl	downhill	alamäessä
16774	luvi lymöyl	downhill	alamäkeä
16774	tu lymöyl	downhill	alamäkeen
16779	pelo-	nesting	pesimä-
16783	lumakarem	spaghetti	spagetti
16785	äsääs	whisper	supista
16785	ääste	whisper	kuiskaus
16794	ahogörilsa	confession	rippi; synnintunnustus
16795	ofpöaapen	deprived	riistetty
16798	vodalkvem	vodka	votka; vodka
16799	miahteva	bothersome; vexatious; awkward; unenviable; embarrassing	kiusallinen
16799	temokauute	molding	muovaus
16803	komjide	communism	kommunismi
16804	leopardpe	leopard	leopardi
16808	tepäsiheör	wig	peruukki
16809	tehelhöö	jingle; rattle	helistää
16813	authöövva	ringing	soiva
16817	povilalkvem	whiskey; whisky	viski
16820	ifsoova	prudent; tolerant; levelheaded	harkitseva
16820	pitilkaava	tolerant	avarakatseinen
16820	pitilmiva	tolerant	avaramielinen
16824	leylleito	laminate	laminaatti
16825	höevring	earring	korvarengas
16825	höevrokavo	earring	korvakoru
16826	viapsiovö	aggregator	aggregaattori
16828	enöev	embryonic; fetus; foetus; embryo	alkio; alkion; sikiö
16834	töculitedava	ergonomic	ergonominen
16835	miarna	infuriated; livid; outraged; furious; enraged; furiously	raivoissaan
16835	yltuarva	frantic; furious	vimmainen
16837	duterauutte	iteration	iteraatio
16839	britjo	Briton	britti
16843	hafaava	approving	hyväksyvä
16845	turejva	insecure; unprotected; unsafe; defenseless	turvaton
16849	erurpaava	separating	erottava
16850	kuemsi	soups	keitot
16852	vokadaejva	unidentified; unrecognizable	tunnistamaton
16853	rostadiirjo	CFO; Financial Officer	talousjohtaja
16857	ipvotva	humid; moist; damp; dank	kostea
16865	mulpe	mule	muuli
16865	mäamuupepä	bullhead; mule	härkäpää
16865	ögpä	mule	jukuripää
16870	kivhed	kiwi; kiwi fruit	kiivi; kiwi
16879	aurlokuk	sunflower	auringonkukka
16880	viduiksip	dueling; duel	kaksintaistelu
16882	pavetapdeka	fingerprint	sormenjälki
16885	ämapdaavjosossio	sorority	naisopiskelijayhdistys
16885	ämmitesio	sorority; women's club	naisten kerho
16888	autedtukavotra	audition	esiintymiskoe
16895	povopirto	reinforcement	vahviste
16899	miretlike	psychotherapy	psykoterapia
16901	tenidejli	modestly	vaatimattomasti
16906	tu läktol	to the sauna	saunaan
16907	makhömethouhöv	saxophone	saksofoni
16910	simvem	mead	sima
16911	kipaaen	decked; roofed; catered	katettu
16913	steroidmo	steroid	steroidi
16914	metkamdram	gong	kumistin
16918	na ipnosi	every now and then	hetkittäin
16921	cujemiva	likable; likeable; sympathetic	sympaattinen
16921	gömiva	sympathetic	myötämielinen
16926	daejva	unconscious	tiedoton
16926	dafiejva	non-conscious; unconscious	tajuton
16926	dafivoejli	unconscious	tainnoksissa
16928	ulsa	abbreviation; acronym	akronyymi; lyhenne
16932	alevhoomva	breathtaking	hengästyttävä; henkeäsalpaava
16933	vamtuliin	streamline	virtaviivaistaa
16935	Messias	Messiah	Messias
16938	davisva	pundit	tietoviisas
16944	yysjo	influential person	vaikuttaja
16947	autöönte	expiry	lakkaaminen
16954	velgöjo	burgher; bourgeois; burgess	porvari
16959	moCl	chlorine	kloori
16962	enlakno sempa	spring sowing	touko
16965	raivilep	rye	ruis
16968	kauvopalö	foundry	valimo
16969	toksmodä	toxicology	toksikologia
16972	bodtoolte	body building; bodybuilding	kehonrakennus
16974	dahidaheap	assassination	salamurha
16975	farofra	nostalgia	nostalgia
16975	sorfarravao	nostalgia; sadness	haikeus
16977	asetatmo	acetate	asetaatti
16979	fäfiplo	stall	koju
16979	popelimlo	stall	pilttuu
16979	päätejoo	be indecisive; drag one's feet; procrastinate; stall	jahkailla
16989	akob	eyesore; hulk; ugly thing	rumilus
16990	lusifharbol	badminton; shuttlecock	sulkapallo
16991	blugrinva	cyan; blue-green	sinivihreä; syaani
17014	utjosham	aerosol	aerosoli
17017	varmroirfjo	hostage	panttivanki
17018	laoipbekem	cracker	voileipäkeksi
17019	anglikanusva	Anglican	anglikaaninen
17030	sivigögva	multilateral	multilateraalinen; monenkeskinen
17030	sivälcuva	multilateral	monenvälinen
17036	def	adjunct; qualifier	määrite
17036	pirmo	additive; adjunct; adjunctive	lisäaine
17036	vyolisa	adjunct	apuneuvo
17042	Perslo	Persia	Persia
17052	kuolsi	pits; bumps; dimples	kuopat
17053	sirisova	exponential	eksponentiaalinen
17068	snetcuva	lax	leväperäinen; höllä
17069	bekemläkbrauvö	toaster	leivänpaahdin
17069	läkbrauuvö	toaster	paahdin
17070	keete	taking care of; cater	huolehtiminen
17075	hadahonva	reputable	hyvämaineinen
17081	rolfisvo	rod and reel; fishing rod with a reel; lure	virveli; uistin
17081	siteahraa	lure; tempt; inveigle; entice	viekoitella
17090	tuvisoopejva	incompatible; mismatched	yhteensopimaton
17091	ja uuten	you came	tulit
17094	iklali	overlapping	limittäin
17094	relava	overlapping; overlying	päällekkäinen
17098	rerovao	equivalence	ekvivalenssi
17102	ahpuorva	miserable; beggarly; execrable; vile; wretched	viheliäinen
17102	tesafva	measly; pauper; miserable	vaivainen
17103	utroejva	fruitless; unproductive; unsuccessful	tulokseton
17109	emyöökte	vomiting	oksentelu
17112	herep	pea	herne
17114	liretekaa	simulate	simuloida
17115	likava	buckram; schematic; starchy	kaavamainen
17115	liosili	in ways	tavoilla
17116	fätyraphake	liposuction	rasvaimu
17121	ögpohomva	pneumatic	pneumaattinen
17124	dahidsuutjo	sniper	sala-ampuja
17124	tarksuutjo	sharpshooter; sniper	tarkka-ampuja
17127	niipte	pinch	nipistys
17127	nipriva	pinch	hyppysellinen
17129	votölivovao	professionalism	ammattilaisuus
17133	vooshvova	washable	pestävä
17138	bitvesupfesi	braces	hammasraudat
17139	rolfiis	troll	uistella
17139	troljo	hobgoblin; specter; spectre; troll	peikko
17139	yspödajo	troll	trolli
17141	iksiotö	teamwork	ryhmätyö
17141	visiotö	teamwork	tiimityö
17143	in us	in faith	uskossa
17148	ahnilk	taint; filth	saasta
17149	mivoyvvao	moderation; composure; moderateness	maltillisuus
17151	ahstava	troubling; worrying; distressing; distressful; oppressive	ahdistava
17151	autmikeete	worrying	huolestuminen
17152	obesda	ontology	ontologia
17158	votövipö	labor union	ammattiliitto
17160	kalkvolkato	blackboard; chalkboard	liitutaulu
17161	häkvö	chipper; chopper; hawker	hakkuri
17162	moNhapkus	nitrate	nitraatti
17163	metbolple	pinball	flipperi
17166	pirrovfa	extra charge; surcharge; surcharged	lisämaksu
17170	tarhee	grimace; grin	irvistää
17170	tarhehee	grin	virnistää
17172	lätva	Latvian	latvialainen
17174	tuvedeka	footprint	jalanjälki
17176	ögroprog	malware	haittaohjelma
17181	sorvyyjo	comforter	lohduttaja
17183	hevpir	heavier; weightier	painavampi; raskaampi
17183	stakampir	heavier; tougher	rankempi
17185	nistadäva	meteorological	meteorologinen
17186	issaliiv	spit	sylkäistä
17186	saliiv	drool; spit; spit out	kuolata; sylkeä
17186	salivmo	sputum; drivel; drool; saliva; slobber; spit; spittle	kuola; sylki
17187	dakavoli	intelligibly; understandably	ymmärrettävästi
17188	takkäpir	darker	tummempi
17188	takpir	darker	synkempi
17190	popepo	horsepower	hevosvoima
17192	orviäm	hag; woman (not polite)	akka
17194	alkong	alcohol problem	alkoholiongelma
17194	alkongide	alcoholism	alkoholismi
17195	ermivao	disagreement; divisiveness; disunity; discord; dissension; dissent	erimielisyys
17198	ylstriva	maximal	maksimaalinen
17200	myskmo	musk	myski
17209	orcuute	contempt; discourtesy; disrespect; scorn	halveksunta
17209	yllikaate	contempt; scorn; irreverence	ylenkatse
17210	soside	socialism	sosialismi
17214	eemvova	eatable; edible	syötävä
17215	räjpö	anarchy	anarkia
17226	vomnituute	leakage	vuotaminen
17227	lieli	culturally	kulttuurisesti
17229	katyvva	shadowy; shady	varjoinen; varjoisa
17230	kemdajo	chemist	kemisti
17232	tolhake	janitorial	kiinteistönhoito-
17234	situut	ramble; stroll; mosey; rove; roam	kuleksia; kuljeksia; kuljeskella
17235	propanmo	propane	propaani
17237	vivevsupprotmo	collagen	kollageeni
17241	lirehava	as good as	veroinen
17241	lumpohou	snowstorm; whirling; scurry of snow; blizzard; winter storm	lumimyrsky; tuisku
17242	patiis	erect	pystyttää
17254	kojotpe	brush wolf; coyote; prairie wolf	kojootti; preeriasusi
17256	paeöpiirjo	breeder; growler	kasvattaja
17257	sähpä	electrode	elektrodi
17260	nötanem	chow; grub; provender	murkina
17263	visemtom	pollen	siitepöly
17264	päräjmooen	drunken; intoxicated; inebriated	humalainen; päihtynyt
17267	mäseerjo	manservant; valet	miespalvelija
17268	ahstteejo	spoiler	pilaaja
17275	tegöroote	exploiting	hyödyntäminen
17276	barogno	baroque	barokki
17278	paverautogagvo	barrow; wheelbarrow	kottikärryt
17288	isjohösaik	aria	aaria
17290	topörov	excise	valmistevero
17291	kausava	poetic; poetical	runollinen
17293	hieves	mortar	huhmar; huhmare
17293	kransutto heiivo	mortar	kranaatinheitin
17293	plastmo	grout; gypsum; mortar; plaster	kipsi; laasti
17299	piksipvo	dagger; dirk; stiletto	tikari
17301	la it	thereon	sen päällä
17305	vilafaapen	harvested	korjattu
17309	tusipalokvo	spanner; wrench	jakoavain
17318	sahlö	sawmill	saha; sahalaitos
17321	ejhamivao	discomfort	epämukavuus
17322	apdavprog	curricula	opinto-ohjelma
17323	autlaevkeer	scar	arpeutua
17323	laevker	cicatrix; scar	arpi
17324	liafvoo	accustom oneself; habituate; get used to; shake down; get accustomed to; acclimatize; acclimate; become accustomed to; get acclimatized to	tottua
17324	sysasikirgao	indictment	syytekirjelmä
17325	ahhafateaf	apology	anteeksipyyntö
17334	leivesem	pudding	vanukas
17334	tselem	fruit soup; pudding	kiisseli
17338	pösorekva	felonious	rikollinen
17344	root	rot; molder; putrefy	mädäntyä; mädätä
17348	sielo	dorm; dormitory	asuntola
17352	divamlodim	lakeshore; lakeside; lakefront	järvenranta
17360	ejkireva	disjointed; heterogeneous; disconnected; disjoint	epäyhtenäinen
17360	erkireva	heterogeneous; heterogenous	heterogeeninen
17366	momaaplo	excavation; quarry	louhos
17367	soklirapjo	liquidator	selvitysmies
17368	saklili	luckily	onnekkaasti
17369	ultbluredva	ultraviolet	ultravioletti
17372	homevläkret	pneumonia	keuhkokuume
17373	usofmälo	monastery	munkkiluostari
17379	cesdis	hundred thousand; one hundred thousand	satatuhatta
17381	pafmo	carton	kartonki
17388	ammoniamo	ammonia	ammoniakki
17392	pösosefeej	proscribe; outlaw	julistaa lainsuojattomaksi
17392	pösosefejva	outlaw	lainsuojaton
17395	amuupe	bovine	nauta
17397	ejöbraa	dislike	ei pitää
17397	ögmivao	dislike; aversion; disgust	vastenmielisyys
17401	reksta	breakup; upheaval	murros
17402	uutnen oova	imminent	tulossa oleva
17406	ögrokasaaen	criticized	kritisoitu
17413	isvisioliva	communal	yhteisöllinen
17419	dynhomrekmo	dynamite	dynamiitti
17420	ahsisaa	tease; taunt	piruilla
17420	lekahcuu	tease	härnätä
17420	simiahtee	tease	kiusoitella
17421	sikäva	variegated; kaleidoscopic; motley; mottled; mottling; multicolor; multicolored; multicoloured; polychromatic; polychrome; dappled	kirjava; monivärinen
17424	inlipiiken	pierced	lävistetty
17426	ficurova	appreciable	tuntuva
17426	livofiiva	palpable; perceptible	tuntuva
17433	pohouvam	runoff water; stormwater	hulevesi
17435	farra	hankering; languor; longing; yearning	kaiho; kaipaus; kaipuu
17438	roiköfvirosio	limited liability company	osakeyhtiö
17443	syviova	causal	kausaalinen
17445	for fää	for sale	myytävänä
17446	pihlpu	rowan	pihlaja
17447	dadiipvao	familiarity	perehtyneisyys
17448	tukaali	assigning	osoittamalla
17452	onguuva	gawky; ungainly; nitwit; maladroit; lumpish; inept; inelegant; gauche; elephantine; clunky; clumsy; awkward; hulking	kömpelö; tumpelo
17455	viivte	weaving	kutominen; kudonta
17455	vivlö	textile mill; weaving	kutomo
17456	sooejli	thoughtlessly	ajattelemattomasti; ajattelematta
17460	piritevao	diligence; industriousness	ahkeruus
17462	iikjo	splitter	jakaja
17463	sieem	dine	ruokailla
17465	sirepipriite	standardization	normitus; standardointi
17470	viongtee-en	struggled	kamppaili
17471	obkaate	lookout; endoscopy	tähystys
17473	ejrataflivao	injustice	epäoikeudenmukaisuus
17473	tarvao	falsity; iniquity; injustice; wrongness	vääryys
17475	midgösio	center party	keskustapuolue
17477	vatsiilte	ironing	silitys
17484	ishäk	slap	läimäys
17484	ispoheii	slap	paiskauttaa
17493	tu ofpöli	unleashed	valloilleen
17495	kusmo-ofva	saline	suolapitoinen
17496	sonip	sonny	poikanen
17496	uppu	twig; sprig	varpu
17498	ejoova	nonexistent	olematon
17498	petuve	paw	käpälä; tassu
17498	vekuool	paw	kuopia
17502	ejfosikpeva	sterile; aseptic	steriili; aseptinen
17503	tuhylaagjo	importer	maahantuoja
17506	epdä	botany	kasvitiede
17507	autiktuumte	dissolution	liukeneminen
17507	silopaate	dissolution	hajottaminen
17512	bisnpe	bison	biisoni
17515	movali	materially	aineellisesti
