Vosa	VosaParts	Finsi	Engsi
hemoevli	hemo-ev-li	sydämellisesti	cordially; heartily
hemoevva	hemo-ev-va	vaskulaarinen	vascular
hemogaev	hemo-ga-ev	valtimoiden; valtimo	artery; arterial
hemokäns	hemo-käns	leukemia	leukemia
hemolaev	hemo-la-ev	verinahka	corium; dermis
hemoliva	hemo-li-va	verevä	bloody; ruddy
hemorytm	hemo-rytm	pulssi; pulssi-	pulse; pulsed
hemotiik	hemo-tiik	sykkiä	pulsate
hemotuyv	hemo-tu-yv	klimppi; tulppa; veritukos; veritulppa	embolus; thrombosis; embolism; clot; thrombus
hepatret	hepat-ret	hepatiitti	hepatitis
hepilkli	he-pilk-li	ironisesti	ironically
hepilkva	he-pilk-va	ironinen; ivallinen	ironic; wry; sardonic; sarcastic; cynical; ironical
hepkutvo	hep-kut-vo	viikate	scythe
heplobol	hep-lo-bol	maahockey	hockey
hepouplo	hep-oup-lo	savanni	savanna; savannah
heptööte	hep-töö-te	heinänteko	making hay
hepvisio	hep-vi-si-o	paali	bale
hereppod	her-ep-pod	herneenpalko	husk
heroinmo	heroin-mo	heroiini	scag; diacetylmorphine; heroin
heuooste	heu-oos-te	keinunta	swinging; rocking
hevlituu	hev-li-tuu	tarpoa	plod
hevpipri	hev-pip-ri	painomitta	weight measure; weight measurement
hevpoaag	hev-po-aag	naarata; raahata	tote; lug; haul; drag
hevpotuu	hev-po-tuu	raahustaa	shamble
hevpovao	hev-po-va-o	ponnekkuus	virility
hevriaap	hev-ri-aap	punnita	balance; deliberate; weigh
hevrivoo	hev-ri-voo	vaa'ata	weigh
hevrolvo	hev-rol-vo	jyrä	roller
hevtuvee	hev-tu-vee	löntystää	clump around
heörejpä	heör-ej-pä	kaljupää	baldhead
heörejva	heör-ej-va	kalju	bald; glabrous
heörieer	heör-ieer	kähertää	frizz
heörkuut	heör-kuut	keritä	clip; fleece; shear
heörpavo	heör-pa-vo	sivellin	brush
heörsiva	heör-si-va	karvainen	hirsute; pubescent; carny; hairy
hiddakoo	hid-da-koo	urkkia; udella	pry; snoop
hiddekaa	hid-de-kaa	varjostaa	follow secretly; overshadow
hidobkaa	hid-ob-kaa	vaania; väijyä	wait in ambush; lurk; prowl; skulk
hidoovao	hid-oo-va-o	piilevyys	latency
hidpaaen	hid-paa-en	piilotettu	concealed; hidden
hidpaate	hid-paa-te	piilottaminen	concealment
hidsipjo	hid-sip-jo	sissi	guerilla; guerrilla; partisan
hieepapr	hiee-papr	hiomapaperi	sandpaper
hiekaalm	hie-kaalm	huurtaa	frost
hiekboks	hiek-boks	hiekkalaatikko	sandpit; sand-pit; sand pit; sand box; sandbox
hiekpapr	hiek-papr	hiekkapaperi	sandpaper
hiemoovö	hie-moo-vö	jauhatuskone	pulverizer
hiemovam	hie-mo-vam	suspensio	suspension
hieraeva	hie-rae-va	hienorakeinen	fine-grained
hietobep	hie-tob-ep	nuuska	snuff
hindusjo	hind-us-jo	hindu	Hindu
hindusva	hind-us-va	hindulainen	Hindu
hirahfii	hir-ah-fii	iljettää	disgust
hirhehva	hir-heh-va	hirtehinen	grotesque; macabre; grim
hirlivao	hir-li-va-o	hirvittävyys	enormity
hirpohou	hir-po-ho-u	hirmumyrsky	typhoon
hitkniit	hit-kniit	harsia	baste
hitnavao	hit-na-va-o	harvinaisuus	oddity; rarity; rareness; peculiarity; curio; rarefaction
hitpirna	hit-pir-na	harvemmin	rarely
hitsiöva	hit-si-ö-va	harvalukuinen	rare
hitvamly	hit-vam-ly	tihkusade; vihma	drizzling; drizzle
hoahrisk	ho-ah-risk	hengenvaara	mortal danger; danger of death
hoahstao	ho-ah-sta-o	hengenahdistus	shortness of breath
hodamili	ho-da-mi-li	mentaalisesti	mentally
hodamiva	ho-da-mi-va	mentaalinen	mental
hohääpte	ho-hääp-te	meininki	spirit of happening
hojfulva	hoj-ful-va	sielukas	soulful
hojoejva	ho-jo-ej-va	persoonaton	impersonal
hojoersa	ho-jo-er-sa	henkilönimi	personal name
hojokart	ho-jo-kart	henkilökortti	ID; idendity card
hojokato	ho-jo-ka-to	henkilökuva	portrait; portraiture; profile
hokaadjo	ho-kaad-jo	adjutantti; henkivartija	adjutant; bodyguard; escort; gorilla
hokaulim	ho-kau-lim	haamuraja	magic barrier; magic limit
hokauuto	ho-kauu-to	hahmotelma	rough; sketch
homevmju	hom-ev-mju	räkä	snot
homfrees	hom-frees	tuulettaa	ventilate
homlarau	hom-la-rau	ilmakehä	athmosphere; atmosphere
homnituo	hom-ni-tuo	ilmavuoto	air leak
hompaate	hom-paa-te	ilmastus	aeration
hompuoyv	hom-puo-yv	ilmansulku	air seal
homrekli	hom-rek-li	räjähdysmäisesti	explosively
homrekmo	hom-rek-mo	ruuti; räjähde	gunpowder; powder; gun powder; explosive
homrekva	hom-rek-va	räjähdysmäinen	explosive
homsipvo	hom-sip-vo	ilma-ase	air gun; air power
homstadä	hom-sta-dä	ilmastotiede	climatology
homstali	hom-sta-li	ilmastollisesti	climactically; climatically
homtesaf	hom-te-saf	ilmavaiva	flatulence; flatulency
homtumoo	hom-tu-moo	pöyhiä	fluff
homvamva	hom-vam-va	pilvinen	clouded; cloudy; overcast
homyyvte	hom-yyv-te	tukahduttaminen	suppression
homyyvva	hom-yyv-va	tukahduttava	suffocating
honissao	hon-is-sa-o	kunniamaininta	citation
honmetjo	hon-met-jo	mitalisti	medalist
honrooen	hon-roo-en	kunnioitettu	honored; honoured; respected; revered; venerated; graced
honrooli	hon-roo-li	kunnioittavasti	respectably; respectfully
honroote	hon-roo-te	kunnioitus; kunnioittaminen	reverence; respect; esteem; deference; awe; veneration
honroova	hon-roo-va	kunnioittava	deferential; respectful; reverent; revering
honvovao	hon-vo-va-o	sankaruus	heroism
hourauvö	ho-u-rau-vö	tuulimylly	windmill
houveiiv	ho-u-veiiv	liehua	wave
houvuujo	ho-u-vuu-jo	purjehtija	sailer; sailor; yachtsman
houvuute	ho-u-vuu-te	purjehdus	sailing; yachting
huboolte	hu-bool-te	lentopalloilu	volleyball
hudelomä	hu-de-lo-mä	lentoperämies	co-pilot
hudiirlo	hu-diir-lo	lentokoneen ohjaamo	cockpit
hudiirte	hu-diir-te	lennonjohto	air traffic controls
humlupep	huml-up-ep	humala	hop; Humulus lupulus
hureituo	hu-rei-tuo	lentolinja	airline
hurstava	hur-sta-va	ekstaattinen; hurmoksellinen	ecstatic; charming
huulekvo	huu-lek-vo	lennokki; lelulentokone	toy airplane
huveofva	hu-ve-of-va	siivekäs	winged; winging
huvetiik	hu-ve-tiik	räpytellä siipiä	flap wings
hydratmo	hydrat-mo	hydraatti	hydrate
hyjaheap	hy-j-ah-e-ap	kansanmurha	genocide
hyjbönmi	hy-j-bön-mi	kansalliskiihko	nationalism; jingoism
hyjdavlo	hy-j-dav-lo	kansakoulu	public school
hyjenlio	hy-j-en-li-o	kansanperinne	folklore
hyjgösio	hy-j-gö-si-o	kansanpuolue	People's Party
hyjjovao	hy-j-jo-va-o	kansalaisuus	citizenry; citizenship; civic; civilities; nationality
hyjmiide	hy-j-mi-ide	nationalismi	nationalism
hyjmivao	hy-j-mi-va-o	kansallismielisyys	nationalism
hyjpöhyl	hy-j-pö-hy-l	kansallisvaltio	nation state
hyjrosta	hy-j-ro-sta	kansantalous	economics
hyjustol	hy-j-us-tol	kansankirkko	national church
Hyjvisio	hy-j-vi-si-o	Kansainyhteisö	Commonwealth
hyjvosva	hy-j-vos-va	kansankielinen	vernacular
hyjyylte	hy-j-yyl-te	kansannousu	uprising
hylahdir	hy-l-ah-dir	maanpetos	treason
hyltesaf	hy-l-te-saf	maanvaiva	earth trouble; public nuisance
hylvillö	hy-l-vil-lö	sovhoosi	sovhose; sovkhoz
hylvälda	hy-l-väl-da	diplomatia	diplomacy
hymhösaa	hym-hö-saa	hyräillä	croon; hum
hynrovfa	hy-n-rov-fa	kuukausimaksu	monthly fee
hyntörov	hy-n-tö-rov	kuukausipalkka	monthly salary
hypsaaen	hyp-saa-en	kirottu	damnable; damned; darned; cussed; accursed; cursed; damn
hypsaali	hyp-saa-li	hemmetti	damnes
hypsaate	hyp-saa-te	kiroaminen	imprecation
hysipsio	hy-sip-si-o	armeijakunta	army corps; military corps
hytpegsi	hyt-peg-si	hyttyset	culicidae
hä aafen	hä aaf-en	hän sai	he got; she got
hä paaen	hä paa-en	hän laittoi; hän pani	she put; he put
hä saaen	hä saa-en	hän sanoi	he said; she said
hä sooen	hä soo-en	hän ajatteli	she thought
hä tuuen	hä tuu-en	hän meni	he went
häkiksio	häk-ik-si-o	iskuryhmä	flying squad
häkjosio	häk-jo-si-o	iskujoukko	assault team; commando
häkmapvo	häk-map-vo	kuokka	hoe; mattock
häkpolyy	häk-po-lyy	juntata	hammer
häkripvo	häk-rip-vo	puskuri	buffer; bumper
häköbsaa	häk-öb-saa	läksyttää	lambaste
hängejpö	häng-ej-pö	suvereniteetti	sovereignty
hängpavo	häng-pa-vo	ripustin	hanger
häpdirva	häp-dir-va	trendikäs	trendy
häpsituo	häp-si-tuo	tapahtumien kulku	course of events
häsi aaf	hä-si aaf	he saavat	they get
häsi aut	hä-si aut	he itse; itsensä; itseänsä	themselves
häsi faa	hä-si faa	he antavat	they give
häsi voo	hä-si voo	voivat	they can
hääkejva	hääk-ej-va	lyömätön	unbeatable
häävhuvö	hääv-hu-vö	hävittäjä	fighter
höahrääj	hö-ah-rääj	mellakoida	riot
hödasasa	hö-da-sa-sa	huhupuhe	grapevine; hearsay; pipeline; word of mouth
höerpamo	hö-er-pa-mo	äänieriste	soundproofing
höevmark	hö-ev-mark	korvamerkki	earmark
höevring	hö-ev-ring	korvarengas	earring
höipdavö	hö-ip-da-vö	puskaradio	grapevine
höjuuste	hö-juus-te	viritys	tuning
höjuusvö	hö-juus-vö	viritin	tuner
hökaamte	hö-kaam-te	kolaus	blow
hökauuen	hö-kauu-en	säveltänyt	composed
hökauute	hö-kauu-te	säveltäminen	composing
höknitva	hö-knit-va	kielellinen	stringed
hölirauu	hö-li-rauu	telmiä	frolic; have a romp; romp
hönauhto	hö-nauh-to	kasetti	cassette
höongsaa	hö-ong-saa	ruikuttaa	whine
höpiirte	hö-piir-te	äänen voimistuminen	crescendo
höriipen	hö-riip-en	vaimennettu	attenuated; damped
höriipte	hö-riip-te	vaimentaminen; vaimennus	attenuation; muting; damping; muffling
höriipvo	hö-riip-vo	vaimennin; äänenvaimennin	damper; muffler; mute; silencer
hörjosio	hör-jo-si-o	audienssi; kuulijakunta	audience
höräjtee	hö-räj-tee	miksata	mix
hösloolö	hö-sloo-lö	äänittämö	recording studio
hösloote	hö-sloo-te	äänitys; äänittäminen	recording
hövjosio	höv-jo-si-o	orkesteri; orkesteri-	orchestra; orchestral
ideanoov	idea-noov	innovoida	innovate
ideavoli	idea-vo-li	kekseliäästi	inventively
ideavova	idea-vo-va	kekseliäs	ingenue; inventive
ielkavat	iel-ka-vat	viiri	pennant; streamer; banner
ielkutpu	iel-kut-pu	lista; rima	batten; crossbar; lath; slab; slat; bar
ielrauka	iel-rau-ka	ovaali; soikio	ellipse; oval
ielrauva	iel-rau-va	elliptinen; soikea	elliptic; elliptical; oval; ovate
ieluulte	iel-uul-te	typistys; typistäminen	prune; truncation
ielvamlo	iel-vam-lo	salmi	strait
ielvuvöö	iel-vu-vöö	sukkuloida	shuttle
ielönhät	iel-ön-hät	pipolakki	beanie hat; beanie cap
ierbäkve	ier-bäk-ve	notkoselkä	lordosis
ierlivao	ier-li-va-o	mutkikkuus	convolution; intricacy
iermuuen	ier-muu-en	kieroutunut	perverted
ierpolyy	ier-po-lyy	notkua	wobble
iersituu	ier-si-tuu	mutkitella	meander
ifoejvao	if-o-ej-va-o	absoluuttisuus; ehdottomuus	absoluteness
ifojovao	if-o-jo-va-o	ehdokkuus	candidacy; candidature
ifopaate	if-o-paa-te	ehdollepano	nomination
ifsoo so	if-soo so	harkita asiaa	cud
iikmiret	iik-mi-ret	jakomielitauti; skitsofrenia	schizophrenia
ikhieevo	ik-hiee-vo	jauhin	grinder
ikhieevö	ik-hiee-vö	jauhatuskone	grinding machine
ikkuutte	ik-kuut-te	silpominen	mutilation
iklaliva	ik-la-li-va	limittäinen	imbricate
iklukuut	ik-lu-kuut	suikaloida	shred
ikmakmit	ik-mak-mit	mureke	meat loaf
ikoteide	ik-o-te-ide	funktionalismi	functionalism
ikrisoön	ik-ri-so-ön	jakojäännös	remainder
ikrivitö	ik-ri-vi-tö	osuustoiminta	cooperation
iksiipen	ik-siip-en	taisteli; taistellut	battled; fought; struggled
iksiipjo	ik-si-ip-jo	taistelija	warrior; battler; combatant; fighter
iksikuut	ik-si-kuut	pieniä; pilkkoa	hash; cut in pieces; chop; cleave
iksiopaa	ik-si-o-paa	ryhmittää; jaotella; ryhmitellä	classify; group; divide
imiptorv	im-ip-torv	pilli	straw
imsuitem	im-suit-em	tikkari	lollipop; sucker
in ahnid	in ah-nid	hädässä	in distress
in altys	in alt-ys	vuorovaikutuksessa	interacted; interacting
in bausi	in bau-si	kumarruksissa	in bows
in biolo	in bio-lo	luonnossa	in the wild
in feösa	in feö-sa	sadussa	in a fairy tale
in Finlo	in Fin-lo	Suomessa	in Finland
in fäflo	in fäf-lo	kaupassa	in the store
in gabos	in gab-os	kaapissa	in the closet
in hidlo	in hid-lo	piilossa	in hiding
in iksio	in ik-si-o	ryhmässä	in the group
in kamva	in kam-va	kovassa	in hard
in koote	in koo-te	kysymyksessä	in question
in käbve	in käb-ve	rinnassa	in the chest
in liote	in li-o-te	käytännössä	in practice; practically
in midik	in mid-ik	keskiosassa	in the middle part
in netos	in net-os	häkissä	cooped
in novva	in nov-va	uudessa	in the new; in the new one
in nukka	in nuk-ka	unessa; unissaan	asleep; in one's sleep
in nukos	in nuk-os	vuoteessa	abed; in bed
in obkat	in ob-kat	valokeilassa	in spotlight
in okofo	in ok-of-o	vastuussa	accountable; liable; responsible
in retlö	in ret-lö	sairaalassa	in the hospital
in rovat	in ro-vat	puvussa	in a suit
in sidlo	in sid-lo	syrjässä	aloof; apart
in sielo	in si-elo	asuntolassa	in the dormitory
in sipao	in si-pa-o	kimpussa	hard at it
in tarob	in tar-ob	harhassa	delusional
in tuasi	in tua-si	muissa	in other
in turke	in tur-ke	huostassa	in custody
in vamly	in vam-ly	sateessa	in the rain
in vinet	in vi-net	internetissä; netissä	in internet; in the Internet
in änglo	in äng-lo	nurkassa	cornered; in the corner
in öhsta	in öh-sta	hiljaisuudessa	in silence
indeurva	ind-eur-va	indoeurooppalainen	Indo-European
influret	in-flu-ret	influenssa	influenza
ingbekem	ing-bek-em	pipari; piparkakku	ginger biscuit; gingerbread
inklubod	ink-lu-bod	kyynärvarsi	forearm
inkpipri	ink-pip-ri	kyynärä	ell
inlaktee	in-lak-tee	hautoa	harbor; incubate; harbour; brood; hatch
inlikamo	in-li-ka-mo	lakka	varnish; lacquer
inlipiik	in-li-piik	lävistää	pierce; punch
inlireek	in-li-reek	puhkaista	broach; perforate; pierce
inlumtuu	in-lum-tuu	rämpiä lumessa	trudge in the snow
innöeeva	in-nö-ee-va	endogeeninen; sisäsyntyinen	endogenic; endogenous; inborn
inolufli	in-o-luf-li	ontosti	hollowly
inolufva	in-o-luf-va	ontto	hollow
inolurik	in-o-lu-rik	sisällysluettelo	table of contents
inosidla	in-o-sid-la	sisäpuolella	inside
inosidva	in-o-sid-va	sisäpuolinen	interior; internal
inosolva	in-o-sol-va	solunsisäinen	intracellular
inotilsi	in-o-til-si	sisätilat	interiors
inoyltal	in-o-yl-tal	sisäkatto; laipio; katto	ceiling
inpiirte	in-piir-te	sisennys	indent; indentation
inpirkuk	in-pir-kuk	teriö	corolla
inseerjo	in-seer-jo	lakeija	footman; lackey; flunkey
intianjo	intian-jo	intiaani	Native American
intolpaa	in-tol-paa	sisustaa	fit up; furnish
intu ves	in-tu ves	astiaan	into the dish
intu vom	in-tu vom	nesteeseen	into the liquid
intukada	in-tu-ka-da	endoskopia	endoscopy
intukavö	in-tu-ka-vö	endoskooppi	endoscope
intumiva	in-tu-mi-va	mieleenpainuva	memorable
intupasi	in-tu-pa-si	tulot	inputs
intupavö	in-tu-pa-vö	syöttölaite	input device
intuponö	in-tu-po-nö	voimaantulo	inception; coming into force
ipautkaa	ip-aut-kaa	pilkistää; pilkottaa; häämöttää	break through; glimmer; loom; peep; shimmer; turn up
ipbajnos	ip-ba-j-nos	pikkusisko	little sister
ipbolret	ip-bol-ret	äkämä	boil; furuncle; gall
ipdaevsi	ip-da-ev-si	pikkuaivot	cerebellum
ipdaksif	ip-dak-sif	ankanpoikanen	duckling
ipeloojo	ip-e-loo-jo	asukki	lodger
ipfrogpe	ip-frog-pe	sammakonpoikanen	tadpole
ipgoutpe	ip-gout-pe	kili; vohla	young goat; kid
ipharvat	ip-har-vat	pikkuhousut	panties
iphirvpe	ip-hirv-pe	vasa	calf; fawn
iphojova	ip-ho-jo-va	kääpiömäinen	dwarfish
iphouhöö	ip-ho-u-höö	tuhista	sniffle
iphuukva	ip-huuk-va	käppyrä	curl
iphyljpe	ip-hy-lj-pe	kuutti	ringed seal young
ipkalvao	ip-kal-va-o	viileys	coolness; cool
ipkotsif	ip-kot-sif	kananpoika; tipu	chick; chicken; biddy
ipkuomol	ip-kuo-mol	töyssy	hump
ipleives	ip-lei-ves	asetti	plate
ipliskpe	ip-lisk-pe	sisilisko	lizard
iplooden	ip-lood-en	ladattu	loaded
iploodte	ip-lood-te	lataaminen; lataus; panostus	charge; charging
iplopasi	ip-lo-pa-si	asetukset	configuration; options; settings
ipmaapen	ip-maap-en	kaiverrettu	engraved; inscribed
ipmaapjo	ip-maap-jo	kaivertaja	engraver
ipmaapto	ip-maap-to	kaiverrus	engraving
ipmaapvo	ip-maap-vo	kaiverrin	burin
ipmilkpe	ip-milk-pe	vasikka	calf
ipmämaap	ip-mäm-aap	adoptoida	adopt
ipmämvao	ip-mäm-va-o	lapsellisuus; naiivius	childishness; naivety
ipmäpope	ip-mä-po-pe	orivarsa	colt
ippiiren	ip-piir-en	pienennetty	reduced
ippiirte	ip-piir-te	pienennös	reduction
ippopeva	ip-po-pe-va	varsamainen	coltish
ippoulpa	ip-poul-pa	paalutus	palisade
ippösapö	ip-pö-sa-pö	määräysvalta	authority; disposal
ipraumol	ip-rau-mol	asteroidi	asteroid
iprifajo	ip-ri-fa-jo	kitupiikki; saituri	tightwad; cheapskate; meanie; miser; niggard; pinchpenny; scrooge; skinflint
iprifava	ip-ri-fa-va	kitsas; pihi; saita	stingy; penurious; parsimonious; niggardly; miserly; grudging; avaricious; cheese-paring
iprifääf	ip-ri-fääf	vähittäiskaupata	retail
iprinoli	ip-ri-no-li	kipeästi; kiireellisesti; kiireesti	hastily; quickly; urgently
iprinote	ip-ri-no-te	säpinä	action; scramble
iprinova	ip-ri-no-va	kiireinen	busy; engaged; occupied
iprirova	ip-ri-ro-va	vähäarvoinen	of little value
ipristli	ip-ri-st-li	vähiten	fewest; least
ipriteli	ip-ri-te-li	laiskasti	lazily
ipritepe	ip-ri-te-pe	laiskiainen	sloth
ipriteva	ip-ri-te-va	laiska	indolent; work-shy; slugger; sluggard; lazy; slothful
iproboks	ip-ro-boks	lipas	chest
ipröhpee	ip-röh-pee	porsia	farrow
ipsihaar	ip-si-haar	klusteroida	cluster
ipsiheör	ip-si-heör	nukka	fluff; lint
ipsiraap	ip-si-raap	rapsutella	rub; scratch; crunch
iptaatte	ip-taat-te	sipaisu	light touch
iptarkli	ip-tark-li	pikkutarkasti	meticulously
iptarkva	ip-tark-va	pikkutarkka; pedantti; pedanttinen	punctilious; meticulous; pedant; pedantic; persnickety
iptaunlo	ip-taun-lo	kauppala; pikkukaupunki	borough; small town; smalltown
iptolcel	ip-tol-ce-l	mökkikylä	cottage village
iptoolen	ip-tool-en	majoittunut	accommodated
iptoolte	ip-tool-te	majoittuminen	accommodation
ipurbiit	ip-ur-biit	nakertaa	chip away; gnaw
ipva tol	ip-va tol	pientalo	small house
ipvamhom	ip-vam-hom	auer; utu	haze; mist
ipvammol	ip-vam-mol	luoto; saareke	small island; rocky islet; reef; islet; crag; island
ipvapope	ip-va-po-pe	poni	pony
ipviiljo	ip-viil-jo	pienviljelijä	small farmer; smallholder
ipviltol	ip-vil-tol	torppa	croft
ipvislvo	ip-visl-vo	pikkuhuilu	fife; piccolo
ipvolfpe	ip-volf-pe	sudenpentu	cub; wolf-cub
ipvoltri	ip-volt-ri	pienjännite	low voltage
ipyyldim	ip-yyl-dim	kohoreuna	raised edge
irfaapen	irf-aap-en	vangittu	captive; captured; imprisoned; incarcerated
irfaapli	irf-aap-li	vankina	captive
irfaapva	irf-aap-va	vangitseva	arresting; captivating
irflosta	irf-lo-sta	vankeus	captivity; detention; imprisonment
irftösta	irf-tö-sta	orjuus	servitude; slavery; bondage
isahfisä	is-ah-fi-sä	älähdys	yelp
isautkaa	is-aut-kaa	pilkahtaa	peep out; twinkle
isbiitte	is-biit-te	puraisu	bite
isbithöö	is-bit-höö	kirskahtaa	creak
isevhoom	is-ev-hoom	hengähtää; henkäistä	take a breath; blow out; breathe
isgnooen	is-gnoo-en	yksinkertaistettu	simplified; simplistic
isgnopir	is-gno-pir	yksinkertaisempi	simpler
isgnovao	is-gno-va-o	yksinkertaisuus	simple mindedness; simpleness; simplicity
ishidtuu	is-hid-tuu	pujahtaa	creep; slip
ishörhöö	is-hör-höö	hörähtää	guffaw
isinisaa	is-ini-saa	inahtaa; ynähtää	peep; whine
isiptaat	is-ip-taat	hipaista	brush
isisvijo	is-is-vi-jo	erakko	hermit; hermitage; hermitian; loner; recluse
iskaevjo	is-ka-ev-jo	kyklooppi	cyclops
iskiakaa	is-kia-kaa	kurkata	peep
iskilhöö	is-kil-höö	kilahtaa	ring
iskutfii	is-kut-fii	vihlaista	pierce; stab; cut
islarauu	is-la-rauu	vierähtää	pass
islirtee	is-lir-tee	tekaista	fake
islivote	is-li-vo-te	synteesi	synthesis
ismaspoo	is-mas-poo	jämähtää	freeze up
isneisli	is-ne-is-li	yksitellen	individually; one at a time; one by one
isnohcuu	is-noh-cuu	tölväistä	snub
isnoliva	is-no-li-va	kertaluonteinen	one-off
isnoptuu	is-nop-tuu	pyrähtää	sprint
isofhojo	is-of-ho-jo	yksityishenkilö	private person
isonghöö	is-ong-höö	voihkaista	groan
isopheuu	is-op-heuu	horjahtaa	overbalance; reel; stumble
ispaveva	is-pa-ve-va	käsipuoli	one-armed
ispoheii	is-po-heii	paiskauttaa	slap
ispoheuu	is-po-heuu	järkähtää	budge
ispotäär	is-po-täär	tärähtää	shake
ispöliva	is-pö-li-va	yksinvaltainen	autocratic; dictatorial; absolutistic
israapte	is-raap-te	raapaisu	scratch
israktee	is-rak-tee	pelästyttää	terrify; frighten; scare; shock; startle
isrelili	is-re-li-li	yhdenmukaisesti	uniformly
isreliva	is-re-li-va	yhdenmukainen	consistent with; similar; uniform
issadlyy	is-sad-lyy	lässähtää	fall flat
issaliiv	is-saliiv	sylkäistä	spit
issidvao	is-sid-va-o	yksipuolisuus	bias; one sidedness
issmokut	is-smok-ut	tuprahdus	puff
issuhhöö	is-suh-höö	suhahtaa	hiss; whoosh
isterauu	is-te-rauu	pyöräyttää	spin
istikaag	is-tik-aag	nytkähtää	jerk
isurreek	is-ur-reek	repäistä	tear
isvaloli	is-va-lo-li	ensisijaisesti	in the first instance; primarily
isvalova	is-va-lo-va	ensisijainen	primary
isvamuut	is-va-muut	pulpahtaa	well up
isvana a	is-va-na a	ensinnäkin	firstly; in the first place; first of all
isvapave	is-va-pa-ve	ensikäden	firsthand
isvarova	is-va-ro-va	ensiarvoinen	paramount; primary
isvatöto	is-va-tö-to	esikoisteos	first work
isveemte	is-veem-te	huikka; kulaus; ryyppy; siemaus	noggin; tipple; swig; sip; gulp; drink; draught; dram; binge; snifter
isvihösa	is-vi-hö-sa	yksinlaulu	solo singing
isviofva	is-vi-of-va	yksinomainen	exclusive
isvisasa	is-vi-sa-sa	monologi; yksinpuhelu; jupina	monolog; monologue; mumble; soliloquy
isvomhuu	is-vom-huu	pirskahtaa; roiskahtaa	splash; spurt
isvosova	is-vo-so-va	yksikäsitteinen	unambiguous; unequivocal
isylvaam	is-yl-vaam	tulvahtaa	gush
isöblisa	is-öb-li-sa	lausahdus	utterance
it öb it	it öb it	se siitä	that's it
itsi aap	it-si aap	he ottavat	they are taking
itsi gaa	it-si gaa	ne vievät	they take; they are taking
ivpaanen	iv-paa-nen	katkaisemassa	severing
ivtuveli	iv-tu-ve-li	hajareisin	astraddle; astride; scatterbrained; with legs spread
ja uuten	ja uut-en	tulit	you came
ja vokaa	ja vo-kaa	näet	you see
jaguarpe	jaguar-pe	jaguaari	jaguar
jakrovat	jak-ro-vat	jakkupuku	jacket suit
jasi aut	ja-si aut	itseänne; te itse	yourself; yourselves
jasi oof	ja-si oof	teillä on	you have
jasminep	jasmin-ep	jasmiini	jasmin
jatsrohö	jats-ro-hö	jatsi; jazz	jazz
jea itli	jea it-li	jopa niin	even so
jelredva	jel-red-va	kellanpunainen	gingery
joosejva	joos-ej-va	joustamaton	inelastic; inflexible
jopogavo	jo-po-ga-vo	paarit	stretcher
joporili	jo-po-ri-li	tarmokkaasti	vigorously
joporiva	jo-po-ri-va	tarmokas	energetic
joridäli	jo-ri-dä-li	demografisesti	demographically
joridäva	jo-ri-dä-va	demografinen	demographic
josifsaa	jo-sif-saa	luritella	warble
jospaaen	jos-paa-en	jousitettu	sprung
jossutvo	jos-sut-vo	jousipyssy	crossbow
julnotan	jul-no-tan	joulupäivä	Christmas day
jursilif	jur-si-lif	naatti	top
juryraap	jur-yr-aap	juuria	extirpate
juskeeli	jus-kee-li	huolellisesti	carefully
juskeeva	jus-kee-va	huolellinen	elaborate; measured; meticulous; providentially; deliberate; circumspect; careful; providential; detailed
juspaate	jus-paa-te	kalibrointi; säätäminen	calibration; enactment
jussaate	jus-saa-te	täsmennys	clarification
jutfibmo	jut-fib-mo	juutti	jute
jutustol	jut-us-tol	synagoga	synagogue
jyrsaava	jyr-saa-va	jyrkkäsanainen	sharply worded
jäncessi	jä-n-ce-s-si	vuosisadat	centuries
jänkirto	jä-n-kir-to	vuosikirja	annual; yearbook
jänriien	jä-n-rii-en	ikääntynyt	aged
jänrilim	jä-n-ri-lim	ikäraja	age-limit
-jänriva	jä-n-ri-va	-vuotias	years old
jänrovfa	jä-n-rov-fa	vuosimaksu	annual fee
järohamä	jä-ro-ha-mä	herttua	duke
järohaäm	jä-ro-ha-äm	herttuatar	duchess
järpaiil	jär-paiil	pinota	stack
järsiolö	jär-si-o-lö	organisaatio	organization
järvisio	jär-vi-si-o	blokki	bloc
jätepvul	jät-ep-vul	trasseli	cotton waste
jätleilo	jät-lei-lo	kaatopaikka	dump; dumping-ground; landfill
jätstake	jät-sta-ke	jätehuolto	waste disposal
jäussajo	jä-us-sa-jo	arkkipiispa; metropoliitta	archbishop; metropolitan; most Reverand
jää yvru	jää yv-ru	jäädä jumiin	get stuck
kaa detu	kaa de-tu	katsoa perään	look after
kaaptava	ka-ap-ta-va	kerättävä	collectible
kaböönva	ka-böön-va	liekehtivä	flamboyant
kadesasa	ka-de-sa-sa	takapuhe	backbiting
kadetuve	ka-de-tu-ve	takajalka	hind leg
kadsipjo	kad-sip-jo	vartiosotilas	sentinel
kadtolik	kad-tol-ik	vartiotupa	guardroom; guardhouse
kaerövao	ka-er-ö-va-o	kummallisuus	oddity; weirdness
kaevheör	ka-ev-heör	ripsi	cilium; eyelash; lash
kaevriva	ka-ev-ri-va	silmämääräinen	visual
kaevvoom	ka-ev-voom	kyynelehtiä	water
kaforaaf	ka-for-aaf	kärkkyä	watch out for
kahaculi	ka-ha-cu-li	kohteliaasti	courteously; politely
