English150Char	Finnish150Char	VosaTevos150Char
What are you like when you participate or do not participate in moving this site forward 	Millainen olet, kun osallistut tai et osallistu tämän sivuston eteenpäin viemiseen 	Kova ja oo, na ikaap taj ej ikaap intu tä sisid eddir gaate 
with your information, thoughts, ideas, advice, or links in descriptive sentences?	tiedollasi, ajatuksillasi, ideoillasi, neuvoillasi tai linkeilläsi kuvaavin lausein?	vy jaof da, soososi, ideasi, lisasi taj rutupasi kasaava lusasi?
How do you do or act?	Miten teet tai toimit?	Koli ja tee taj otee?
Stimuli for research, thinking, development, and idea generation.	Virikkeitä tutkimiseen, ajatteluun, kehittelyyn, ideointiin.	Foryssi for dakaate, soote, sideevte, ideaate.
Read the following list with your mind, it will stimulate your thinking and attention.	Lue ajatuksella seuraava luettelo, se virittää ajatteluasi, huomiointikykyäsi.	Riik ja vy sooso deva lurik, it höjuus jaof soote, obtaarkvote.
Like a chain reaction, ideas, thoughts, and actions begin to emerge if we get others involved.	Kuin ketjureaktio alkaa syntyä ideoita, ajatuksia, tekemisiä, jos saadaan vielä muitakin mukaan.	Li siviringysok nöö nöee ideasi, soososi, teetesi, if aafta pirnen tuasi ali tuvi.
Do I lead to positive action in a practical, inventive way? Do I inspire or discourage?	Johdanko asiallisesti, kekseliäästi myönteiseen toimintaan, innoitanko vai saatanko vastahakoiseksi?	Diirko aj cusoli, ideavoli intu jeva oteete, ysraako aj taj vigaako aj mu ögofrava?
Words have power, words have influence, words can have an impact.	Sanoilla on mahtia, sanat vaikuttavat, sanoilla voi vaikuttaa.	Sasi oof pövovao, sasi yys, vy sasi voo yys.
Words are used to convey information.	Sanojen avulla välittyy tieto.	Vy sasi aututtupaa da.
Selected from the most common words in the Finnish language and supplemented if expressions from the basic words have come to mind.	Suomen kielen yleisimmistä sanoista poimittu ja täydennetty, jos on juolahtanut mieleen ilmaisuja perussanoista.	Ut finvos tihnast sasi utkaapen a fulpiiren, if oo saduuten intu mi kautsasi öb bessasi.
Admittedly, the words are in a jumbled order, but even painting can be chaotic and it needs to be structured somehow.	Tosin sanat ovat sekavassa järjestyksessä, mutta niinhän maalimakin voi olla kaoottinen ja se pitää jäsentää kuitenkin jotenkin.	Rilsyli sasi oo in räjdali jär, mut itli a ali köl voo oo piräjva a it piit vejäär amut öli.
When solving problems, we may encounter chaos that needs to be understood and resolved.	Ongelmia ratkaistessa voimme kohdata kaaoksia, jotka pitää ymmärtää ja selvittää.	Na ongsi gnoo ajsi voo obtuu piräjsi, kosi piit dakavoo a sokliraap.
The second left column of the following table does not always contain positive expressions, 	Seuraavan taulukon toiseksi vasemmassa sarakkeessa ei ole aina positiiviset 	In deva sikvaäng duva lev lyjär ej oo kina ylnulva 
nor does the right column always contain negative expressions.	eikä oikeassa sarakkeessa aina negatiiviset ilmaisut.	a ej in vel lyjär kina alnulva kautsasi.
You can edit the table to make it better and remove and add expressions, arrange it in a better order.	Voit muokata taulukkoa paremmaksi ja poistaa ja lisätä ilmaisuja, järjestää sitä parempaan järjestykseen.	Ja voo kaumuu sikvaäng mu hapir a yraap a intupaa kautsasi, jäär it intu hapir jär.
Does this make any sense or is it so clever that it's hard to understand?	Onko tällä mitään järkeä vai onko se niin viisasta, ettei sitä ymmärrä?	Oofko tä ejö vis taj ooko it itli visva, syt ej it dakavoo?
Emotions can also be processed and these can evoke feelings as well as thoughts.	Tunteitakin voi käsitellä ja nämä voivat herättää tunteita kuten ajatuksiakin.	Ali fisi voota cutee a täsi meej teönnuuk fisi li soososi.
It is good to learn how to deal with negative emotions and utilize positive emotions.	On hyvä oppia käsittelemään negatiiviset tunteet ja hyödyntämään positiivisia tunteita.	It oo hava daav cutee alnulva fisi a tegöroo ylnulva fisi.
A good state of mind and diversity of thoughts help with inventive and active actions.	Hyvä mielentila ja ajatusten monimuotoisuus auttavat kekseliääseen ja aktiiviseen toimintaan.	Hava mista a soososi sikauvao vyy intu ideavova a siteva oteete.
PROBLEMS = O, SOLUTIONS = R	ONGELMIA = O, RATKAISUJA = R	ONGSI = O, GNOSI = G
O Customers don't always know exactly what they need.	O Asiakkaat eivät aina tiedä tarkalleen mitä he tarvitsisivat.	O Sojosi ej kina daa tarkli ko häsi niid.
Automation and rationalization reduce jobs, require a lot of capital, advanced training, and software and hardware development.	O Automaatio ja rationalisointi vähentävät työpaikkoja, vaatii paljon pääomaa, pitkälle vietyä koulutusta ja ohjelmiston ja laitteiden kehittelyä.	O Autte a visvoote riip tölosi, teniid piri päro, lule gaaen padav a siprog a vösi sideevte.
O Fruits are imported from far away, often picked raw and artificially ripened, 	O Hedelmät tuodaan kaukaa, ne usein poimitaan raakoina ja kypsytetään keinotekoisesti, 	O Hedsi aagta ut far, itsi sina utkaapta li ravva a vaarta livoteoli, 
so their nutritional value may not be as good.	näin niiden ravitsemuksellinen arvo ei välttämättä ole niin hyvä.	täli itsiof roeemliva ro ej nidli oo itli hava.
O You get tired and blinded by the beautiful graphics and abundant information.	O Hienoon graafiseen ja runsaaseen tiedontulvaan väsyy ja sokaistuu.	O Intu väkava katova a siri daylvam autporiip a autejvokamuu.
O An idea is only meaningful when it has been implemented in practice and then benefits are derived from it.	O Idea on merkityksellinen vasta sitten, kun se on toteutettu käytännössä ja siitä sitten saadaan hyötyä.	O Idea oo curoliva denen iten, na it oo riltee-en in liote a ob it iten aafta göro.
O People are not enthusiastic about solving problems together, things are not progressing and unemployment cannot be eliminated.	O Ihmiset eivät ole innostuneita yhdessä ratkomaan ongelmia, asiat eivät etene ja työttömyyttä ei saada poistettua.	O Mämsi ej oo autysraaen revi signoo ongsi, sosi ej edtuu a töafejsta ej aaf yraapen.
O There is a lot of information and repetition on the Internet, searching takes a lot of time.	O Internetistä löytyy paljon tietoa ja saman toistoa, hakemisessa menee paljon aikaa.	O Ut vinet autkees piri öbda a re dute, in seekte tuu piri no.
O Self-evident, but in practice, people do not act 	O Itsestään selvyyksiä, mutta kuitenkaan käytännössä ei toimita 	O Autsoklirvaosi, amut in liote ej oteeta 
in such a way that they save in good times and have the means to spend in bad times.	niin että hyvinä aikoina säästettäisiin, että huonoina aikoina olisi vara ottaa säästöistä kulutukseen.	itli syt na hava nosi ropaootaif, syt na ahvova nosi ooif res aap ut ropaosi for teroriipte.
Everything should be entertainment and play, work and study, where do we go?	O Kaikki pitää olla viihdettä ja pelaamista, työkin ja opiskelukin, mihin mennään?	O Ki piit oo nohamio a pleete, ali tö a apdav, kotu tuuta?
O Transportation requires energy and consumes the environment more the longer the transportation distance.	O Kuljetus vaatii energiaa ja kuluttaa ympäristöä sitä enemmän mitä pidempi on kuljetusmatka.	O Gag teniid pori a teroriip raulo it pir ko lupir oo gagvälturi.
O Too much, pushy advertising is annoying and can even drive customers away.	O Liika, tyrkyttävä mainonta ärsyttää, voi jopa karkottaa asiakkaita.	O Ylri, ofratufaava käädte aryys, voo jea yrpatuu sojosi.
O Too much visual information can get boring.	O Liikaan kuvallisen informaatioon voi kyllästyä.	O Intu ylri katoliva obdafa voo autahfulaaf.
O The sound of traffic takes away the peace of nature.	O Liikenteen ääni vie luonnonrauhaa.	O Tusta hö gaa biolopis.
O Agricultural and forestry problems.	O Maa- ja metsätalousongelmat.	O Vil- a pulrostaongsi.
O The market situation changes and fluctuates and tasks can be project-based; 	O Markkinatilanne muuttuu ja heilahtelee ja tehtävät voivat olla projektiluonteisia, 	O Forfävista autmuu a siheuu a teobsi meej oo pitöobliva, 
when the project ends, it may not be replaced by something new that employs as many people.	kun projekti päättyy ei välttämättä uutta yhtä paljon työllistävää tule tilalle.	na pitöob öön ej nidli novva reri piri töfaava uut forsiJ.
O Many websites are filled with ads, they have too many scattered links and things on the same page.	O Monet nettisivut täyttyvät mainoksista, niissä on liian paljon hajanaisia linkkejä ja asiaa samalla sivulla.	O Si vinetsidsi autfuul vi kädtosi, in itsi oo ylrili piri silova rutupasi a so la re sid.
O Can society afford to leave the unemployed unutilized?	O Onko yhteiskunnalla varaa jättää työttömiä hyödyntämättä.	O Oofko visoslo res tejää töafejjosi ejli tegörooen.
O Passive and indifferent, not actively participating in managing common affairs.	O Passiivisia ja välinpitämättömiä, ei osallistuta aktiivisesti yhteisten asioiden hoitoon.	O Ejsiteva a forke-ejva josi, ej ikaap siteli intu viofva sosi hake.
Advanced home automation with robots can also consume more energy and raw materials, and daily exercise that keeps you healthy will be reduced.	O Pitkälle viety kotiautomaatio robotteineen myös voi kuluttaa energiaa ja raaka-aineita enemmän ja terveenä pitävä arkiliikunta jää vähemmälle.	O Lule gaaen balautte vi vöjosi ali voo teroriip pori a ravmosi pir a li terva paoova tetanuuteo jää rippirli.
O Risks exist that may only be revealed over decades.	O Riskit olemassa, jotka vasta voivat paljastua vuosikymmenten kuluessa.	O Risksi oonen, kosi denen meej autkayvaap na jänbassi noriip.
O The amount of information is large, you should be able to extract what you need from it, even in a narrow field there is a huge amount to learn.	O Tiedon määrä on suuri, siitä pitäisi osata poimia tarvittavat, suppealla alallakin on valtavasti opiskeltavaa.	O Da ri oo piva, ob it piitif davoo utkaap niidtava, ali la oipva leiob it oo pipili apdaavtava.
O A scientific hobby is not really possible except by just reading theory, you have to be in university books.	O Tieteen harrastus ei ole oikein mahdollista kuin vain teoriaa lukemalla, pitää olla yliopiston kirjoissa.	O Dä mite ej oo ratli vova li erisli vy omdalio riik, piit oo in yldavlö autkiiren.
O There is a lot of information and ideas, but they are scattered.	O Tietoa ja ideoita on paljon, mutta ne ovat hajanaisia.	O Öbda a ideasi oo piri, mut itsi oo silova.
O Often people imitate others and don't do things on their own.	O Usein ihmiset matkivat muita, eivätkä omasta päästään tee asioita.	O Sina mämsi litee tuasi, a häsi ej ut öfva pä tee sosi.
O New technology requires study, tools with which ideas can be implemented.	O Uusi teknologia vaatii opiskelua, välineitä joilla ideat voidaan toteuttaa.	O Novva tekdä teniid apdav, vosi vy kosi ideasi voota riltee.
O Things that seem difficult are feared, even though they improve 	O Vaikeilta tuntuvia asioita kammotaan, vaikka niissä kehittyy, 	O Ongva livofiiva sosi hircuuta, tajli in itsi autdeev, 
when you put in the effort, and then new technology can seem completely easy to use, even programs that seem difficult to use.	kun paneutuu ja sitten uusi teknologia voi tuntua aivan helppokäyttöiseltä, vaikeakäyttöisiltäkin vaikuttavat ohjelmat.	na dipmiid a iten novva tekdä voo livofii fulli gnoteoova, ali li ongteoova oblikaava progsi.
O Misinvestments result in losses for individuals, companies and society.	O Virhesijoitukset tulevat tappioksi yksityisille, yrityksille ja yhteiskunnalle.	O Sovik roforpasi muu ronivsi tu isofjosi, tralösi a visoslo.
We underestimate our own importance, yet even a small spark of an idea can create many jobs and profitable business.	O Vähätellään omaa merkitystä ja kuitenkin pienikin ideankipinä voi synnyttää paljon työpaikkoja ja kannattavaa liiketoimintaa.	O Alrocuuta öfva curo a amut ali ipva ideabönrae voo tenöee piri tölosi a rogöva fäfote.
O Even one purchase can have a chain reaction-like effect.	O Yhdellä ostoksellakin voi olla ketjureaktiomainen vaikutus.	O Is äfto voo oof siviringysokva ys.
It breaks the vicious circle and provides work and money for spending.	Se poistaa noidankehää ja antaa työtä ja varaa kuluttamiseen.	It yraap ahmägjo larau a faa tö a res for tetoriipte.
O It takes one person an enormous amount of time to develop an advanced product.	O Yhdeltä ihmiseltä menee valtavasti aikaa kehittää jokin pitkälle viety hyödyke.	O Ut is mäm tuu pipili no deev ö lule gaaen göroto.
O Over-enthusiasm for an idea, but when you examine the possibilities of implementing the idea in more detail, 	O Yli-innostus ideasta, mutta kun selvittää tarkemmin idean toteuttamismahdollisuudet, 	O Ylysraate öb idea, mut na sokliraap tarkpirli idea rilteevovaosi, 
you may notice that the idea was not very sensible or marketable.	voi huomata, ettei idea ollutkaan kovin järkevä tai myyvä.	voo satvokaa, syt ej idea ooen a errili visva taj fääva.
O Environmental problems will become increasingly prominent in the future and solutions are needed quickly.	O Ympäristöongelmat korostuvat entistä enemmän tulevaisuudessa ja tarvitaan nopeasti ratkaisuja.	O Raulo-ongsi autyloob ut enva pir na neno a niidta nopli gnosi.
O Even an entrepreneur can do a lot of free work before they start earning an income.	O Yrittäjäkin voi tehdä paljon ilmaista työtä ennen kuin alkaa saada tuloa.	O Ali trajo voo tee piri ejrovriva tö en na nöö aaf utrov.
O A smart robot of the future becomes infected with malware or a glitch and becomes violent, vandalizes places and abuses its user.	O Älykkääseen tulevaisuuden robottiin tulee haittaohjelma tai häiriö ja se muuttuu väkivaltaiseksi, rikkoo paikkoja ja pahoinpitelee käyttäjänsä.	O Intu vovisva neno vöjo uut ögroprogsi taj cuyv a it autmuu popitpöva, ahreek losi a ahlisipaoo itof teoojo.
In brainstorming, you can deviate from the norm and find new, strange ideas, even making yourself look ridiculous.	R Aivoriihessä voidaan poiketa tavanomaisuudestakin ja löytää uusia omituisia ajatuksia saattamalla itsensä vaikka naurunalaiseksi.	G In ideahäp voota ejretuu ut resiliovao a kees novva auterva soososi vy vigaa aut tajli mu heheealva.
R You also need to learn to manage your time, when you do a lot, do a lot of hobbies, find the fastest and best ways to work, 	R Ajankäyttöäkin pitää oppia hallitsemaan, kun tekee paljon, harrastaa paljon, löytää nopeimmat ja parhaimmat työskentelytavat, 	G Ali noteo piit daav pötee, na tee piri, mitee piri, kees nopst a hast sitööliosi, 
this will save you time in the future, even if you have spent time reading and learning the instructions.	näin säästyy jatkossa aikaa, vaikka ohjeiden lukemiseen ja opetteluun on mennytkin aikaa.	täli autropaoo in pirtuo no, tajli intu lidasi riikte a siapdaavte oo tuuen no.
R Thinking is developmental, writing is developmental.	R Ajattelu on kehittävää, kirjoittaminen on kehittävää.	G Soote oo deevva, kiirte oo deevva.
R Increasing activity and knowledge to manage common issues.	R Aktiivisuuden ja tietämyksen lisääminen yhteisten asioiden hoitamiseksi.	G Sitevao a öbvoda pirpa for viofva sosi hakee.
R Activity: study, generate ideas, acquire information, have good social relationships and join networks.	R Aktiivisuus: opiskella, ideoida, hankkia tietoa, saada hyviä sosiaalisia suhteita ja liittyä verkostoihin.	G Sitevao: apdaav, ideaa, foraaf öbda, aaf hava sosva vicusi a rutuu intu sinetsi.
R At first, you don't always know what the product will end up like and you have to do a lot of experiments and demos of different options.	R Aluksi ei aina tiedä, millainen lopulta tuotteesta tulee ja joutuu tekemään paljon kokeiluja ja demoja eri vaihtoehdoista.	G Nömu ej kina daa, kova önutli to muu a autpiit tee piri votraatesi a edtukasi ob er tajifosi.
R First, you could do a demo and see if customers are enthusiastic about the product, and only then start developing it.	R Aluksi voisi tehdä demon ja kartoittaa sitä, ovatko asiakkaat innostuneita tuotteesta ja vasta sitten ruveta kehittämään.	G Nömu vooif tee edtuka a kalotoo it, ooko sojosi autysraaen öb to a denen iten nötee deev.
Professional skills need to be developed constantly and you need to stay up to date, as technology and methods are developing rapidly.	R Ammattitaitoa joutuu kehittämään koko ajan ja on pysyttävä ajan tasalla, sillä teknologia ja menetelmät kehittyvät vauhdilla.	G Votölivote autpiit deev kio no a piit autpaoo talnali, syfor tekdä a culitesi autdeev vy nopri.
R It gives you inspiration when you see what is being done elsewhere, what others have accomplished.	R Antaa virikkeitä, kun katsoo mitä muualla tehdään, mitä muut ovat saaneet aikaiseksi.	G It faa foryssi, na kaa ko tuala teeta, ko tuasi oo tonoaafen.
R Values, ethics in job creation and retention.	R Arvot, etiikka työpaikkojen lisäämisessä ja säilyttämisessä.	G Rosi, rattarda in tölosi pirpa a paloote.
R Customers must be helped to find the products and services they want 	R Asiakkaita pitää auttaa löytämään haluamansa tuotteet ja palvelut 	G Sojosi piitta vyy kees häsiof ofraaen tosi a seertesi 
and they must be given incentives for new goods and new uses and applications.	ja heille pitää antaa virikkeitä uusiin hyödykkeisiin ja uusiin käyttötapoihin ja -kohteisiin.	a for häsi piit faa foryssi tu novva görotosi a novva teoliosi a -obösi.
R Automation and rationalization reduce work and if it increases income, that income should be used to create other work, 	R Automaatio ja rationalisointi vähentävät työtä ja jos se lisää tuloja, niillä tuloilla pitäisi luoda jotakin muuta työtä, 	G Autte a visvoote riip tö a if it pirpaa utrovsi, vy itsi utrovsi piitif novtee ö tua tö, 
otherwise society will inevitably end up with no work for everyone.	muuten yhteiskunta menee väistämättä siihen, ettei kaikilla ole työtä.	tuali visoslo tuu oburtuejli tuit, syt ej ki oof tö.
R Automation is suitable for high-quality standard products, mass production, 	R Automaatio soveltuu tarkkalaatuisiin standardituotteisiin, massatuotantoon, 	G Autte autforsoop tarkvaova sirepipri tosi, mastoote, 
where precision mechanical devices are more accurate than humans, and humans cannot always do what they want.	jossa hienomekaaniset laitteet ovat tarkempia kuin ihminen, eikä ihminen voi aina edes tehdä.	koin väkamekanva vösi oo tarkpir il mäm, a ej mäm voo kina ipripstli tee.
R The benefits of automation should be taxed more heavily to cover increasing social spending.	R Automaatiosta saatavaa hyötyä verotettava kovemmin, että voidaan kattaa kasvavat sosiaalimenot.	G Ut autte aaftava göro piit pöroov kampir, syt voota kioof piirva sosrovripsi.
An automatic intelligent idea generator that combines things in new ways, 	R Automaattinen älykäs ideageneraattori, joka yhdistelee asioita uudella tavalla, 	G Autteva vovisva ideadevvö, ko sivipaa sosi vy novva lio, 
but their rationality will have to be examined by humans, unless artificial intelligence goes so far that it can even assess rationality.	mutta niiden järkevyyden joutuu ihmiset tutkimaan, ellei tekoäly mene niin pitkälle, että se voi arvioida jo järkevyydenkin.	mut itsiof visvao autpiit mämsi dakaa, ifej tevis tuu itli lule, syt it voo rokaa ripnen ali visvao.
R Bio-based and biodegradable process chemicals, fillers and binders.	R Biopohjaiset ja biohajoavat prosessikemikaalit, täyte- ja sideaineet.	G Bioalova a bioiksituuva tötuo kemmosi, fulto- a virumosi.
R There is a lot to research and develop in life sciences -> improving health, solving environmental problems, etc.	R Biotieteissä on paljon tutkittavaa ja kehiteltävää -> terveyden parantaminen, ympäristöongelmien ratkaisu jne.	G In biodäsi oo piri dakaatava a sideevtava -> tervao hapiirte, raulo-ongsi gno aid.
R We proceed both from the bottom up and from the top down.	R Edetään sekä alhaalta ylöspäin, että ylhäältä alaspäin.	G Edtuuta duvio lyel yldir, a ylel lydir.
R It is cheaper to mass-produce elements in a factory, but 3D has become available, which should make individual small-scale production profitable.	R On edullista tehdä elementit tehtaassa sarjatuotantona, mutta on tullut 3D, mikä mahdollistanee yksilöllisen pientuotannonkin kannattavasti.	G It oo edrova tee ikobsi in tolö li seritoote, mut it oo uuten 3D, ko meej vovaa ali isjova iptoote rogöli.
R We do not do useless work, but work that is beneficial.	R Ei teetetä turhaa työtä, vaan työtä, josta on hyötyä.	G Ej tuateeta nidejva tö, mut tö, kout oo göro.
R Do not duplicate work or take away from others.	R Ei tehdä päällekkäisiä töitä tai viedä muilta leipää.	G Ej teeta relava tösi taj gaata ut tuasi bekem.
R A product developer does not always need to be highly educated.	R Ei tuotekehittelijän tarvitse olla aina pitkälle kouluttautunut.	G Ej tosideevjo niid oo kina lule autpadaaven.
R You don't necessarily need to read and learn a lot of theories, 	R Ei välttämättä tarvitse lukea ja opetella paljon teorioita, 	G Ej nidli niid riik a siapdaav piri omdaliosi, 
just start thinking practically and independently with common sense about what you're going to do.	kun vaan rupeaa käytännöllisesti ajattelemaan terveellä talonpoikaisjärjellä itsenäisesti mitä rupeaa tekemään.	na mut nötee liotevoli soo vy terva viltolmävis autnali ko nötee tee.
You shouldn't rely on having completed your degrees well and received good grades in aptitude tests, 	R Eipä pidä luottaa siihen, että on suorittanut hyvin tutkintoja ja saanut soveltuvuustesteissä hyviä arvosteluja, 	G Ej a piit uscuu tuit, syt oo tuöntee-en hali tradavsi a aafen in forsopvao votrasi hava obrosasi, 
but you should continue to develop yourself throughout your life and use your skills to achieve results.	vaan itsensä kehittämistä on jatkettava läpi koko elämän ja käytettävä osaamistaan tulosten aikaansaamiseksi.	mut autof deevte piit lupiir inli kio eo a teoo davoote mu utrosi tonoaaf.
R There would be more money for pensions if everyone who could afford it were in productive work.	R Eläkkeisiin olisi enemmän varaa, jos kaikki kynnelle kykenevät olisivat tuottavassa työssä.	G Intu unrovsi ooif pir res, if ki haforli voteeva ooif in toova tö.
R Life in its diversity is varied, rich, and never boring.	R Elämä monimuotoisuudessaan on vaihtelevaa, rikasta, ei pääse tylsistymään.	G Eo in itof sikauvao oo siermuuva, ritsva, ej aftuu öbahmiien.
R I don't think Finns are short on ideas.	R En usko, että suomalaiset ovat ideaköyhiä.	G Aj ej uus, syt finjosi oo ideastirva.
R Continuous use and reading of English are essential in today's internationalized world.	R Englannin kielen jatkuva käyttö ja lukeminen ovat välttämättömiä nykyisessä kansainvälistyneessä maailmassa.	G Eng vos pirtuuva teo a riikte oo nidva in nenva authyjsiväälen köl.
R Several significant products and services in terms of problem solutions will be presented and sold.	R Esittelyyn ja myyntiin mukaan useita merkittäviä tuotteita ja palveluja ongelmien ratkaisujen kannalta.	G Tuvi siedtuka a fääte si curova tosi a seertesi miculi ongsi gnosi.
R Directory of products and services for the broadest possible diverse view of solutions to problems.	R Hakemistoon tuotteita ja palveluja mahdollisimman laajaksi monipuoliseksi näkemykseksi ongelmien ratkaisuihin.	G Intu sisek tosi a seertesi mu vostli leileiva sisidva kamicu intu ongsi gnosi.
When fine-tuned, resource efficiency can save energy and raw materials, especially 	R Hienosäädettynä resurssitehokkuus voi säästää energiaa ja raaka-ainetta varsinkin, 	G Na hiejuspaaen resysrivao voo ropaoo pori a ravmo erobli, 
if recycled and renewable natural materials are used as raw materials.	jos käytetään kierrätysmateriaaleja ja uusiutuvia luonnonmateriaaleja raaka-aineena.	if teoota torautomosi a autnoovva biotomosi li ravmo.
R Furniture design could combine practicality, humor, and art.	R Huonekalujen muotoilussa voisi yhdistää käytännöllisyyden, huumorin ja taiteen.	G In tolossi kauute vooif tevii liotevovao, hehsa a kav.
R By jumping into action and acquiring information, more realistically implementable ideas are created at the grassroots level, 	R Hyppäämällä tekemiseen ja tiedon hankintaan realistisesti toteutettavia ideoita syntyy enemmän ruohonjuuritasollakin, 	G Vy yppyy intu teete a da foraafte rilideli rilteevova ideasi nöee pir ali in upjurtal, 
rather than just on paper and potentially unrealistic ones.	eikä vain paperilla ja mahdollisesti epärealistisia.	a ej erisli la papr a voli ejrilideva.
R Well-structured, coordinated and organized solutions help to manage the jungle of business life.	R Hyvin jäsennellyt, koordinoidut ja organisoidut ratkaisut auttavat hallitsemaan elinkeinoelämän viidakkoa.	G Hali sivejäären, visidjäären a sijäären gnosi vyy livotee eolivote-eo pitihpul.
R There is plenty of room for development in welfare services.	R Hyvinvointipalveluissa riittää kehittämistä.	G In halivooseertesi hanidrii deevte.
R Good classification and structuring so that information is better found and managed.	R Hyvä luokittelu ja jäsentely, että tiedot löydetään paremmin ja ne hallitaan paremmin.	G Hava paersioote a sivejäärte, syt dasi keesta hapirli a itsi livoteeta hapirli.
R Good division of labor.	R Hyvä työnjako.	G Hava töiikte.
R It's good that investments are also being made in developing countries, 	R Hyvä, että kehitysmaihinkin sijoitetaan, 	G Hava, syt ali intu devhylsi roforpaata, 
so that they can also afford to buy products made in Finland and the company gets markets abroad.	että niillä olisi varaa myös ostaa Suomessa valmistettuja tuotteita ja yritys saa markkinoita ulkomailta.	syt itsi ooif res ali ääf in Finlo tooen tosi a tralö aaf forfäsi el nihylsi.
Good relationships both at home and at work, and the mind is free from worries and burdens, 	R Hyvät ihmissuhteet niin kotona kuin työssäkin ja mielessä ei paina huolia, taakkoja 	G Hava mämvicusi itli in bal li ali in tö a in mi ej polyy mikesi, hevgasi 
and being healthy helps you cope at work and concentrate well on your work.	ja on terve, auttavat jaksamaan työssä, keskittymään hyvin työntekoon.	a oo terva, vyy povoo in tö, autmiid hali intu töte.
R The idea can be simple.	R Idea voi olla yksinkertainenkin.	G Idea voo oo ali isgnova.
R Ideas start to flow when you start thinking and discussing.	R Ideat rupeavat rönsyilemään, kun alkaa miettiä ja keskustella.	G ideasi nöö simolephaar, na nöö tesoo a visasaa.
R There are many idea generation and product development methods and there are plenty of instructions online.	R Ideointi- ja tuotekehitysmenetelmiä on paljon ja niistä löytyy ohjeita netistä runsaasti.	G Ideaate a todevculitesi oo piri a ob itsi autkees lidasi ut vinet siri.
R Art that promotes ideation.	R Ideointia edistävä taide.	G Ideaate vyroteeva kav.
R There is no need to be afraid to bring ideas to light; the details of their implementation are trade secrets 	R Ideoita ei tarvitse pelätä tuoda julki, yksityiskohdat niiden toteuttamisessa ovat ammattisalaisuuksia, 	G Ideasi ej niid raak aag tudih, tarkiplosi in itsiof rilteete oo votödahidvaosi, 
so that competitors do not benefit from the development work that required a lot of resources.	etteivät kilpailijat hyödy paljon resursseja vaatineista kehitystyöstä.	syt ej vintraajosi göroo piri ob resrosi teniiden devtö.
R Ideas and job opportunities are found by mapping problems and finding solutions.	R Ideoita ja työtilaisuuksia löytyy kartoittamalla ongelmia ja etsimällä niihin ratkaisuja.	G Ideasi a tövonosi autkees vy kalotoo ongsi a seek intu itsi gnosi.
R Ideas can indeed be found in chaos, by chance, by deviating from familiar ways, 	R Ideoita voidaan tosin löytää kaaoksessa, sattumalta, poikkeamalla totutuista tavoista, 	G Ideasi voota rilsyli kees in piräj, satli, vy ejretuu ut liafvooenta liosi, 
but also in a purposeful, very systematic, organized, structured way.	mutta myös tarkoitushakuisesti hyvin järjestelmällisesti, järjestyneesti, jäsentyneesti.	mut ali obroseekli hali lijärli, autjäärenli, autvejäärenli.
R Ideas can be taken forward through further development.	R Ideoita voidaan viedä eteenpäin jatkokehittelemällä.	G Ideasi voota gaa eddir vy pirpadeevte.
People need mental activities, brain training and physical exercise to stay fit.	R Ihminen tarvitsee henkisiä harrastuksia, aivovoimistelua ja fyysistä liikuntaa pysyäkseen kunnossa.	G Mäm niid hosova mitesi, daevpou a bodevva uuteo syt hä autpaoo hastana.
R The more knowledge and experience a person acquires, the greater the opportunity they have to create new combinations 	R Ihminenkin mitä enemmän se hankkii tietoa ja kokemusta, sitä suurempi mahdollisuus sillä on luoda uusia yhdistelmiä 	G Ali mäm ko pir it foraaf öbda a davofi, it pipir vovao hä oof novtee novva vipasi 
and ideas, and the more inspiration they have to create new things and improve the old.	ja ideoita ja sitä enemmän, sillä on inspiraatiota luoda uutta ja parannella vanhaa.	a ideasi a it pir, hä oof foryyste novtee novva a sihapiir vonva.
R Information should be short, clear and concise at a higher level, 	R Informaation tulisi olla lyhyt, selkeä ja ytimekäs ylemmällä tasolla, 	G Obdafa piitif oo ulva, soklirva a ydinva la yllapir tal, 
from which you can then go to more detailed information at a lower level if necessary.	josta voidaan sitten mennä tarkempiin tietoihin alemmalle tasolle tarvittaessa.	kout voota iten tuu tarkpir öbdasi le lypir tal na niidta.
R Search the Internet to find business ideas.	R Internetistä hakemalla löytää liikeideoita.	G Ut vinet seek kees fäfloideasi.
R Intuition, self-understanding, and reasoning skills develop when you learn to use even difficult-to-learn items.	R Intuitio, itsestään ymmärtämiskyky, päättelykyky kehittyy, kun opettelee käyttämään vaikeastikin opittavia kohteita.	G Autdafio, autteli dakavoovote, obdaapvote autdeev, na siapdaav teoo ali ongli daavtava obösi.
R Already developed product ideas and researched information for use.	R Jo kehitellyt tuoteideat ja tutkittu tieto hyötykäyttöön.	G Ripnen oota sideeven toideasi a dakaaen da intu göro.
R It would be good to learn to work and put in the effort even as a child.	R Jo lapsena olisi hyvä oppia työnteko ja näkemään vaivaa.	G Ripnen na ipmäm ooif hava daav töte a vokaa tesaf.
R Those who can afford to spend should put their money to work, as long as it doesn't deplete the environment.	R Joilla on varaa kuluttaa, kannattaisi laittaa raha pyörimään, ellei se kuluta ympäristöä.	G Kojosi oof res teroriip, rogööif lopaa rov rauunen, ifej it tetoriip raulo.
R Everyone unemployed for some useful activity.	R Jokainen työtön johonkin hyödylliseen toimintaan.	G Ki töafejjo ötu görova oteete.
