VosaTevos	Finnnish	English
kaylva	upea; hemaiseva	gorgeous; swanky; stunning; snazzy; posh; palatial; magnificent; nubile
kayvaap	paljastaa	expose; unmask; uncover; unveil; lay bare; disclose; debunk; bring out in the open; reveal; divulge
kayvaapen	paljastettu	disclosed; divulged; exposed; uncovered
kayvaapte	paljastaminen	baring; disclosure; uncovering
kayvaapva	paljastava	exposing; revealing; revelatory
kayvap	paljastus	disclosure; revealing; revelation; unveiling
kayvejtuveli	avojaloin	barefoot
kayvejtuveva	paljasjalkainen	barefoot; barefooted
kayvejva	paljas	naked; bald; stark; unsheathed; denuded; bare; barren; mere
kayvpail	auma	stacks
kayvtak	pimennys	blackout; eclipse
kayvto	peite	coverage; tarpaulin; cover; comforter
kayvvat	peitto	cover; duvet; quilt; blanket
kayyr	kadota	disappear; fade; vanish
kayyren	kadonnut	disappeared; vanished; missing; lost
kayyrnen	kadoksissa	missing
kayyrte	kato; katoaminen	disappearance; elision; evanescence
kayyrva	katoava	transitory; evanescent; perishable; perishing
kayyv	verhota; peittää	cover up; cover; cover by
kayyven	peitetty	covered; overlaid
kayyven fraito	gratiini	gratin
kayyvva	väistyvä	recessive
kaäm	kaunotar	beauty; belle
kaäng	näkökulma; perspektiivi	viewpoint; perspective; point of view; standpoint
kaögli	vastakkain	against each other; confronted
kaögob	kontrasti	contrast
kaögpaate	vastakkainasettelu	confrontation
kaögva	vastakkainen	opposed; reversed; opposite; contrasting; contrary; adverse; reverse
kaögvao	vastakkaisuus	opposite nature
kediirjo	toimitusjohtaja	CEO; Executive Officer; managing director
kee	huolehtia	see; take care; worry; care; cater; mind
keer	korjata	correct; emend; fix; mend; rectify; remedy; repair
keeren	korjattu	corrected; revised; repaired; remedied; rectified; fixed; mended
keerjo	korjaaja	repairman
keerlö	korjaamo	workshop
keernen	korjattavana	under repair
keerte	korjaaminen	repairing
keertölo	verstas	repair shop
keerva	korjaava	correctional; remedial; reconstructive
kees	löytää	discover; find
keesen	löydetty	discovered; found
keesenejli	löytämättä	undiscovered
keesjo	löytäjä	discoverer
keesob	löydös	finding
keeste	löytäminen	discovery; finding; discovering
keete	huolehtiminen	taking care of; cater
keeva	huolehtiva	caring
keihmo	sora	detritus; gravel; grit
keihmokuol	sorakuoppa	gravel pit
keihmova	sorainen	gravelly
keii	kaatua	topple; tumbledown; tumble; fall; crash; capsize; fall down
keiien	kaatunut	fallen; overturned; toppled
keiite	kaatuminen	upset; capsizing; downfall; fall; overturning
keikuut hep	kaataa heinää; leikata heinää	cut down hay; mow hay
keikuut pusi	kaataa puita	cut down trees
keili	kumossa	overturned; upside down
keipeöön	kaataa riistaa	bring down game; shoot down
keiret	epilepsia	epilepsy
keiretjo	epileptikko	epileptic
keiretva	epileptinen	epileptic
keisarhyl	keisarikunta	empire
keisarjo	keisari	emperor; Caesarian; caesar
keisarva	keisarillinen	imperial; regal; royal
keisaräm	keisarinna	empress
keliakret	keliakia	celiac; celiac disease
keltjo	keltti	mullet
keltva	kelttiläinen	Celtic
kemda	kemia	chemistry
kemdajo	kemisti	chemist
kemdali	kemiallisesti	chemically
kemdava	kemiallinen	chemical
kemmo	kemikaali	chemical
kemmopiirte	kemikalisoituminen	chemicalization
Kenialo	Kenia	Kenya
ker	korjaus	reparation; correction; fix; fixing; mending; repair
keratinmo	keratiini	keratin
keriik	paikata	mend; patch
keriikte	paikkaus	patching
kerik	paikka	patch
kerpoag	korjausvedos	proofing
kerriikte	oikoluku	proofread; proofreading
kertoolte	korjausrakentaminen	repair construction
kertpeg	leppäkerttu	ladybug; ladybird
kertö	korjaustyö	reparation; fixing; mending
kerubenkjo	kerubi	cherub
keseej	hukata	mislay; misplace; miss
kesejli	hukassa	cannot be found; mislaid; undone
kesob	löytö	find; finding; trove; discovery
ki	joka; jokainen; kaikki	all; all of; each; every; everybody; everyone; everything
ki isno	joka kerta	every time
ki jänna	joka vuosi	every year; each year
ki mä	joka mies	everyman
ki tanna	joka päivä	every day
ki virili	kaikki yhteensä	total
kia	vietto; kallistuma	careen; declivity; gradient; inclination; leaning; tilt
kiaa	viettää	slope; decline; incline
kiadelo	viistoperä	hatchback
kiakaa	kurkistaa	peek; peep
kia-kirka	kursiivi	italic
kia-kirkaaen	kursivoitu	in italics
kialao	luiska; ramppi	escarpment; ramp; slope
kiali	kenollaan; vinottain; vinossa; kallellaan; vinosti	skewing; tilted; skewed; skew; obliquely; inclined; diagonally; crooked; bias; awry; aslant; askew; askance; crookedly
kialin	kauttaviiva; kenoviiva; vinoviiva	backslash; slash; solidus; virgule
kiaob	vinouma	distortion; skewness; bias; aberration
kiasif	kurki	crane
kiato	viiste	bevel
kiava	vino; viisto	diagonal; lopsided; oblique; skew; slant; slanted; slanting; sloping
kiava lin	vino viiva	diagonal line
kiavao	vinous	slant; skewness
kiculi	joka suhteessa	in every aspect
kid	kide	crystal
kidaava	kaikkitietävä	all-knowing; know-it-all; omniscient
kidnev	munuainen	kidney
kidva	kiteinen	crystalline
kiekhö	kieunta	crow
kiekhöö	kiekua	crow
kiel	kaikkialta	from everywhere
kielokuk	kielo	lily of the valley
kiemva	kaikkiruokainen	omnivore; omnivorous
kifulli	tyystin; kauttaaltaan	completely; fully; thoroughly; throughout; totally; utterly
kihaa	eheyttää	unify
kihaate	eheytys	defragmentation
kihava	eheä; ehjä; ehyt	in one piece; whole; unbroken; intact
kihavao	eheys	consistency; integrity; unity; wholeness
kihmae	kihomato	pinworm
kihojuside	animismi	animism
kihynva	joka kuinen	every month
kiid	kiteyttää	crystallize
kiidte	kiteytys	crystallization
kiir	kirjoittaa	type; write; write out; inscribe
kiir novli	kirjoittaa uudelleen	rewrite
kiir rovfapapr	kirjoittaa shekki	write a check
kiir tu dapapr	kirjoittaa lehteen	contribute to a paper
kiiren	kirjoitettu; kirjoittanut	spelled; typed; written; scribbled; scribed; penned; authored; written by
kiirjo	kirjoittaja	author; scribbler; writer
kiirjo hojovao	kirjoittajan henkilöllisyys	author's identity
kiirko ja	kirjoitatko	do you write
kiirob	kirjoitelma	writing
kiirte	kirjoittaminen	writing
kiirte vopiirob	kirjoitusharjoitus	writing exercise
kiirvö	kirjoitin	printer
kijosi	jokainen	every
kijänva	jokavuotinen	annual
kikadpeg	kaskas; laulukaskas	cicada
kiki	kaikki tyynni; joka ikinen	all of it; every single
kikina	iäti	eternally
kikino	iankaikkisuus; iäisyys	eternity; infinity
kikinoli	iankaikkisesti	forever
kikinova	iankaikkinen	eternal; everlasting
kiköl	maailmankaikkeus; makrokosmos; universumi	macrocosm; universe
kikölva	universaali	universal
kila	kaikkialla	everywhere; throughout; ubiquitous; ubiquitously; ubiquity
kilaoovao	kaikkiallaolevuus	ubiquity
kile	kaikkialle	everywhere
kilhö	kilinä	clink
kilhöö	kilistä	clink; tinkle
kilioli	kaikin tavoin	in every way
kiliva	kaikenlainen; kaikenlaiset	all forms; all kinds; every kind of
kilrov	killinki	penny
kin	kiinan kieli	Chinese
kina	ikinä; alinomaa; ainiaan; aina; alati	constantly; everytime; ever; forever; at all times; always; continuously; continually
kina na	aina kun	whenever
kinali	alituiseen; alituisesti	constantly; forever
kinava	ainainen; alituinen	continuous; unending; perpetual; incessant; eternal; continual; constant; ageless; everlasting
kininmo	kiniini	quinine
kinjo	kiinalainen	chink
Kinlo	Kiina	China
kinogrinva	ikivihreä	evergreen
kinoli	ikuisesti	evermore; perpetually; for ever; eternally; everlastingly; forever
kinomolkalm	ikirouta	permafrost
kinosakva	ikionnellinen	overjoyed
kinosi	kaikkien aikojen	of all time
kinosööva	ikimuistettava; ikimuistoinen	immemorial; memorable; unmemorable
kinova	ikuinen	ageless; unending; undying; unceasing; perpetuum; perpetual; lasting; eternal; aeonian; everlasting
kinovao	ikuisuus	perpetuity; aeon; eternity; infinity
kinrov	jeni	yen
kinva	kiinalainen	Chinese
kio	koko; kokonais-	all; entire; full; total; whole; whole of
kiob	kaikkein	of all
kiof	jokaisen	everyone's
kiofrov	kate	funds
kiofulli	totaalisesti	totally
kiofulva	totaalinen	total
kiohylpöide	totalitarismi	totalitarianism
kiohylpöva	totalitaarinen	totalitarian
kiokato	kokonaiskuva	overall picture
kioli	kokonaan	entirely; fully; wholly
kiolytalmat	kokolattiamatto	rug; carpeted floor; carpeting; fitted carpet
kiona	koko ajan	all the time
kioof	kattaa	encompass; span
kioofejva	katteeton	coverless
kioofli	kattavasti	comprehensively
kioofva	kaikenkattava; kattava	all inclusive; catchall; comprehensive; encompassing; overarching
kioofvao	kattavuus	coverage
kiopöjo	holisti	holistic
kiopöli	kokonaisvaltaisesti	holistically
kiopöva	holistinen; kokonaisvaltainen	all-encompassing; all-inclusive; comprehensive; encompassing; holistic; integrated; all-embracing
kiori	kokonaismäärä; brutto	gross; total amount
kiorihylto	bruttokansantuote	gross domestic product
kiorovat	kokopuku	overalls; suit
kiorovpasi	kokonaiskustannukset	total cost
kiosiö	kokonaisluku	integer
kiosumri	kokonaissumma	total
kiotantö	kokopäivätyö	full time job; full-time job
kiotoote	kokonaistuotanto	aggregate output
Kiov	Kiova	Kiev
kiova	kokonainen	entire; whole
kiovao	kokonaisuus	integrity; wholeness; totality; entity; aggregate; entirety; whole
kiovaoli	kokonaisuutena	on the whole
kiovva	kiovalainen	Kiev
kipaaen	katettu	decked; roofed; catered
kipöjo	kaikkivaltias	almighty
kir	kirjoitus; teksti	inscribing; transcript; written composition; written text; writing; writ; text; scription; inscription; scrip; tract
kirbäg	salkku	briefcase; portfolio
kircute	tekstinkäsittely	word processing
kircuteprog	tekstinkäsittelyohjelma	word processor; word-processing program
kirdaaven	kirjanoppinut	scribe; scholar
kirdafa	nootti	note
kiree	yhtenäistää	unify
kireek	tuhota	exterminate; wipe out; wreck; sabotage; ravage; devastate; destruct; destroy; annihilate; eliminate; decimate
kireeken	tuhottu	destroyed
kireekjo	tuhoaja	devastator; wrecker; ravager; destructor; destroyer; annihilator; ruiner
kireekrili	tuhottomasti	indestructibly
kireekte	tuhoaminen	annihilation; destruction; extermination; wrecking
kirek	tuho	annihilation; devastation; havoc; catastrophe; destruction
kirekböönjo	tuhopolttaja	arsonist
kirekböönte	tuhopoltto	arson
kirekli	tuhoisasti	destructively; devastatingly; disastrously
kirekpe	tuholainen; tuhoeläin	vermin; pest
kirekpo	tuhovoima	destructive force; juggernaut
kireksta	katastrofi	catastrophe; disaster
kirekstava	katastrofaalinen	catastrophic; destructive
kirekva	tuhoisa	devastating; disastrous; pernicious; ruinous; damaging; catastrophic; calamitous; ravaging; destructive
kireli	yhtenäisesti	cohesively; uniformly; unitedly
kireva	yhtenäinen	connected; united; unitary; uniform; unified; integrated; cohesive; coherent; unfragmented
kirevao	yhtenäisyys	uniformity; unity
kirgao	kirje	epistle; letter
kirgaoermupa	kirjeenvaihto	correspondence
kirgaoermupaajo	kirjeenvaihtaja	correspondent
kirgaosefto	kirjekuori	envelope
kirik	jae	verse
kirili	kaikkiaan	in all
kirka	kirjain	letter
kirkaa	tekstata	write in print
kirkaate	tekstaus	lettering; printing
kirkakau	fontti	font
kirkalopa	sivuntaitto	page composition; layout
kirkamuu	litteroida	transcribe
kirkao	kirjake; kirjasin	type; typeface; font
kirkao pipri	kirjasimen koko	font size
kirkapa	ladonta	typeset; typesetting
kirkapaa	latoa	typeset
kirkapaajo	latoja	typesetter
kirkasi	kirjaimet	letters
kirkaumuuvö	tekstieditori	text editor
kirkavipa	monogrammi	monogram
kirkä	muste	ink
kirkänilv	kalmari; mustekala	calamary; octopus; squid
kirkävo	mustekynä	fountain-pen; pen
kirlaos	kirjoituspöytä	desking
kirli	kirjallisesti	in writing
kirlidakaoda	hermeneutiikka	hermeneutics
kirlidakaodava	hermeneuttinen	hermeneutical; hermeneutic
kirliva	tekstin mukainen	textual
kirnetvisasa	chatti	chat
kirsber	kirsikka	cherry
kirsberpu	kirsikkapuu	cherry tree
kirsef	kansio	binder; folder
kirsiapkato	antologia	anthology
kirsid	sivu	page
kirsiid	sivuttaa	paginate
kirsito	kirjallisuus	literature
kirsitohavijo	bibliofiili	bibliophile
kirsitolurik	bibliografia	bibliography
kirsitolurikjo	bibliografi	bibliographer
kirsitolurikva	bibliografinen	bibliographic; bibliographical
kirsredva	kirsikanpunainen	cerise
kirto	kirja	book
kirtoda	typografia	typography
kirtodava	typografinen	typographical
kirtofäfjo	kirjakauppias	bookseller
kirtofäflo	kirjakauppa	bookstall; bookstore; bookshop
kirtogabtal	kirjahylly	bookshelf; book-shelf; bookcase
kirtolö	kirjapaino	printing house
kirtomark	kirjanmerkki	bookmark
kirtori	nide	vol.; volume
kirtovirupaajo	kirjansitoja	bookbinder
kirva	kirjallinen	literary; written
kirvik	kirjoitusvirhe	clerical error; typo
kirvisva	kirjaviisas	bookish
kirvo	kynä	pen; pencil
kirvoboks	penaali	pencil case
kirvolkato	kirjoitustaulu	writing board
kirvomä	kynämies	penman
kirvoo	kynäillä	scribble
kirvos	kirjakieli	written language; literary language
kirvosupos	kynäteline	penholder
kirvosva	kirjakielinen	well-written; literary
kirvö	kirjoituskone	typewriter
kiröik	kappale; pykälä	paragraph
kisadli	ykskaks	all at once; all of a sudden
kiskfis	kiiski	ruff
kitanva	jokapäiväinen	quotidian; workday; everyday; daily; mundane
kitar	mytty	all wrong
kithöv	kitara	guitar
kithövjo	kitaristi	guitarist
kitil	avaruus	expanse; space
kitilda	kosmologia	cosmology
kitildakasuplo	avaruustutkimusasema	space research station
kitildava	kosmologinen	cosmological
kitildä	astronomia	astronomy
kitilfarkatorv	avaruusteleskooppi	space telescope
kitilfysda	astrofysiikka	astrophysics
kitilhuujo	astronautti; avaruuslentäjä	astronaut; space pilot
kitilielvuvö	avaruussukkula	space shuttle
kitiljo	kosmonautti	cosmonaut
kitilkadiprivö	avaruusluotain	space probe
kitillaoboks	avaruuskapseli	space capsule
kitillotuvö	avaruusalus	space craft; spacecraft; spaceship
kitilmäm	humanoidi	humanoid
kitilojo	avaruusolento	extraterrestrial
kitilrauvö	satelliitti	satellite
kitilrovat	avaruuspuku	space suit
kitilsuplo	avaruusasema	space station
kitilsuttuvö	avaruusraketti	space rocket
kitilva	avaruudellinen; kosminen	cosmic; spatial
kitilvao	kosmos	cosmos
kitilängri	avaruuskulma	steradian
kitilöik	meteori	meteor
kiunva	ikiaikainen; ikivanha	primeval; primordial; ancient
kiva	kaikkinainen	omniform
kivao	kaikkeus	everything; universe
kivhed	kiivi; kiwi	kiwi; kiwi fruit
kivi	koossa	together
kivioo	koostua	consist; consist of
kivioote	koostumus	composition
kivipaoova	koossapitävä	cohesive
kivipaoovao	koossapysyvyys	togetherness
kivonva	ikivanha	hoary; rusty; archaic
kivoova	kaikkivoipa	omnipotent
klamydbakt	klamydia	Chlamydia
klarinethöv	klarinetti	clarinet
kleikalkmo	sementti	cement
kleikam	saviliuske	shale
kleikaupa	savenvalanta	pottery
kleikaupaajo	savenvalaja	potter
kleimo	savi	sludge; pug; mud; kaolin; clay; dregs
kleimova	savinen	clayey; earthen
kleiobsuutte	savikiekkoammunta	clay pigeon shooting
kleives	saviastia	pot; pottery
kleivessi	saviastiat	crockery
kliik	napsauttaa	clinch; click
kliin	puhdistaa; putsata	clean; clean out; cleanse; make pure; purge; purify; refine; sanitize
kliinculite	puhdistusmenetelmä	cleaning method
kliinen	puhdistettu	scrubbed; refined; purified; purged; cleaned; cleansed
kliinjo	puhdistaja	cleaner; purifier
kliinlö	puhdistamo	purification plant; refinery
kliinmo	puhdistusaine	cleanser; cleansing agent; detergent; cleaner
kliinte	puhdistaminen; puhdistus	cleaning; cleansing; purge; purging; purification; purifying; washing
kliinteo	sanitaatio	sanitation
kliinva	puhdistava	purgative; purifying
kliinvo	puhdistin	cleaner
kliir	kirkastaa	brighten; enlighten
kliirte	kirkastus	enlightment
klik	klikkaus	click
klikvo	nappula; painike; näppäin	button; key; knob
klindavjo	puhdasoppinen henkilö	purist
klinevaova	puhdasrotuinen	purebred
klinhemova	puhdasverinen	full-blooded
klinhiee	kuurata	scrub
klinkiir	puhtaaksikirjoittaa	write clean
klinklinva	puhtoinen; putipuhdas	pure; spotlessly clean
klinli	puhtaasti	cleanly; purely
klinmo	puhdiste	cleaner
klinmuu	puhdistua	be purified; become clean; clarify
klinpaoote	puhtaanapito	sanitation
klinteo	saniteetti	sanitary
klintolik	saniteettitila	sanitary facility
klinva	puhdas	pure; clean
klinva li pulmsif	puhdas kuin pulmunen	pure as a driven snow; pure as the driving snow
klinvaam	huuhdella; viruttaa	flush; rinse
klinvaammo	huuhteluaine	fabric softener; softener
klinvaamte	huuhtelu	dousing; washout; rinsing; rinse; lavage
klinvao	puhtaus	cleanliness; cleanness; pureness; purity; tidiness
klirdali	ilmeisesti	obviously; patently; evidently; apparently
klirdava	evidentti; ilmeinen	evident; manifest; obvious; patent; plain; visible; apparent
klirli	kirkkaasti	brightly
klirlo	tähti	star
klirlodä	tähtitiede	astronomy
klirlodäjo	tähtitieteilijä	astronomer
klirloennesaajo	astrologi	astrologer
klirloennesada	astrologia	astrology
klirloennesava	astrologinen	astrologic; astrological
klirloip	tähtönen	starlet
klirloklirva	tähtikirkas	starlit; starry
klirlomark	tähti	asterisk
klirlovälva	tähtienvälinen	interstellar
klirloyllo	tähtitaivas	starry sky
klirmuu	kirkastua; seestyä	clear up; calm down; clear
klirmuuen	kirkastunut	brightened
klirobte	raivaus	clearing
klirobtee	raivata	bulldoze; clear; pioneer
klirobtee-en	raivattu	cleared
klirobteejo	raivaaja	clearer; settler
klirpir	kirkkaampi	brighter
klirredva	kirkkaanpunainen	vermilion
klirsa	selitys	explanation; explication
klirsaa	selittää	explain; explicate; expound
klirsaaejli	selittämättömästi	inexplicably
klirsaaejva	selittämätön	unexplainable; unexplained; unaccountable; inexplicable; incomprehensible
klirsaajo	selittäjä	expounder; explainer
klirsaava	selittävä	explaining; explanatory
klirsahöö	ääntää selvästi	articulate; enunciate
klirsahööte	lausunta selvästi	enunciation
klirsakiir	dokumentoida	document
klirsakiiren	dokumentoitu	documented
klirsakiirte	dokumentointi	documentation
klirsakir	dokumentti; dokumentaatio	document; documentation
klirsakirva	dokumentaarinen	documentary
klirsao	selite	definition; description; explanation
klirso	aksiomi; aksiooma; selviö	axiom
klirst	kirkkain	brightest
klirtiik	väikkyä	shimmer
klirva	kirkas	crystalline; strident; limpid; clear; bright; pellucid
klirvao	luminanssi; kirkkaus	brightness; luminance; luminosity
klitorev	häpykieli	clitoris
klostridbakt	klostridium	clostridium
knibol	lumpio; polvilumpio	patella; ball of the knee; kneecap
kniit	neuloa	knit
kniiten	neulottu	knitted
kniitjo	neuloja	knitter
kniitte	neulonta; neulominen	knitting
knipavetuu	kontata; kömpiä	crawl; scramble
knit	lanka	thread; twine; wire; yarn
knitblus	jumpperi; neulepusero	jumper
knitejva	langaton	wireless
knithöv	kielisoitin	stringed instrument
knitik	syy	fiber; fibre
knitinlipaa	pujottaa	string; thread
knitkeer	parsia	darn
knitknot	hapsu	fringe
knitkoil	lankakerä	ball of wool; ball of yarn
knitpikoup	neulansilmä	needle eye
knitpikvo	neula; äimä	needle
knitrauräj	sykkyrä	kink
knitrauu	keriä	coil; wind
knitreek	raastaa	grate
knitreekva	raastava	racking
knitreekvo	raastin; raastinrauta; riivinrauta	grater
knitrekem	raaste	grated food
knitrol	lankarulla	reel of thread; spool
knitrool	puolata	spool
knitruo	ommel; tikki	stitch; suture
knitrupiik	kiinnittää lankanauloilla	fasten with wire nails; brad
knitrupik	lankanaula	brad; wire nail
knitruu	ommella; tikata	sew; sew on; stitch
knitruujo	ompelija	dressmaker; seamstress
knitruute	tikkaus; ompelu	sewing; quilting
knittoo	kehrätä	spin; purr
knittooen	kehrätty	spun
knittoojo	kehrääjä	spinner; spinster
knittoote	kehruu	spinning
knittoovo	kehrä	cam; disk; spindle
knittuveva	siimajalkainen	barnacle
knittö	neuletyö	knitting
kniturtuo	silmäpako	ladder
knituur	ratkoa sauma	unstitch
knitvat	neule	knit; knitwear; knitwork; needlework
knitvisavö	lankapuhelin	landline phone
knitviva	langallinen	hardwired; wired
knitvivstik	neulepuikko	knitting needle
knitylluvat	neuletakki	cardigan
knive	polvi	knee
knivebauu	niiata	curtsy
knivebauute	niiaus	bob; curtsey; curtsy
knivee	polvistua	genuflect; kneel; kneel down
kniveharvat	polvihousut	breeches; kneepants
knivehuk	kyykky; kyykkä	squat
knivehukli	kyykyssä	crouching
knivehuuk	kyyhöttää	squat
kniveli	polvillaan	on the knees; on bended knees
knoot	solmia	conclude; knot; tie
knooten	solmittu	knotted
knostusjo	gnostikko	gnostic
knostusva	gnostilainen	gnostic
knot	solmu	knot; node
knoteön	hirttokuolema	death by hanging
knoteönpu	hirsipuu	gibbet; gallows
knoteönring	hirttosilmukka	noose
knoteöön	hirttää	hang
knoteöönen	hirtetty	hanged; hung
knoteöönte	hirtto	hanging; suspension
knotiplo	solmukohta	nodal point
knotring	silmukka	loop; eyelet
knotviiv	virkata	crochet; make lacework
knotviivte	virkkaus	crocheting
knotviv	virkkuu	crocheting
knotvivhuk	virkkuukoukku	crochet hook
knotvivtö	virkkuutyö	crochet work
ko	mikä; mitä; joka	that; what; which
ko ja tesaaf	mikä sinua vaivaa	what's wrong with you; what's the matter with you
ko obhöö	mitä kuuluu	what's new; how do you do; how are things with you
ko sattaj	mikä tahansa; minkä tahansa; mitä vaan	any; whatever; whatsoever
koaal	asettaa kyseenalaiseksi; kyseenalaistaa	impeach; place under question; question
koaalejli	kyseenalaistamatta	beyond question; without question
koalabiörpe	koala	coala bear
koalva	kyseenalainen	dubious; questionable
kod	koodi	code
kodeinmo	kodeiini	codeine
kodfis	turska	cod
kofeinmo	kofeiini	caffeine
kofor	mihin; miksi; mitä varten	what for
kofraesi	kahvinporot	coffee-grounds
kofvem	kahvi	coffee
kofvemkup	kahvikuppi	coffee cup
kofvemkuuvö	kahvinkeitin	coffee machine
kofvemkuves	kahvipannu	coffeepot
kofvemlo	kahvila; kahvio	cafe; cafeteria; coffeehouse; coffee-shop
kohhö	kohina	noise
kohhöö	kohista	roar
koil	kerä	ball; coil; glomus
koin	jossa; missä	in which; where; wherein
koin a	missäkin	anywhere
koin kona	missä milloinkin	anywhere anytime; now here now there
koin sattaj	missä tahansa	wheresoever; wherever
kointu	mihin	where to; whereunto
kointu a	mihinkin	to what
kointu sattaj	mihin hyvänsä	wherever
koitnenooen	mikä se nyt olikaan	whatsit; whatchamacallit; thingy
kojo	joka; jota; ken; kenet; ketä; kuka	who; whom
kojo sattaj	kuka tahansa	anyone; who ever; whoever; whosoever
kojoel	joilta	from whom
kojofor	kenelle; ketä varten	who for; for whom
kojo-of	jonka; kenen	whose
kojosi	jotka; keitä; ketkä	who (there are); who
kojosi-of	joiden	whose
kojotpe	kojootti; preeriasusi	brush wolf; coyote; prairie wolf
kojotu	kenelle	to whom
kojout	keneltä	from whom
kojovi	kenen kanssa	with who
kokainmo	kokaiini	cocaine
koka-kolavem	kokis	Coke
koknutfätmo	kookosrasva; kookosvoi	coconut fat; coconut oil; coconut butter
koknutoilmo	kookosöljy	coconut oil
kola	jonka päällä	on which
kolbakt	kolibakteeri	coli bacteria; coliform
kole	mille	to which
koleret	kolera	cholera
kolesterolmo	kolesteroli	cholesterol
koli	mitenkä; miten; kuinka	in what way; in what manner; by what means; how
koli ipnapir itli hapir	mitä pikemmin sitä parempi	the sooner the better
koli ja oo	kuinka voit	how are you
koli sattaj	miten tahansa	however
koliri	minkä verran	how much
koliva	minkälainen; minkälaista	what kind; what kind of; which kind of
kolkodfis	kolja	haddock
kolo	kussa	where
kom	komin kieli	Komi; Komi language
komjide	kommunismi	communism
komjidejo	kommunisti	communist
komjideva	kommunistinen	communist; communistic
Komlo	Komi	Komi
kona	jolloin; koska; milloin	at which time; when
kona a	jolloinkin; milloinka; milloinkin	anytime; when; sometimes; once; sometime
kona sattaj	milloin tahansa; milloin vain; milloin vaan	any time; anytime; at any time; whenever
konber	konnanmarja	baneberry
kone	jonka jälkeen; minkä jälkeen	whereupon; after which
konfutside	konfutselaisuus; kungfutselaisuus	Confucianism
konid	kysyntä	demand
konjalkvem	konjakki	brandy; cognac
kono	paljonko kello on	what's the time
kons	kerake; konsonantti	consonant
koo	kysyä	ask; enquire; inquire; query
ko-ob mo	mistä aineesta; mistä materiaalista	from which subject; of what material
kood	koodata	encode; cypher
koodjo	koodaaja	coder
koodte	koodaus	coding; encoding
kooen	kysytty	in demand; saleable
ko-of	minkä	which one's
koojo	kysyjä; kyselijä	asker; questioner
kooli	kysyvästi	inquiringly
koork	korkittaa	cork
koote	kysymys	issue; question
kootelusa	kysymyslause	question clause
kootemark	kysymysmerkki	question mark
kootesa	kysymyssana	question word
kootesi	kysymyksiä	questions
koptusva	kopti	Coptic
koralep	koralli	coral
Korankirto	Koraani	Koran
Korealo	Korea	Korea
koreava	korealainen	Korean
korhö	röhinä	wheeze
korhöö	korista; rohista; röhistä	wheeze
kori	kuinka paljon; paljonko	how much
kori unva	kuinka vanha	how old
koriantep	korianteri	coriander
korintjosi	korinttolaiset	Corinthians
korintva	korinttilainen	corinthian
kork	korkki	cap
korkleito	korkkilevy	cork board
korkmat	korkkimatto	cork carpet; cork mat
korkmo	korkki	cork
korkves	kanisteri	canister
kornlaoev	sarveiskalvo	cornea
koron	korona	corona
koronvir	koronavirus	coronavirus
korpigsif	kondori; korppikotka	condor; vulture
korpsif	kaarne; korppi	raven
kortep	korte	horsetail
kosatli	hyvänsä	whatever
koscuri	kosini	cos; cosine
kosi	jotka; mitkä	that; which
kosi oof	joilla on	who has
kosiof	joiden	whose
kosy	minkä vuoksi; miksi; minkä takia; minkä tähden	for what reason; how so; why
kosy ej	miksei	why not
kotarsif	kottarainen	starling
kotcuri	kotangentti	cotangent
kotep	pellava	flax
kotepsem oilmo	pellavansiemenöljy; vernissa	linseed oil
kotepva	pellavainen	flaxen
kotepvatmo	pellavakangas	linen
kotkoot	käkättää; kaakattaa; kotkottaa	cackle; cluck; quack
kotkootte	kaakatus; kotkotus	cackle
kotsif	kana	hen
kotsifeg	kananmuna	egg; chicken egg
kotsifmit	kananliha	chicken meat
kotu	jonne; kuhunka; minne	where to; whither; where
kotu a	minnekin	anywhere
koukou	kaakao	cocoa
koukouvem	kaakao	cacao
koun	kartio	cone; cone shape
kounikves	kulho	bowl
kounikvesri	kulhollinen	dish
kounkuutte	kartioleikkaus	conic section
kounplee	keilata	bowl
kounpleejo	keilaaja	bowler
kounpleete	keilailu	bowling
kounplevo	keila	beam; bowling pin; taper; tusk
kounpotönpovö	mäntämoottori	piston engine
kounpotönvo	mäntä	plunger; piston
kountorv	tuutti; tötterö	cone; cornet
kounva	kartiomainen	coned; conic; conical; tapered
kout	josta; mistä	whereof; from what; from where; whence; where from; wherefrom
kout a	mistäkin	from anything
kova	millainen	what kind of
kovi	minkä kanssa	with which
kovy	jolla; jonka avulla; millä	by which; upon which; whereby; with what
koö	jonka; joka	which
koö sattaj	mitä milloinkin; joskus tätä joskus tuota	sometimes this sometimes that; what ever
koöb	mistä	what about; which about; what ... about
koösi	kyseiset	those
kraak	kurnuttaa; raakkua; rääkkyä	caw; croak
kraksif	varis	crow
kraksif teraakvo	variksenpelätin	scarecrow
kransutto	kranaatti	grenade; shell
kransutto heiivo	kranaatinheitin	mortar
krasep	krassi	cress
kratik	möhkäle; möykky; murikka	lump; lob; block; gob; chunk
kratikva	möykkyinen	lumpy
kratli	epämääräisesti; umpimähkään	at random; indiscriminately; vaguely
kratpaheuu	huitoa	flail
kratpäk	mytty	bundle
kratva	umpimähkäinen; epämääräinen	haphazard; woolly; vague; indiscriminate; indefinite; indeterminate
kratvao	epämääräisyys	indefiniteness; indeterminacy; indeterminateness; obscurity
Kretlo	Kreeta	Crete
