Tunniste	Englanti	Suomi	Vosa
1697	It is quite possible that you still have time.	On täysin mahdollista, että sinä vielä ehdit.	Oo fulli vova, syt pirnen novoo.
1698	There is no other option.	Eikö ole muuta mahdollisuutta.	Ejko oo tua vovao?
1699	At the moment it is impossible.	Tällä hetkellä se on mahdotonta.	Tä ipna it oo ejvova.
1700	Did you get open the bottle?	Saitteko pullon auki?	Aafko jasi botl oup?
1701	I can't get open in any way.	En saa millään auki.	Aj ejvoli aaf oup.
1702	I can't get this suitcase closed at all.	En saa millään tätä matkalaukkua kiinni.	Aj ejvoli aaf tä rotuobäg puo.
1703	Let's try to order tickets by phone!	Yritetään tilata liput puhelimella!	Traata tiif tupaprsi vy visavö!
1704	Dad drives a car very well.	Isä ajaa erinomaisesti autoa.	Ma katuu erhali tuvö.
1705	He knows Russian well.	Hän osaa hyvin venäjää.	Hä davoo hali rus.
1706	The child can already walk.	Lapsi osaa jo kävellä.	Ipmäm davoo ripnen vetuu.
1707	He understands Vosa better and better.	Hän ymmärtää Vosaa yhä paremmin ja paremmin.	Hä dakavoo Vosa repirnen hapirli a hapirli.
1708	DIFFICULT # EASY	VAIKEA # HELPPO	ONGVA # GNOVA
1709	We have a lot of common problems.	Meillä on paljon yhteisiä ongelmia.	Ajsi oof piri viofva ongsi.
1710	We have a difficult task ahead of us.	Edessämme on vaikea tehtävä.	Kaed ajsi oo ongva teob.
1711	It's an easy task.	Se on helppo tehtävä.	It oo gnova teob.
1712	It's not a simple matter.	Se ei ole yksinkertainen asia.	It ej oo isgnova so.
1713	That's another story.	Se on jo toinen juttu.	It oo ripnen duva öbsasa.
1714	You can't imagine how awkward it is!	Ette voi kuvitella, kuinka hankalaa se on!	Ja ej voo mikaa, koli ongva it oo!
1715	This is a difficult question.	Tämä on vaikea kysymys.	Tä oo ongva koote.
1716	It's hard to talk about it.	On vaikea puhua siitä.	Oo ongva sasaa öb it.
1717	Vosa is not that difficult.	Vosa ei ole niinkään vaikeaa.	Vosa ej oo itli a ongva.
1718	MEANS, WAY, MANNER	KEINO, TAPA	LIVOTE, LIO
1719	He gave me good advice.	Hän antoi minulle hyvän neuvon.	Hä faaen tu aj hava lisa.
1720	They did it all together.	He tekivät kaiken yhdessä.	Häsi tee-en ki vi.
1721	I'm used to get up early.	Olen tottunut nousemaan aikaisin.	Aj oo liafvooen yyl lyna.
1722	He has such a lifestyle.	Hänellä on sellainen elämäntapa.	Hä oof itva eolio.
1723	Or so it is!	Vai sillä lailla!	Taj itli!
1724	Do the same!	Tee sinä samalla tavalla!	Tee ja vy re lio.
1725	That's normal.	Se on aivan normaalia.	It oo fulli resiva.
1726	Usually I take the subway.	Tavallisesti kuljen metrolla.	Resili aj tuut vy almoltuvö.
1727	It's easier to get there by subway.	Sinne on kätevämpää mennä metrolla.	Itle oo hapavepir tuu vy almoltuvö.
1728	calculation methods	laskutavat	risoote liosi
1729	SUCCESS	ONNISTUMINEN	SAAKTE
1730	We managed to get tickets.	Meidän onnistui hankkia liput.	Ajsi saaken foraaf tupaprsi.
1731	You succeeded.	Sinua onnisti.	Ja saaken.
1732	I always have a bad luck.	Aina minulla on huono tuuri.	Kina aj oof ahvova stasak.
1733	The presentation failed.	Esitelmä ei onnistunut.	Siedtusa ej saaken.
1734	Nothing succeeded.	Mikään ei onnistunut.	Ejö saaken.
1735	Everything went great, just fine.	Kaikki sujui erinomaisesti, kerrassaan hienosti.	Ki havotuuen erhali, isna a väkali.
1736	Everything goes according to plan.	Kaikki sujuu suunnitelmien mukaan.	Ki havotuu vili kasotosi.
1737	He is confident of success.	Hän on varma menestyksestä.	Hä oo varmva ob hasak.
1738	He performed very successfully.	Hän esiintyi hyvin menestyksekkäästi.	Hä autedtukaaen hali hasakli.
1739	It was a huge success.	Se oli valtava menestys.	It ooen pipiva hasak.
1740	Good thing I caught you.	Hyvä, että sain sinut kiinni.	Hava, syt aj aafen ja ru.
1741	That artist is the prize laureate of an international competition.	Tuo taiteilija on kansainvälisen kilpailun palkinnonsaaja.	Ät kavjo oo hyjsivälva vintra forhafa aafjo.
1742	What is the situation, who is in the lead?	Mikä on tilanne, kuka on johdossa?	Ko oo vista, kojo oo na diir?
1743	We won!	Me voitimme!	Ajsi viinen.
1744	We lost 2-3.	Hävisimme tuloksella 2-3.	Aj niiven vy utro 2-3.
1745	award ceremony	palkintojen jako	forhafasi tusipa
1746	POWER, STRENGTH	VOIMA, LUJUUS	PO, ÖGPOVAO
1747	He's a pretty sturdy man.	Hän on melko tukeva mies.	Hä oo rafli supva mä.
1748	Don't just rely on your own strength.	Ei pidä luottaa vain omiin voimiin.	Ej piit uscuu erisli öfva posi.
1749	You have a strong character.	Teillä on voimakas luonne.	Jasi oof pova mivao.
1750	He is a very powerful human.	Hän on hyvin voimakas ihminen.	Hä oo hali pova mäm.
1751	I no longer have the strength.	Minulla ei ole enää voimia.	Aj ejpirnen oof posi.
1752	Are you tired?	Oletko väsynyt?	Ooko ja autporiipen?
1753	Oh, I'm dead tired.	Oh, olen kuolemanväsynyt.	Eh, aj oo eön autporiipen.
1754	Are you possibly tired of the trip?	Oletteko mahdollisesti väsynyt matkasta?	Ooko jasi voli autporiipen ob rotuo?
1755	We walked so much that we got tired.	Kävelimme niin paljon, että väsyimme.	Ajsi vetuuen itli piri, syt ajsi autporiipen.
1756	You have a heavy suitcase.	Teillä on raskas matkalaukku.	Jasi oof hevva rotuobäg.
1757	I noticed that everyone was tired.	Pistin merkille, että kaikki olivat väsyneitä.	Aj obvokaaen, syt ki ooen autporiipen.
1758	I was tired of waiting for you.	Väsyin odottamaan sinua.	Aj autporiipen obnoo ja.
1759	HELP # OBSTACLE	APU # ESTE	VYO # YV
1760	They always help each other.	He auttavat aina toisiaan.	Häsi vyy kina obki tuasi.
1761	Can't you help me?	Ettekö voisi auttaa minua?	Ejko jasi vooif vyy aj?
1762	How can I help you?	Miten voisin auttaa teitä?	Koli aj vooif vyy jasi?
1763	I'll try to help you if I can.	Yritän auttaa Teitä, jos vain voin.	Aj traa vyy Jasi, if aj erisli voo.
1764	Call me for help if needed!	Kutsu minua apuun, jos on tarpeen!	Tukoo ja aj for vyo, if oo for nid!
1765	Something prevented him from coming.	Jokin esti häntä tulemasta.	Ö yyven hä uut.
1766	Please don't bother me!	Ole hyvä, äläkä häiritse minua!	Oo ja hava, a ej cuyyv aj!
1767	CONDITION, STATE	KUNTO, TILA	VOSTA, STA
1768	He has a weak position.	Hänellä on heikonlainen asema.	Hä oof opliva culo.
1769	Take the clock for repair!	Vie kello korjattavaksi!	Gaa ja novo for keer!
1770	The café is closed due to renovation.	Kahvila on kiinni remontin vuoksi.	Kofvemlo oo puo for siker.
1771	Elevator not working.	Hissi ei toimi.	Yllyvö ej otee (ej oof hava vosta).
1772	The doorbell does not work, knock!	Ovikello ei toimi, koputtakaa!	Ouvbel ej otee, pokliik jasi!
1773	The suitcase handle was broken.	Matkalaukun kahva meni rikki.	Rotuobäg apvo autreeken.
1774	I broke the drinking glass.	Rikoin juomalasin.	Aj reeken vemglaves.
1775	Do you have a pen, I broke my own?	Onko sinulla kynää, rikoin omani?	Oofko ja kirvo, aj reeken ajof öfva?
1776	Let everything stay that way!	Jääköön kaikki näin!	Jää ki täli!
1777	You have to put things in order.	Pitää pistää asiat järjestykseen.	Piit paa sosi mu jär.
1778	Now everything is in order.	Nyt kaikki on järjestyksessä.	Nen ki oo in jär.
1779	Everything is fine.	Kaikki on kunnossa.	Ki oo hastana.
1780	I am glad that everything is in order	Olen iloinen, että kaikki on kunnossa	Aj oo rosva, syt ki oo in hastana.
1781	The car went malfunctioned.	Auto meni epäkuntoon.	Tuvö muuen tu ejvosta.
1782	WEATHER IN GENERAL	SÄÄ YLEENSÄ	NISTA TIHNA
1783	What was the weather like there?	Millainen sää siellä oli?	Kova nista itla ooen?
1784	Today is absolutely bright.	Tänään on aivan kirkasta.	Tätanna oo fulli klirva.
1785	There is no cloud in the sky.	Taivaalla ei ole pilveäkään.	La yllo ej oo is a homvam.
1786	Today is beautiful weather.	Tänään on kaunis ilma.	Tätanna oo kava nista.
1787	The air is beautiful, the sun is shining.	Ilma on kaunis, aurinko paistaa.	Nista oo kava, aurlo katkliir.
1788	Let's sit for a moment in the sun!	Istutaan hetki auringossa!	Siitta ipno al aurlo!
1789	We were sunbathing on the beach.	Otimme aurinkoa uimarannalla.	Ajsi aapen aurlo la vuvamdim.
1790	Today is wonderful weather!	Tänään on ihana ilma!	Tätanna oo fainkava nista!
1791	The weather is great, you could go for a walk.	Sää on mitä mainioin, voisi mennä kävelemään.	Nista oo koli a erhast, vooif tuu vetuu.
1792	Let's go breathing some fresh air!	Mennään vähän haukkaamaan raitista ilmaa!	Tuuta ipri urbiit kalfresva hom!
1793	If good air comes, we'll go into the country.	Jos tulee hyvä ilma, niin lähdemme maalle.	If muu hava nista, itli ajsi tuu le nuatlo.
1794	The weather is so bad.	Sää on niin huono.	Nista oo itli ahvova.
1795	The weather is terrible.	Sää on kauhea.	Nista oo hirva.
1796	Today is a strong wind.	Tänään on kova tuuli.	Tätanna oo pova hou.
1797	In such weather, airplanes do not fly.	Tällaisella ilmalla lentokoneet eivät lennä.	In täva nista huvösi ej huu.
1798	Today is a cold breeze.	Tänään on kylmä tuuli.	Tätanna oo kalva hou.
1799	There were severe frosts.	Oli kovia pakkasia.	Ooen pova kalmstasi.
1800	Today is not very warm, but warmer than yesterday.	Tänään ei ole kovin lämmintä, mutta lämpimämpää kuin eilen.	Tätanna ej oo errili lakva, mut lakpir li edtanna.
1801	Today is warm.	Tänään on lämmintä.	Tätanna oo lakva.
1802	WEATHER, HEAT # COLD	SÄÄ, LÄMPÖ # KYLMYYS	NISTA, LAKVAO # KALVAO
1803	What is your average temperature in June?	Mikä teillä on kesäkuussa keskilämpötila?	Ko jasi oof na sikhyn midlakri?
1804	The water temperature is 20 degrees.	Veden lämpötila on 20 astetta.	Vam lakrista oo 20 lylrisi.
1805	How many degrees is there?	Montako astetta on?	Siko lylrisi oo?
1806	Today is two degrees Celsius frost.	Tänään on kaksi astetta pakkasta.	Tätanna oo du lylrisi kalmsta.
1807	It's been three days since it's been very cold.	Jo kolme päivää on ollut kova pakkanen.	Ripnen tre tansi oo ooen pova kalmsta.
1808	It's been a frost for a week.	Jo viikon verran on ollut tällainen pakkanen.	Ripnen liri gun oo ooen täla kalmsta.
1809	It's cool outside.	Ulkona on viileä.	Ni oo ipkalva.
1810	Not allowed to lie on the ground, it is still cold.	Ei saa maata maassa, se on vielä kylmää.	Ej aaf leioo la mol, it oo pirnen kalva.
1811	May is already warm in Finland.	Toukokuussa Suomessa on jo lämmintä.	Na fivhyn in Finlo oo ripnen lakva.
1812	Oh how hot the day is today!	Oi kuinka kuuma päivä tänään on!	Ouh koli läkva tan tätanna oo!
1813	Huh, when it's hot!	Huh, kun on kuuma!	Huh, na oo läkva!
1814	WEATHER, RAIN, SNOW	SÄÄ, SADE, LUMI	NISTA, VAMLY, LUM
1815	Do you have a rainy autumn?	Onko teillä sateinen syksy?	Oofko jasi vamlyva enkalno?
1816	Today it rains, yesterday was bad weather.	Tänään sataa, eilenkin oli huono ilma.	Tätanna vamlyy, edtanna ooen ahvova nista.
1817	Continuous rains are already bothering you.	Ainaiset sateet kyllästyttävät jo.	Kinava vamlysi ahfulaaf ripnen.
1818	Is it then a bad thing that it rains?	Onko sitten paha asia, että sataa vettä?	Ooko itne ahva so, syt vamlyy?
1819	The tour was not organized because it was raining.	Tutustumismatkaa ei järjestetty, koska satoi.	Vikadaate rotuo ej jäärenta, syfor vamlyyen.
1820	I'm afraid there will be rain.	Pelkäänpä, että tulee sade.	Aj raak, syt uut vamly.
1821	Be sure to bring your umbrella!	Ottakaa ehdottomasti sateenvarjo mukaan!	Aap jasi ifoejli vamlysefvo tuvi!
1822	Suddenly it started to rain.	Yhtäkkiä alkoi sataa.	Sadna nööen vamlyy.
1823	Meanwhile, while we were in the store, a heavy rain broke out.	Sillä välin, kun olimme kaupassa, puhkesi rankkasade.	Itvälna, na ajsi ooen in fäflo, autinlireek stakamvamly.
1824	Look, it's raining!	Katso, sataa vettä!	Kaa ja, vamlyy!
1825	We get wet in the rain.	Me kastumme sateessa.	Ajsi autvoot in vamly.
1826	We stood in the rain waiting for a taxi.	Seisoimme sateessa ja odotimme taksia.	Ajsi tiisen in vamly a obnooen tiftuvö.
1827	The rain has almost stopped.	Sade on melkein lakannut.	Vamly oo rafli öönen.
1828	Fortunately, the rain stopped.	Onneksi sade lakkasi.	Sakmu vamly öönen.
1829	The rain had already passed.	Sade meni jo ohi.	Vamly tuuen ripnen sidut.
1830	There will be a thunderstorm.	Tulee varmaan ukonilma.	Uutne mejvarmli sähnista.
1831	A thunderstorm is coming.	On tulossa ukkonen.	Sähnista tuunen.
1832	Look, it's snowing!	Katso, sataa lunta!	Kaa, lumlyy!
1833	You probably have a lot of snow in the winter.	Teillä on varmaan talvella paljon lunta.	Jasi oof mejvarmli kalna piri lum.
1834	SUBSTANCE	AINE	MO
1835	What material is that statue made of?	Mistä materiaalista tuo patsas on tehty?	Ko-ob tomo oo ät kaukavto tooen?
1836	The product is made of wood, metal, plastic, paper.	Tuote on tehty puusta, metallista, muovista, paperista.	To oo tooen ob pum, met, kaumo, papr.
1837	Gases include: oxygen, nitrogen, hydrogen, helium, methane, etc.	Kaasuja ovat: happi, typpi, vety, helium, metaani jne.	Hamsi oo: moO, moN, moH, moHe, methanmo aid.
1838	The substances are in the form of gas, liquid, solid and plasma.	Aineiden olomuotoja ovat kaasu, neste, kiinteä aine ja plasma.	Mosi okausi oo ham, vom, rummo a plasmo.
1839	Water can be ice, liquid and vapor.	Vesi voi olla jäänä, nesteenä ja höyrynä.	Vam voo oo li kalm, vom a vomhom.
1840	NATURE PLACE	LUONNONPAIKKA	BIOLO IPLO
1841	They talk about nature protection.	He puhuvat luonnonsuojelusta.	Häsi sasaa öb bioloseefte.
1842	On Sunday it is best to go to the country.	Sunnuntaina on parasta mennä maalle.	Na jätan oo hastli tuu le nuatlo.
1843	Oh how beautiful summer fields!	Voi kuinka kauniita kesäisiä peltoja!	Voi, koli kava laknova villeilosi!
1844	There are many flowers in the garden.	Puutarhassa on paljon kukkia.	In tolsieplo oo siri kuksi.
1845	We slept a little on the grass.	Makailimme vähän ruohikolla.	Ajsi sileiooen ipri la siup.
1846	WALKING IN LAWN IS PROHIBITED	NURMIKOLLA KÄVELY KIELLETTY	LA SIUP VETUO EEJEN.
1847	On days off we often walk in the woods.	Vapaapäivinä kävelemme usein metsässä.	Na fritansi ajsi vetuu sina in pul.
1848	The forest is rich in mushrooms and berries.	Metsässä on paljon sieniä ja marjoja.	In pul oo siri fungsi a bersi.
1849	What is Russia's highest mountain?	Mikä on Venäjän korkein vuori?	Ko oo Ruslo-of ylst pimöyl.
1850	It is good to spend your holidays in the mountains.	Vuoristossa on hyvä viettää lomaa.	In sipimöyl oo hava notee urtöno.
1851	The hotel is located on a mountain.	Hotelli sijaitsee vuorella.	Rotuotol loo la pimöyl.
1852	The hotel is right by the sea.	Hotelli on aivan meren rannalla.	Rotuotol oo fulli la fovamlo vamdim.
1853	It is wonderful to walk along the sea.	On ihanaa kävellä meren rantaa pitkin.	Oo fainkava vetuu luvi fovamlo vamdim.
1854	Birds fly above the sea.	Linnut lentelevät meren yllä.	Sifsi sihuu yltalla fovamlo.
1855	There is a good beach nearby.	Tässä lähellä on hyvä uimaranta.	Täin raf oo hava vuvamdim.
1856	We were sunbathing every day at the beach.	Otimme joka päivä aurinkoa uimarannalla.	Ajsi aapen na ki tansi aurlo la vuvamdim.
1857	They went already on the beach.	He lähtivät jo rannalle.	Häsi urtuuen ripnen le vamdim.
1858	He is not visible at all on the beach.	Häntä ei näy ollenkaan rannalla.	Hä autkaa ejri la vamdim.
1859	There were a lot of boys on the beach.	Rannalla oli paljon poikia.	La vamdim ooen siri sonsi.
1860	The other shore is not visible.	Toista rantaa ei näy.	Duva vamdim ej autkaa.
1861	Look, the land is already visible!	Katso, maata on jo näkyvissä!	Kaa, mol ripnen autkaa!
1862	How to get to the island?	Miten saarelle pääsee?	Koli le vammol aftuu?
1863	Finland has many lakes and marshes.	Suomessa on paljon järviä ja soita.	In Finlo oo siri divamlosi a vampulsi.
1864	Are your lakes deep?	Ovatko järvenne syviä?	Ooko jasi divamlosi dipva?
1865	There are many fish in this lake.	Tässä järvessä on paljon kaloja.	Täin divamlo oo siri fissi.
1866	The flow of water is strong here.	Virta on tässä voimakas.	Vamtul oo täin pova.
1867	CONSTRUCTION	RAKENTAMINEN	TOOLTE
1868	A subway will be built in Helsinki.	Helsinkiin rakennetaan metroa.	In Helsink toolta almoltuvö
1869	Here comes the hotel.	Tähän tulee hotelli.	Tu tä uutne rotuotol.
1870	What building is that?	Mikä rakennus tuo on?	Ko tol oo ät?
1871	It's the Lenin Library.	Se on Lenin-kirjasto.	It oo Lenin-sikirlö.
1872	I wallpapered the walls of my bedroom.	Tapetoin makuhuoneeni seinät.	Aj volpaapren ajof leiotolik volsi.
1873	PASSAGEWAY	KULKUVÄYLÄ	TUUTLALITUL
1874	Did you find the road on the map?	Löysitkö tien kartalta?	Keesko jasi tul el kaloto?
1875	The road there is very beautiful.	Sinne menevä tie on hyvin kaunis.	Itle tuuva tul oo hali kava.
1876	We stood on the bridge and watched the moon.	Seisoimme sillalla ja katselimme kuuta.	Ajsi tiisen la yllitulos a sikaaen monlo.
1877	Odessa has beautiful park and beach streets.	Odessassa on kauniita puistokatuja ja rantakatuja.	In Odessa oo kava taunpultulsi a vamdim tauntulsi.
1878	Let's go for a walk on the beach promenade!	Mennään vähän kävelemään rantakadulle!	Tuuta ipri vetuu le vamdim fotul!
1879	St. Petersburg has wide streets.	Pietarissa on leveitä katuja.	In Petersburg oo leiva fotulsi.
1880	He lives on Nevsky avenue.	Hän asuu Nevskin valtakadulla.	Hä eloo la Nevsk pitauntul.
1881	There is a pedestrian tunnel over there.	Tuolla on jalankulkutunneli.	Ätla oo tuveete almoltul.
1882	There is a direct metro line.	Sinne on suora metrolinja.	Itle oo reiva almoltuvö reituo.
1883	Through which gate is the entrance to the Kreml?	Minkä portin kautta on sisäänkäynti Kremliin?	Intuni ko pöouv oo inuttuo tu Kreml?
1884	The bus was waiting for the group at the exit.	Bussi odotti ryhmää uloskäynnin luona.	Siotuvö obnooen iksio tut niuttuo.
1885	The entrance is from the yard side, third staircase.	Sisäänkäynti on pihan puolelta, kolmas rappu.	Inuttuo oo el tolleilo sid, treva yyloslo
1886	NO ENTRY	EI SISÄÄNKÄYNTIÄ	EJ INUTTUO
1887	EXIT TO THE CITY	ULOSKÄYNTI KAUPUNGILLE	NIUTTUO LE TAUN
1888	Where do these stairs lead?	Mihin vievät nämä portaat?	Kotu täsi yylossi gaa?
1889	Let's go down the escalator.	Mennään alas liukuportaita.	Tuuta lytu luvi gliuyylossi.
1890	Let's go by the elevator!	Mennään hissillä!	Tuuta vy yllyvö!
1891	The elevator is at the other end of the corridor.	Hissi on käytävän toisessa päässä.	Yllyvö oo in duva ön tuotolik.
1892	Press the fifth floor button!	Painakaa viidennen kerroksen nappia!	Polyy jasi fivva leiyl klikvo!
1893	Elevator does not work, must go down stairs.	Hissi ei toimi, täytyy mennä portaita alas.	Yllyvö ej otee, piit tuu lytu yylossi.
1894	Did you come up the stairs or take the elevator?	Tulitteko ylös portaita pitkin vai hissillä?	Uutenko jasi yltu luvi yylossi taj vy yllyvö?
1895	ROOM	HUONE	TOLIK
1896	The door is locked.	Ovi on lukossa.	Ouv oo luuken.
1897	The window offers excellent views.	Ikkunasta avautuu erinomainen näköala.	Ur kauv autouup erhava vokaleilo.
1898	Our windows are not very clean.	Meidän ikkunamme eivät ole erityisen puhtaat.	Ajsiof kauvsi ej oo eröli klinva.
1899	Would you open the window?	Avaisitteko ikkunan?	Ouupifko jasi kauv?
1900	Please close the window!	Ole hyvä ja sulje ikkuna!	Oo ja hava a puoo kauv!
1901	Could you tell me where you have the toilet?	Sanoisitteko, missä teillä on WC?	Saaifko jasi, koin jasi oof urevlo?
1902	The hallway and bathroom have a mirror.	Eteisessä ja kylpyhuoneessa on peili.	Intutolik a battolik oof rekato.
1903	There are also Finnish saunas in Russia.	Venäjällä on myös suomalaisia saunoja.	In Ruslo oo ali finva läktolsi.
1904	Your suitcase is in the corner.	Matkalaukkunne on nurkassa.	Jaof rotuobäg oo in änglo.
1905	She's in the kitchen preparing dinner.	Hän on keittiössä valmistamassa illallista.	Hä oo in kulo toonen ennatem.
1906	RESIDENCE	ASUMINEN	ELOOTE
1907	In which city do you live?	Missä kaupungissa te asutte?	Koin taun jasi eloo?
1908	He lives in Turku.	Hän asuu Turussa.	Hä eloo in Turku
1909	He has lived all his life in the countryside.	Hän on asunut koko elämänsä maaseudulla.	Hä oo elooen kio häof eo la nuatlo.
1910	Earlier they lived in the country.	Aikaisemmin he asuivat maalla.	Lynapirli häsi elooen la nuatlo.
1911	I don't like living in a big city.	En pidä suurkaupungissa asumisesta.	Aj ej öbraa eloo in pitaunlo.
1912	He lives in part of the city called Kallio.	Hän asuu kaupunginosassa nimeltä Kallio.	Hä eloo in taunloik vi ersa Kallio.
1913	Which street do you live on?	Millä kadulla te asutte?	Kola tauntul jasi eloo?
1914	Do you live with your parents?	Asutteko te vanhempien luona?	Elooko jasi tut mamsi?
1915	They live in the same house.	He asuvat samassa talossa.	Häsi eloo in re tol.
1916	Which dormitory do you live in?	Missä asuntolassa sinä asut?	Koin sielo ja eloo?
1917	On what floor is your apartment?	Missä kerroksessa teidän asuntonne on?	Koin leiyl oo jasiof elo?
1918	They have moved to a new apartment.	He ovat muuttaneet uuteen asuntoon.	Hä oo erlotuuen intu novva elo.
1919	Have you already been in his new apartment?	Oletko jo ollut hänen uudessa asunnossaan?	Ooko ja ripnen ooen in häof novva elo?
1920	She has a very cozy home.	Hänellä on hyvin viihtyisä koti.	Hä oof hali nohamiva bal.
1921	How much do you pay for a three-roomed, with all amenities equipped apartment?	Paljonko te maksatte kolmihuoneisesta kaikin mukavuuksin varustetusta asunnosta?	Kori jasi rovfaa tretolikva vi ki hamivaosi vivopaaen elo?
1922	It's quite cozy here.	Täällä on aika kodikasta.	Täin oo hali balva.
1923	Your room is very cozy.	Huoneesi on hyvin viihtyisä.	Jaof tolik oo hali nohamiva.
1924	We rented a room to a student.	Olemme vuokranneet huoneen eräälle opiskelijalle.	Ajsi oo lonfääfen tolik for ö apdaavjo.
1925	How you have settled into a house?	Miten te olette asettautuneet taloksi?	Koli oo jasi siautlopaaen intu tol.
1926	ACCOMMODATION	MAJOITUS	PAIPTOOLTE
1927	The administrative officer on duty is at the checkout.	Päivystävä hallintovirkailija on kassassa.	Tuaftööva pöte törojo oo in rovfalo.
1928	Do you have available rooms?	Onko teillä vapaita huoneita?	Oofko jasi friva toliksi?
1929	Yes, single and double rooms.	On, yhden- ja kahdenhengen huoneita.	Oo, is- a duhojo toliksi
1930	I demand a single room.	Vaadin yhden hengen huonetta.	Aj teniid ishojo tolik.
1931	We were offered a room with a balcony at the hotel.	Meille tarjottiin hotellissa huone, jossa on parveke.	For ajsi oftukaaenta in rotuotol tolik, koin oo bälk.
1932	All rooms have a bath.	Kaikissa huoneissa on kylpyamme.	In ki toliksi oo batves.
1933	The room is ordered by your name.	Huone on tilattu teidän nimellenne.	Tolik oo tiifen vi jasiof ersa.
1934	The key must be left to the floor guard.	Avain on jätettävä kerrospäivystäjälle.	Lukvo piit tejää le leiyl tuaftööjo.
1935	Don't lose the key!	Älä kadota avainta!	Ej pakauur lukvo!
1936	Which hotel do you live in?	Missä hotellissa sinä asut?	Koin rotuotol ja eloo?
1937	Do you happen to know what room she is in?	Satutteko tietämään, missä huoneessa hän on?	Saatko jasi daa, koin tolik hä oo?
1938	Who do you live in the same room with?	Kenen kanssa te asutte samassa huoneessa?	Kojovi jasi eloo in re tolik?
1939	We have different rooms.	Meillä on eri huoneet.	Ajsi oof er toliksi.
1940	In the foyer, there are some kiosks on the first floor.	Eteisaulassa, ensimmäisessä kerroksessa on joitakin kioskeja.	In edtolik, in isva leiyl oo ösi ipfäflosi.
1941	Downstairs on the first floor is an exhibition.	Alhaalla ensimmäisessä kerroksessa on näyttely.	Lyla in isva leiyl oo tekahäp.
1942	TIME	KELLONAIKA	NOVO NO
1943	What's the time?	Paljonko kello on?	Kono?
1944	What time is it now?	Paljonko kello on nyt?	Kono nen?
1945	It is now / only / already five / seven.	Kello on nyt / vasta / jo viisi / seitsemän.	Novo oo nen / denen / ripnen fiv / sev.
1946	five / ten (minutes) / quarter to nine / ten / three / eight.	viittä / kymmentä (minuuttia) / varttia vaille yhdeksän / kymmenen / kolme / kahdeksan.	fiv / bas (censi) / kvaik en nin / bas / tre / aht.
1947	quarter past four / half past twelve Moscow time.	varttia yli neljä / puoli yksi Moskovan aikaa	kvaik ne kva / duik is Moskov no.
1948	At what time do you come?	Moneltako sinä tulet?	Kona ja uut?
1949	I come / come back / He came at two / one / six by day / at night / in the evening.	Tulen / tulen takaisin / Hän tuli kahdelta / yhdeltä / kuudelta päivällä / yöllä / illalla.	Aj uut / uut retu / Hä uuten na du / na is / na sik tanna / na nat / na ennat
1950	Train leaves / comes, arrives	Juna lähtee / tulee, saapuu	Fetuvö urtuu / uut
1951	The plane leaves for Berlin	Lentokone Berliiniin lähtee	Huvö tu Berlin urtuu
1952	Breakfast is therefore	Aamiainen on siis	Entanem oo syklirli
1953	We usually got up	Nousimme yleensä	Ajsi yylen tihna
1954	We must rise	Meidän on noustava	Ajsi piit yyl
1955	I woke up today	Heräsin tänään	Aj önnuuken tätanna
1956	Let's meet / gathering	Tavataan / kokoontuminen on	Ögkaata / relotuo oo
1957	The leader will come around seven.	Johtaja tulee seitsemän maissa.	Diirjo uut sujli na sev
1958	exactly / already at eight / only at eight / at seven.	tasan / jo kahdeksalta / vasta kahdeksalta / seitsemältä.	talrili / ripnen na aht / denen na aht / na sev.
1959	half past one / at one.	puoli kahdelta / yhdeltä.	duik en du / na is
1960	The bus goes after an hour / two hours.	Bussi menee tunnin / kahden tunnin kuluttua.	Siotuvö tuu din / ne du dinsi.
1961	for a few / after ten / three minutes / one minute	muutaman / kymmenen / kolmen / yhden minuutin jälkeen	ösi / ne bas / tre censi / is cen
1962	The stop at the port will last..	Pysähdys satamassa kestää..	Autstoopte in vuvölo noaap..
1963	There are two hours left the trip.	Matkaa on jäljellä kaksi tuntia.	Rotuo oo la järi du dinsi.
1964	We were only an hour on the journey.	Olimme matkalla vain tunnin.	Ajsi ooen na rotuo erisli din.
1965	It's about an hour’s journey there.	Sinne on noin tunnin matka.	Itle oo sujli din rotuo.
1966	We waited a whole hour for you.	Odotimme teitä kokonaisen tunnin.	Ajsi obnooen jasi kiova din.
1967	She read the book in two hours.	Hän luki kirjan kahdessa tunnissa.	Hä riiken kirto in du dinsi.
1968	The restaurant is open to eleven.	Ravintola on auki yhteentoista.	Roemlo oo oup ättu basis.
1969	The lunch hour is from one to two.	Ruokatunti on yhdestä kahteen.	Emdin oo ut is tu du.
1970	Set the clock / alarm clock to ring at six o'clock in the morning!	Pistä kello / herätyskello soimaan kuudelta aamulla!	Paa novo / teönnuknovo authööv na sik entan!
1971	My watch is not running / has stopped, I probably forgot to pull it.	Kelloni ei käy / on pysähtynyt, varmaan unohdin vetää sen.	Ajof novo ej tuu / oo autstoopen, mejvarmli aj öösen poaag it.
1972	The bells are striking in the Spask Tower.	Kellot lyövät Spaskin tornissa.	Belsi hääknen in Spask taptol.
1973	DAY AND NIGHT (24 hours)	VUOROKAUSI	FON
