English	Finnish	Vosa
statistics	tilastotiede	 nodaridä
climate science	ilmastotiede	 homstadä
archeology	muinaistiede	 enendä
entomology	hyönteistiede	 pegdä
humanities	ihmistiede	 mämdä
behavioral science	käyttäytymistiede	 cuodä
mineralogy	kivennäistiede	 kammodä
jurisprudence	oikeustiede	 ratafdä
nutrition science	ravitsemustiede	 roeemdä
economics	taloustiede	 rostadä
agricultural science	maataloustiede	 vilrostadä
business administration	liiketaloustiede	 fäfrostadä
economics	kansantaloustiede	 hyjrostadä
macroeconomics	makrotaloustiede	 ylpirostadä
microeconomics	mikrotaloustiede	 fosikrostadä
forestry	metsätaloustiede	 pulrostadä
education	kasvatustiede	 haeöpiirdä
literary studies	kirjallisuustiede	 kirsitodä
public health science	kansanterveystiede	 hyjterdä
genetics	perinnöllisyystiede	 eöneafvaodä
translation studies	käännöstiede	 vosmuodä
psychology	sielutiede	 hojdä
ornithology	lintutiede	 sifdä
agricultural science	maanviljelytiede	 molvildä
methodology	menetelmätiede	 culitedä
forestry	metsätiede	 puldä
communication science	viestintätiede	 tusadä
demography	väestötiede	 joridä
hydrology	vesistötiede	 sivamlodä
pedagogy	pedagogia	 haeöpiirda
genealogy	genealogia	 cejdakada
mineralogy	mineralogia	 kammoda
methodology	metodologia	 lioda
ideology	ideologia	 ide
geology	geologia	 moldä
ore geology	malmigeologia	 metkammoldä
soil geology	maaperägeologia	 almoldä
archeology	arkeologia	 unobdä
maritime archaeology	meriarkeologia	 fovamlounobdä
theology	teologia	 usdä
morphology	morfologia	 kaudav
biology	biologia	 biodä
molecular biology	molekyylibiologia	 simoikbiodä
systems biology	systeemibiologia	 lijärbiodä
marine biology	meribiologia	 fovamlobiodä
plant biology	kasvibiologia	 epbiodä
sociobiology	sosiobiologia	 sosbiodä
psychobiology	psykobiologia	 miterbiodä
chronobiology	kronobiologia	 nobiodä
aerobiology	aerobiologia	 hombiodä
microbiology	mikrobiologia	 fosikbiodä
cryobiology	kryobiologia	 kalbiodä
cell biology	solubiologia	 solbiodä
radiation biology	säteilybiologia	 katiikbiodä
soil biology	maaperäbiologia	 almolbiodä
forest biology	metsäbiologia	 pulbiodä
radiology	radiologia	 eks-katikda
cardiology	kardiologia	 hemoevda
epidemiology	epidemiologia	 retleituoda
bacteriology	bakteriologia	 baktda
Assyriology	assyriologia	 assyrdä
anesthesiology	anestesiologia	 tenukdä
sociology	sosiologia	 sosdä
sociology of language	kielisosiologia	 vossosdä
physiology	fysiologia	 bodevda
plant physiology	kasvifysiologia	 epbodevda
etiology	etiologia	 retsyda
pharmacology	farmakologia	 termodä
ecology	ekologia	 ekodä
social ecology	sosiaaliekologia	 sosekodä
plant ecology	kasviekologia	 epekodä
gynecology	gynekologia	 ämretda
forest ecology	metsäekologia	 pulekodä
lexicology	leksikologia	 sisatodav
toxicology	toksikologia	 toksmodä
oncology	onkologia	 pirevda
mycology	mykologia	 fungda
psychology	psykologia	 miterdä
social psychology	sosiaalipsykologia	 sosmiterdä
criminal psychology	kriminaalipsykologia	 pösorekmiterdä
child psychology	lastenpsykologia	 ipmämmiterdä
animal psychology	eläinpsykologia	 pemiterdä
criminal psychology	rikospsykologia	 pösorekmiterdä
educational psychology	kasvatuspsykologia	 haeöpiirmiterdä
developmental psychology	kehityspsykologia	 devmiterdä
genetic psychology	perinnöllisyyspsykologia	 eöneafmiterdä
school psychology	koulupsykologia	 davlomiterdä
work psychology	työpsykologia	 tömiterdä
philology	filologia	 vosliedä
seismology	seismologia	 molpitärda
cosmology	kosmologia	 kitilda
etymology	etymologia	 sanöbesda
radiology	röntgenologia	 eks-katikda
criminology	kriminologia	 pösorekda
endocrinology	endokrinologia	 ingländevda
technology	teknologia	 tekdä
food technology	elintarviketeknologia	 eonidtotekdä
information technology	informaatioteknologia	 obdafatekdä
agricultural technology	maatalousteknologia	 vilrostatekdä
wood technology	puuteknologia	 pumtekdä
forest technology	metsäteknologia	 pultekdä
limnology	limnologia	 divamloda
phonology	fonologia	 sahödä
chronology	kronologia	 norisoda
immunology	immunologia	 ögretda
anthropology	antropologia	 mämda
social anthropology	sosiaaliantropologia	 sosmämda
cultural anthropology	kulttuuriantropologia	 liemämda
typology	typologia	 typdav
andrology	andrologia	 märetda
hydrology	hydrologia	 sivamlodä
venereology	venerologia	 cejsidretda
serology	serologia	 hemovomda
virology	virologia	 virda
meteorology	meteorologia	 nistadä
metrology	metrologia	 pipridä
petrology	petrologia	 bönoilmoda
urology	urologia	 urevomda
neurology	neurologia	 nervterda
futurology	futurologia	 nenoda
hematology	hematologia	 hemoda
climatology	klimatologia	 homstadä
dermatology	dermatologia	 laevretda
rheumatology	reumatologia	 reumruevretda
perinatology	perinatologia	 nöeipnoda
pathology	patologia	 retdavda
plant pathology	kasvipatologia	 epretdavda
psychopathology	psykopatologia	 miretdavda
cosmetology	kosmetologia	 kahakeda
paleontology	paleontologia	 unbioda
gerontology	gerontologia	 unjodä
histology	histologia	 vivevda
Christology	kristologia	 kristhojodav
cytology	sytologia	 solda
embryology	embryologia	 enöda
chemistry	kemia	 kemda
crystal chemistry	kidekemia	 kidkemda
food chemistry	elintarvikekemia	 eonidtokemda
medicinal chemistry	lääkekemia	 termokemda
macromolecular chemistry	makromolekyylikemia	 ylpisimoikkemda
quantum chemistry	kvanttikemia	 kvantkemda
alchemy	alkemia	 nökemda
nuclear chemistry	ydinkemia	 ydinkemda
biochemistry	biokemia	 biokemda
radiochemistry	radiokemia	 hödavökemda
thermochemistry	termokemia	 lakkemda
microchemistry	mikrokemia	 fosikkemda
petrochemical	petrokemia	 oilkemda
agricultural chemistry	maanviljelyskemia	 molviilkemda
wood chemistry	puukemia	 pukemda
electrochemistry	sähkökemia	 sähkemda
thermochemistry	lämpökemia	 lakkemda
ergonomics	ergonomia	 töculiteda
economy	ekonomia	 rostada
agricultural economics	maatalousekonomia	 vilrostada
forest economics	metsäekonomia	 pulrostada
agronomy	agronomia	 divilda
astronomy	astronomia	 kitildä
gastronomy	gastronomia	 haemda
taxonomy	taksonomia	 paersioda
anatomy	anatomia	 vevda
plant anatomy	kasvianatomia	 epvevda
geometry	geometria	 piprida
plane geometry	tasogeometria	 talpiprida
solid geometry	avaruusgeometria	 kitilpiprida
trigonometry	trigonometria	 trerisoda
pedagogy	pedagogiikka	 haeöpiirda
Steinerpedagogy	steinerpedagogiikka	 steiner-haeöpiirda
logic	logiikka	 tuvisda
hydraulics	hydrauliikka	 vomlouysrida
dynamics	dynamiikka	 uopoda
thermodynamics	termodynamiikka	 lakporimuoda
aerodynamics	aerodynamiikka	 homuopoda
electrodynamics	elektrodynamiikka	 ipsähuopoda
electrodynamics	sähködynamiikka	 sähuopoda
biorhythmics	biorytmiikka	 biorytmda
mechanics	mekaniikka	 mekanda
quantum mechanics	kvanttimekaniikka	 kvantmekanda
celestial mechanics	taivaanmekaniikka	 yllomekanda
precision mechanics	hienomekaniikka	 väkamekanda
civil engineering	maarakennusmekaniikka	 moltooltemekanda
botany	botaniikka	 epda
technique	tekniikka	 tekda
analog technology	analogiatekniikka	 lireobtekda
electrical power engineering	sähkövoimatekniikka	 sähpotekda
military technology	sotatekniikka	 siptekda
stream of consciousness technique	tajunnanvirtatekniikka	 dafituotekda
security technology	turvatekniikka	 turtekda
semiconductor technology	puolijohdetekniikka	 duiksähdirmotekda
speech technology	puhetekniikka	 sasatekda
telecommunications	teletekniikka	 fartusatekda
traffic engineering	liikennetekniikka	 tustatekda
computer technology	tietokonetekniikka	 davötekda
aeronautical engineering	lentokonetekniikka	 huvötekda
offshore technology	offshoretekniikka	 lafovamlotekda
weapons technology	asetekniikka	 sipvotekda
digital technology	digitaalitekniikka	 kasiötekda
genetic engineering	geenitekniikka	 gentekda
sound engineering	äänitekniikka	 hötekda
marine technology	meritekniikka	 fovamlotekda
mining technology	vuoritekniikka	 pimöyltekda
collage technique	kollaasitekniikka	 vipatötotekda
robotics	robottitekniikka	 vöjotekda
row technique	rivitekniikka	 leijärtekda
HVAC technology	LVI-tekniikka	 LVT-tekda
home technology	kodintekniikka	 baltekda
nuclear technology	ydintekniikka	 ydintekda
brush technique	sivellintekniikka	 heörpavotekda
video technology	videotekniikka	 kahötotekda
geotechnics	geotekniikka	 moltekda
biotechnology	biotekniikka	 biotekda
radio technology	radiotekniikka	 hödavötekda
driving technique	ajotekniikka	 katuotekda
galvanotechnology	galvanotekniikka	 moTsnpatekda
printing technology	painotekniikka	 polykirtekda
printing technology	kirjapainotekniikka	 kirtolötekda
microtechnology	mikrotekniikka	 fosiktekda
pyrotechnics	pyrotekniikka	 rosbönsuuttekda
small-cycle technology	pienjaksotekniikka	 ipveivnotekda
information technology	tietotekniikka	 datekda
production technology	tuotantotekniikka	 tootekda
aeronautical engineering	lentotekniikka	 huotekda
sound technology	äänentoistotekniikka	 pödutetakda
playing technique	soittotekniikka	 höövtekda
thin film technology	ohutkalvotekniikka	 tinlaototekda
servo technology	servotekniikka	 auttejuspatekda
laser technology	lasertekniikka	 laserkatiktekda
municipal engineering	kunnallistekniikka	 diltekda
audio editing technology	äänenmuokkaustekniikka	 pökaumuutekda
painting technique	maalaustekniikka	 kämootekda
measurement technology	mittaustekniikka	 pipriatekda
photographic technique	valokuvaustekniikka	 katkatoaptekda
construction technology	rakennustekniikka	 toltekda
hydraulic engineering	vesirakennustekniikka	 vamtooltekda
shipbuilding technology	laivanrakennustekniikka	 vuvötooltekda
road construction technology	tienrakennustekniikka	 tultooltekda
sound recording technology	äänentallennustekniikka	 pönoturpatekda
conference technology	kokoustekniikka	 visahäptekda
delivery technology	toimitustekniikka	 fätogatekda
lighting technology	valaistustekniikka	 kaattekda
manufacturing technology	valmistustekniikka	 tootekda
low frequency technology	pientaajuustekniikka	 iptihritekda
high-frequency technology	suurtaajuustekniikka	 pitihritekda
space technology	avaruustekniikka	 kitiltekda
recording technology	äänitystekniikka	 höslootekda
high-tech	huipputekniikka	 ylsttekda
farming technology	viljelytekniikka	 viiltekda
refrigeration technology	kylmätekniikka	 kaltekda
communication technology	viestintätekniikka	 tusaatekda
electrical engineering	sähkötekniikka	 sähtekda
environmental technology	ympäristötekniikka	 raulotekda
control technology	säätötekniikka	 juspatekda
mechatronics	mekatroniikka	 mekansähda
electronics	elektroniikka	 ipsähda
bioelectronics	bioelektroniikka	 bioipsähda
microelectronics	mikroelektroniikka	 fosikipsähda
optoelectronics	optoelektroniikka	 linsipsähda
consumer electronics	kulutuselektroniikka	 tetoriipipsähda
rhetoric	retoriikka	 sasavoda
physique	fysiikka	 fysda
high-energy physics	suurenergiafysiikka	 piporifysda
plasma physics	plasmafysiikka	 plasmofysda
metaphysics	metafysiikka	 obessyeovisda
atomic physics	atomifysiikka	 moikfysda
quantum physics	kvanttifysiikka	 kvantfysda
nuclear physics	ydinfysiikka	 ydinfysda
geophysics	geofysiikka	 molfysda
biophysics	biofysiikka	 biofysda
astrophysics	astrofysiikka	 kitilfysda
cryophysics	kryofysiikka	 kalfysda
agricultural physics	maanviljelysfysiikka	 molviilfysda
radiation physics	säteilyfysiikka	 katiikfysda
cold physics	kylmäfysiikka	 kalfysda
problematic	problematiikka	 ongda
telematics	telematiikka	 fartusapiprida
kinematics	kinematiikka	 pipriuoda
thematics	tematiikka	 obsoda
mathematics	matematiikka	 risoda
statistical mathematics	tilastomatematiikka	 nodarisoda
actuarial science	vakuutusmatematiikka	 roturrisoda
systematics	systematiikka	 lijärda
pragmatics	pragmatiikka	 liotevoida
dogmatism	dogmatiikka	 usdavda
automatism	automatiikka	 autteda
informatics	informatiikka	 obdafada
numismatics	numismatiikka	 rovda
pneumatics	pneumatiikka	 ögpohomda
statics	statiikka	 talhevrida
electrostatics	sähköstatiikka	 sähtalhevrida
ethics	etiikka	 rattarda
exegesis	eksegetiikka	 uskirtoklirsada
professional ethics	ammattietiikka	 votörattarda
cosmetics	kosmetiikka	 kahakeda
natural cosmetics	luonnonkosmetiikka	 biokahakeda
arithmetic	aritmetiikka	 risodav
genetics	genetiikka	 genda
kinetics	kinetiikka	 uoda
medical ethics	lääkärinetiikka	 diterjo rattarda
phonetics	fonetiikka	 sahöda
cybernetics	kybernetiikka	 mämvöcuda
bioethics	bioetiikka	 biorattarda
poetics	poetiikka	 sikausadav
dietetics	dietetiikka	 emvaotoda
aesthetics	estetiikka	 kavkada
didactics	didaktiikka	 padavda
semantics	semantiikka	 obmarkda
robotics	robotiikka	 vöjoda
semiotics	semiotiikka	 tusamarkda
exoticism	eksotiikka	 farhamida
asepsis	aseptiikka	 ejfosikpeda
optics	optiikka	 linsda
crystal optics	kideoptiikka	 kidlinsda
electron optics	elektronioptiikka	 ipsählinsda
fiber optics	kuituoptiikka	 fibmolinsda
fiber optics	lasikuituoptiikka	 glafibmolinsda
logistics	logistiikka	 gagda
forensics	kriminalistiikka	 pösorekdakadav
journalism	journalistiikka	 daoteeda
orientalism	orientalistiikka	 tevhylvosliedaka
English studies	anglistiikka	 engdä
stylistics	stilistiikka	 tyldav
ballistics	ballistiikka	 obhudä
short story	novellistiikka	 ipkakirda
Romance studies	romanistiikka	 romanvosdaka
German studies	germanistiikka	 germvosliedaka
Fennistics	fennistiikka	 finvosdaka
Ugricism	ugristiikka	 ugrvoshyjdaka
Fenno-Ugric studies	fennougristiikka	 finugrvoshyjdaka
folklore	folkloristiikka	 hylenliodaka
Russian studies	russistiikka	 rusvosliedaka
statistics	statistiikka	 nodaridä
Slavic studies	slavistiikka	 slavvoslieda
linguistics	lingvistiikka	 vosdä
text linguistics	tekstilingvistiikka	 kirvosdä
sociolinguistics	sosiolingvistiikka	 sosvosdä
psycholinguistics	psykolingvistiikka	 mistahäpvoscudaka
neurolinguistics	neurolingvistiikka	 daevvosdä
forensic linguistics	oikeuslingvistiikka	 ratafvosdä
diagnostics	diagnostiikka	 retkada
X-ray diagnostics	röntgendiagnostiikka	 eks-katikretkada
acoustics	akustiikka	 tilhöda
room acoustics	huoneakustiikka	 tolikhöda
building acoustics	rakennusakustiikka	 tolhöda
electroacoustics	sähköakustiikka	 sähhöda
astronautics	astronautiikka	 kitilhuuda
analytics	analytiikka	 rorikada
learning	oppi	 dav
shooting lessons	ampumaoppi	 suutdav
heraldry	vaakunaoppi	 pöermarkdav
commodity theory	tavaraoppi	 fäftodav
social studies	yhteiskuntaoppi	 visoslodav
poetic meter	runomittaoppi	 kausapipridav
cartography	karttaoppi	 kalotodav
urban planning	asemakaavaoppi	 culokasotodav
crystallography	kideoppi	 kiddav
speech therapy	puheoppi	 sasadav
business studies	liikeoppi	 uodav
pharmacology	lääkeaineoppi	 termodav
phonetics	äänneoppi	 sahödav
syntax	lauseoppi	 lusadav
methodology	metodioppi	 liodav
signology	merkkioppi	 markdav
grammar	kielioppi	 vosdav
school grammar	koulukielioppi	 davlovosdav
metallurgy	metallioppi	 metdav
stylistics	tyylioppi	 tyldav
atomic theory	atomioppi	 moikdav
rhythm theory	rytmioppi	 rytmdav
phonics	äänioppi	 hödav
typology	tyyppioppi	 typdav
color theory	värioppi	 kädav
finance	finanssioppi	 rovdav
pathology	tautioppi	 retdav
otology	korvatautioppi	 höevretdav
plant pathology	kasvitautioppi	 epretdav
pediatrics	lastentautioppi	 ipmämretdav
andrology	miestentautioppi	 märetdav
gynecology	naistentautioppi	 ämretdav
cardiology	sydäntautioppi	 hemoevretdav
dermatology	ihotautioppi	 laevretdav
neurology	hermotautioppi	 nervretdav
internal medicine	sisätautioppi	 inoretdav
gemology	jalokivioppi	 väkamdav
botany	kasvioppi	 epdav
jurisprudence	lainoppi	 pösodav
oncology	kasvainoppi	 pirevdav
Christianity	kristinoppi	 kristdav
zoology	eläinoppi	 pedav
doctrinal	uskonoppi	 usdav
natural science	luonnonoppi	 biolodav
combinatorics	kombinaatio-oppi	 visipadav
political science	valtio-oppi	 pöhyldav
separation of powers doctrine	vallanjako-oppi	 pöiikdav
group theory	joukko-oppi	 siodav
light theory	valo-oppi	 katdav
epistemology	tieto-oppi	 dadav
management theory	johto-oppi	 diirdav
administrative science	hallinto-oppi	 pötedav
nutrition	ravinto-oppi	 roemdav
morphology	muoto-oppi	 kaudav
climatology	ilmasto-oppi	 homstadav
vocabulary	sanasto-oppi	 sisatodav
rationalism	järkeisoppi	 visusdav
doctrine of justification	vanhurskauttamisoppi	 ushamuudav
creationism	luomisoppi	 novtedav
genealogy	polveutumisoppi	 autsihaardav
tissue theory	kudosoppi	 vivevdav
metrology	mittausoppi	 pipriapdav
surveying	maanmittausoppi	 molpipriapdav
forensic science	rikostutkimusoppi	 pösorekdakadav
poetics	runousoppi	 sikausadav
basic doctrine	perusoppi	 besdav
virology	virusoppi	 virdav
education	kasvatusoppi	 haeöpiirdav
teaching doctrine	opetusoppi	 padavdav
atonement	sovitusoppi	 tehasopdav
information theory	tiedotusoppi	 dafaadav
doctrine of redemption	lunastusoppi	 öfäfdav
pharmaceutical science	lääkkeenvalmistusoppi	 termotoodav
accidence	taivutusoppi	 sakaudav
strength theory	lujuusoppi	 ögpovaodav
divinity	jumaluusoppi	 hajovaodav
Trinity doctrine	kolminaisuusoppi	 vitrevaodav
ethics	siveysoppi	 cuhahvaodav
health education	terveysoppi	 terdav
evolutionary theory	kehitysoppi	 eodevdav
semantics	merkitysoppi	 obmarkdav
biblical exegesis	raamatunselitysoppi	 uskirtoklirsadav
diagnostics	taudinmääritysoppi	 retdeefdav
seismology	maanjäristysoppi	 molpitärdav
obstetrics	synnytysoppi	 tenöedav
arithmetic	laskuoppi	 risodav
cell biology	soluoppi	 soldav
chord	sointuoppi	 cöyhdav
racial doctrine	rotuoppi	 evaodav
computer science	tietojenkäsittelyoppi	 dasicutedav
methodology	menetelmäoppi	 culitedav
electrical engineering	sähköoppi	 sähdav
thermodynamics	lämpöoppi	 lakdav
journalism	lehdistöoppi	 sidapaprdav
environmental science	ympäristöoppi	 raulodav
skill	taito	 livote
artistic talent	kuvaamataito	 katolivote
swimming skills	uimataito	 vuulivote
oratory	puhetaito	 sasalivote
language skills	kielitaito	 voslivote
engineering skills	insinööritaito	 tekdajolivote
workmanship	ammattitaito	 votölivote
driving skills	ajotaito	 katuo livote
typography	kirjapainotaito	 kirtolölivote
know-how	tietotaito	 dalivote
flying skill	lentotaito	 huolivote
cooking skills	ruoanlaittotaito	 emtoolivote
cooking skills	keittotaito	 kuulivote
musical skill	soittotaito	 höövlivote
statesmanship	valtiomiestaito	 pöhylmälivote
civics	kansalaistaito	 hyjjolivote
photography skills	kuvaamistaito	 katoolivote
leadership	johtamistaito	 diirlivote
imitation skill	matkimistaito	 liteelivote
performance skills	esiintymistaito	 autedtukalivote
literacy	kirjoitustaito	 kiirlivote
drawing skills	piirustustaito	 kateelivote
presentation skills	esitystaito	 edtukalivote
seamanship	merenkulkutaito	 fovamtuolivote
literacy	lukutaito	 riiklivote
music reading skills	nuotinlukutaito	 rohökariiklivote
internal reading skills	sisälukutaito	 inoriiklivote
conversational skills	keskustelutaito	 visasalivote
singing ability	laulutaito	 hösalivote
expressiveness	ilmaisutaito	 kautsalivote
organizational skills	järjestelytaito	 sijäärlivote
argumentative skills	väittelytaito	 lijesaalivote
skill	erätaito	 vildmollivote
 craftsmanship	käsityötaito 	 pavetölivote
What are you or something like, would you like to be or something should be, would you not like to be or something should not be?	Millainen olet tai jokin on, haluaisit olla tai jonkin pitäisi olla, et haluaisi olla tai jonkin ei pitäisi olla?	 Kova ja oo taj ö oo, ja ofraaif oo taj ö piitif oo, ja ej ofraaif oo taj ö ej piitif oo?
There is always room for change, development, and improvement.	Aina on muutokselle, kehitykselle sijaa ja parantamisen varaa.	Kina oo tu temuo, dev culo a hapiirte res. 
Examine yourself or another object and evaluate!	Tutkiskele itseäsi tai muuta kohdetta ja arvioi!	Sidakaa ja aut taj tua obö a rokaa ja!
You can also rate a characteristic on a scale of 0-5, from least to most, with yes being k and no being e.	Voit myös pisteyttää arvoilla 0-5, vähemmästä enimpään jotakin ominaisuutta ja kyllä on k ja ei on e.	Ja voo ali parodoot rosi 0-5, ut ipripst tu rist ö ofvao a je oo j a ej oo e. 
You can make an assessment of yourself, others, a company, an actor, an institution, society, the world, the state of affairs, activities, etc.	Voit tehdä arvion itsestäsi, toisista, yrityksestä, toimijasta, laitoksesta, yhteiskunnasta, maailmasta, asioiden tilasta, toiminnasta jne.	Ja voo tee roka öb aut, tuasi, tralö, oteejo, lö, visoslo, köl, sosi sta, oteete aid. 
What are you like when you participate or do not participate in moving this site forward with your information, thoughts, ideas, advice, or links in descriptive sentences?	Millainen olet, kun osallistut tai et osallistu tämän sivuston eteenpäin viemiseen tiedollasi, ajatuksillasi, ideoillasi, neuvoillasi tai linkeilläsi kuvaavin lausein?	Kova ja oo, na ikaap taj ej ikaap intu tä sisid eddir gaate vy jaof da, soososi, ideasi, lisasi taj rutupasi kasaava lusasi?
How do you do or act?	Miten teet tai toimit?	Koli ja tee taj otee?
Stimuli for research, thinking, development, and idea generation.	Virikkeitä tutkimiseen, ajatteluun, kehittelyyn, ideointiin.	Foryssi for dakaate, soote, sideevte, ideaate. 
Read the following list with your mind, it will stimulate your thinking and attention.	Lue ajatuksella seuraava luettelo, se virittää ajatteluasi, huomiointikykyäsi.	Riik ja vy sooso deva lurik, it höjuus jaof soote, obtaarkvote. 
Like a chain reaction, ideas, thoughts, and actions begin to emerge if we get others involved.	Kuin ketjureaktio alkaa syntyä ideoita, ajatuksia, tekemisiä, jos saadaan vielä muitakin mukaan.	Li siviringysok nöö nöee ideasi, soososi, teetesi, if aafta pirnen tuasi ali tuvi. 
Do I lead to positive action in a practical, inventive way? Do I inspire or discourage?	Johdanko asiallisesti, kekseliäästi myönteiseen toimintaan, innoitanko vai saatanko vastahakoiseksi?	Diirko aj cusoli, ideavoli intu jeva oteete, ysraako aj taj vigaako aj mu ögofrava?
Words have power, words have influence, words can have an impact.	Sanoilla on mahtia, sanat vaikuttavat, sanoilla voi vaikuttaa.	Sasi oof pövovao, sasi yys, vy sasi voo yys. 
Words are used to convey information.	Sanojen avulla välittyy tieto.	Vy sasi aututtupaa da. 
Selected from the most common words in the Finnish language and supplemented if expressions from the basic words have come to mind.	Suomen kielen yleisimmistä sanoista poimittu ja täydennetty, jos on juolahtanut mieleen ilmaisuja perussanoista.	Ut finvos tihnast sasi utkaapen a fulpiiren, if oo saduuten intu mi kautsasi öb bessasi. 
Admittedly, the words are in a jumbled order, but even painting can be chaotic and it needs to be structured somehow.	Tosin sanat ovat sekavassa järjestyksessä, mutta niinhän maalimakin voi olla kaoottinen ja se pitää jäsentää kuitenkin jotenkin.	Rilsyli sasi oo in räjdali jär, mut itli a ali köl voo oo piräjva a it piit vejäär amut öli. 
When solving problems, we may encounter chaos that needs to be understood and resolved.	Ongelmia ratkaistessa voimme kohdata kaaoksia, jotka pitää ymmärtää ja selvittää.	Na ongsi gnoo ajsi voo obtuu piräjsi, kosi piit dakavoo a sokliraap. 
The second column from the left in the following table does not always contain positive expressions, nor does the right column always contain negative expressions.	Seuraavan taulukon toiseksi vasemmassa sarakkeessa ei ole aina positiiviset eikä oikeassa sarakkeessa aina negatiiviset ilmaisut.	In deva sikvaäng duva lev lyjär ej oo kina ylnulva a ej in vel lyjär kina alnulva kautsasi. 
You can edit the table to make it better and remove and add expressions, arrange it in a better order.	Voit muokata taulukkoa paremmaksi ja poistaa ja lisätä ilmaisuja, järjestää sitä parempaan järjestykseen.	Ja voo kaumuu sikvaäng mu hapir a yraap a intupaa kautsasi, jäär it intu hapir jär. 
Does this make any sense or is it so clever that it's hard to understand?	Onko tällä mitään järkeä vai onko se niin viisasta, ettei sitä ymmärrä?	Oofko tä ejö vis taj ooko it itli visva, syt ej it dakavoo?
Emotions can also be processed and these can evoke feelings as well as thoughts.	Tunteitakin voi käsitellä ja nämä voivat herättää tunteita kuten ajatuksiakin.	Ali fisi voota cutee a täsi meej teönnuuk fisi li soososi. 
It is good to learn how to deal with negative emotions and utilize positive emotions.	On hyvä oppia käsittelemään negatiiviset tunteet ja hyödyntämään positiivisia tunteita.	It oo hava daav cutee alnulva fisi a tegöroo ylnulva fisi. 
A good state of mind and diversity of thoughts help with inventive and active actions.	Hyvä mielentila ja ajatusten monimuotoisuus auttavat kekseliääseen ja aktiiviseen toimintaan.	Hava mista a soososi sikauvao vyy intu ideavova a siteva oteete. 
 PROBLEMS = O, SOLUTIONS = R	ONGELMIA = O, RATKAISUJA = R 	ONGSI = O, GNOSI = G 
O Customers don't always know exactly what they need.	O Asiakkaat eivät aina tiedä tarkalleen mitä he tarvitsisivat.	O Sojosi ej kina daa tarkli ko häsi niid. 
O Automation and rationalization reduce jobs, require a lot of capital, advanced training, and software and hardware development.	O Automaatio ja rationalisointi vähentävät työpaikkoja, vaatii paljon pääomaa, pitkälle vietyä koulutusta ja ohjelmiston ja laitteiden kehittelyä.	O Autte a visvoote riip tölosi, teniid piri päro, lule gaaen padav a siprog a vösi sideevte. 
Fruits are imported from far away, often picked raw and artificially ripened, so their nutritional value may not be as good.	O Hedelmät tuodaan kaukaa, ne usein poimitaan raakoina ja kypsytetään keinotekoisesti, näin niiden ravitsemuksellinen arvo ei välttämättä ole niin hyvä.	O Hedsi aagta ut far, itsi sina utkaapta li ravva a vaarta livoteoli, täli itsiof roeemliva ro ej nidli oo itli hava. 
O You get tired and blinded by the beautiful graphics and abundant information.	O Hienoon graafiseen ja runsaaseen tiedontulvaan väsyy ja sokaistuu.	O Intu väkava katova a siri daylvam autporiip a autejvokamuu. 
O An idea is only meaningful when it has been implemented in practice and then benefits are derived from it.	O Idea on merkityksellinen vasta sitten, kun se on toteutettu käytännössä ja siitä sitten saadaan hyötyä.	O Idea oo curoliva denen iten, na it oo riltee-en in liote a ob it iten aafta göro. 
O People are not enthusiastic about solving problems together, things are not progressing and unemployment cannot be eliminated.	O Ihmiset eivät ole innostuneita yhdessä ratkomaan ongelmia, asiat eivät etene ja työttömyyttä ei saada poistettua.	O Mämsi ej oo autysraaen revi signoo ongsi, sosi ej edtuu a töafejsta ej aaf yraapen. 
O There is a lot of information and repetition on the Internet, searching takes a lot of time.	O Internetistä löytyy paljon tietoa ja saman toistoa, hakemisessa menee paljon aikaa.	O Ut vinet autkees piri öbda a re dute, in seekte tuu piri no. 
O Self-evident, but in practice, people do not act in such a way that they save in good times and have the means to spend in bad times.	O Itsestään selvyyksiä, mutta kuitenkaan käytännössä ei toimita niin että hyvinä aikoina säästettäisiin, että huonoina aikoina olisi vara ottaa säästöistä kulutukseen.	O Autsoklirvaosi, amut in liote ej oteeta itli syt na hava nosi ropaootaif, syt na ahvova nosi ooif res aap ut ropaosi for teroriipte. 
O Everything should be entertainment and play, work and study, where do we go?	O Kaikki pitää olla viihdettä ja pelaamista, työkin ja opiskelukin, mihin mennään?	O Ki piit oo nohamio a pleete, ali tö a apdav, kotu tuuta?
O Transportation requires energy and consumes the environment more the longer the transportation distance.	O Kuljetus vaatii energiaa ja kuluttaa ympäristöä sitä enemmän mitä pidempi on kuljetusmatka.	O Gag teniid pori a teroriip raulo it pir ko lupir oo gagvälturi. 
Too much, pushy advertising is annoying and can even drive customers away.	O Liika, tyrkyttävä mainonta ärsyttää, voi jopa karkottaa asiakkaita.	O Ylri, ofratufaava käädte aryys, voo jea yrpatuu sojosi. 
O Too much visual information can get boring.	O Liikaan kuvallisen informaatioon voi kyllästyä.	O Intu ylri katoliva obdafa voo autahfulaaf. 
O The sound of traffic takes away the peace of nature.	O Liikenteen ääni vie luonnonrauhaa.	O Tusta hö gaa biolopis. 
O Agricultural and forestry problems.	O Maa- ja metsätalousongelmat.	O Vil- a pulrostaongsi. 
